# Glossary from en-bo-ne-termbase-general.json — <tibetan form>\t<locked rendering>[\t<verse ids>]
# The third column appears only where one form has different renderings by verse.
ཕྱག	वन्दना	I-0,I-2,I-3,1-2,1-10,1-14,1-21,1-1,1-12,1-15,1-18,1-17,1-20,1-22,1-11,1-8,1-16,1-3,1-6,1-9,1-19,1-5,1-4,1-7,1-13
ཕྱག་འཚལ	वन्दना	I-0,I-2,I-3,1-2,1-10,1-14,1-21,1-1,1-12,1-15,1-18,1-17,1-20,1-22,1-11,1-8,1-16,1-3,1-6,1-9,1-19,1-5,1-4,1-7,1-13
ཕྱག་འཚལ་བ	वन्दना	I-0,I-2,I-3,1-2,1-10,1-14,1-21,1-1,1-12,1-15,1-18,1-17,1-20,1-22,1-11,1-8,1-16,1-3,1-6,1-9,1-19,1-5,1-4,1-7,1-13
ཏཱ་རཱ	तारा	I-1,I-2,I-3,1-1,a-1
སྒྲོལ་མ	तारा	I-1,I-2,I-3,1-1,a-1
གུ་ཎ་ཧི་ཏ་སཱ་ཀ	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
ཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
ཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
ན་མཿཏཱ་རཱ	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
ན་མཿཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
སྟོ་ཏྲ་གུ་ཎ་ཧི་ཏ	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
སྟོ་ཏྲ་གུ་ཎ་ཧི་ཏ་སཱ་ཀ	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ་གུ་ཎ	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
བསྟོད	स्तुति	1-0,1-22,1-6,2-0,a-1
བསྟོད་པ	स्तुति	1-0,1-22,1-6,2-0,a-1
ཧཱུཾ	हूँ	1-5,1-17,1-14,1-16,1-11
ཧཱུྃ	हूँ	1-5,1-17,1-14,1-16,1-11
ཡི་གེ་ཧཱུཾ	हूँ अक्षर	1-14,1-11
ཡི་གེ་ཧཱུྃ	हूँ अक्षर	1-14,1-11
བཅོམ་ལྡན་འདས་མ་སྒྲོལ་མ	भगवती तारा	a-1
གནོད་སྦྱིན	यक्ष	1-6,1-21
ཡི་གེ	अक्षर	1-5
གློག	बिजुली	1-1
འོད	प्रकाश	1-2,1-12,1-10,1-20,1-9
ཏུ་རེ	तुरे	1-21,1-17,1-8
ཚོགས	समूह	1-21,1-6,1-19,1-11
འཇོམས	नष्ट	1-7,1-15,1-21,1-13
འབར	प्रज्वलित	1-7,1-2,1-13
ཡང་དག	पूर्ण रूपले	1-21,1-15,a-1
ཡང་དག་པར	पूर्ण रूपले	1-21,1-15,a-1
འཇིག་རྟེན	लोक	1-5,1-1,1-17
བསྟོད་པ་དངོས	मूल स्तुति	1-0
ཆེ་བ	महान्	1-15,1-8,2-3
ཆེན་པོ	महान्	1-15,1-8,2-3
ཆེན་མོ	महान्	1-15,1-8,2-3
རབ	परम	1-10
ཡང་དག་ལྡན	पूर्ण रूपले युक्त	1-21,1-15
ཟླ་བ	चन्द्रमा	1-2,1-12,1-20,1-18
རི་དགས་རྟགས་ཅན	चन्द्रमा	1-2,1-12,1-20,1-18
མ་ལུས	अशेष	1-8,1-4
ཞལ	मुख	1-2,1-1,1-8
ཕཊ	फट्	1-7,1-18
ཕཊ་ཀྱི་ཡི་གེ	फट्	1-7,1-18
ཆུ་སྐྱེས	कमल	1-3,1-1,1-8
པདྨ	कमल	1-3,1-1,1-8
མནན	कुल्चनु	1-7,1-5
དབང	वश	1-10
དབང	अभिषेक	2-3
ནུས	समर्थ	1-11
མཐུ	शक्ति	1-21
ཞབས	चरण	1-5,1-17,1-14
འབྱུང་པོ	भूत	1-6
གདོན	ग्रह	1-21,2-5
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས	सम्यक्सम्बुद्ध	a-1
ལྡན	युक्त	1-21,1-15,2-1
དགའ	आनन्द	1-10,1-16,1-13,1-19
དགའ་བ	आनन्द	1-10,1-16,1-13,1-19
བསྐོར་དགས	आनन्द	1-10,1-16,1-13,1-19
ཞི	शान्ति	1-3,1-15,1-21
ཞི་བ	शान्ति	1-3,1-15,1-21
ཡི་གེ་བཅུ་པའི་ངག	मन्त्र	1-22,1-16
སྔགས	मन्त्र	1-22,1-16
ཕན་ཡོན	लाभ	I-2,2-0
ཏུ་ཏྟྭ་ར	तुत्तारे	1-5,1-10,1-20
ཏུཏྟྭ་ར	तुत्तारे	1-5,1-10,1-20
བཅོམ་ལྡན་འདས་མ	भगवती	a-1
ལྷ་མོ	देवी	2-1
ཏྲད	त्रट्	1-7
རྗེ་བཙུན་མ་འཕགས་མ	भट्टारिका आर्या	I-3
ཆུ་སྐྱེས་ཞལ	कमल मुख	1-8
རོ་ལངས	वेताल	1-21,1-6
ཨོཾ	ॐ	I-3,1-15
སྭཱ་ཧཱ	स्वाहा	1-15
ཧ་ར	हर	1-20
ཏཱ་ར	तारे	1-18
