# Glossary from en-bo-vi-termbase-general.json — <tibetan form>\t<locked rendering>[\t<verse ids>]
# The third column appears only where one form has different renderings by verse.
ཕྱག	Kính lễ	I-0,I-2,I-3,1-2,1-10,1-14,1-21,1-1,1-12,1-15,1-18,1-17,1-20,1-22,1-11,1-8,1-16,1-3,1-6,1-9,1-19,1-5,1-4,1-7,1-13
ཕྱག་འཚལ	Kính lễ	I-0,I-2,I-3,1-2,1-10,1-14,1-21,1-1,1-12,1-15,1-18,1-17,1-20,1-22,1-11,1-8,1-16,1-3,1-6,1-9,1-19,1-5,1-4,1-7,1-13
ཕྱག་འཚལ་བ	Kính lễ	I-0,I-2,I-3,1-2,1-10,1-14,1-21,1-1,1-12,1-15,1-18,1-17,1-20,1-22,1-11,1-8,1-16,1-3,1-6,1-9,1-19,1-5,1-4,1-7,1-13
ཏཱ་རཱ	Độ Mẫu	I-1,I-2,I-3,1-1,a-1
སྒྲོལ་མ	Độ Mẫu	I-1,I-2,I-3,1-1,a-1
གུ་ཎ་ཧི་ཏ་སཱ་ཀ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
ཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
ཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
ན་མཿཏཱ་རཱ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
ན་མཿཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
སྟོ་ཏྲ་གུ་ཎ་ཧི་ཏ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
སྟོ་ཏྲ་གུ་ཎ་ཧི་ཏ་སཱ་ཀ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ་གུ་ཎ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
བསྟོད	tán thán	1-0,1-22,1-6,2-0,a-1
བསྟོད་པ	tán thán	1-0,1-22,1-6,2-0,a-1
ཧཱུཾ	Hum	1-5,1-17,1-14,1-16,1-11
ཧཱུྃ	Hum	1-5,1-17,1-14,1-16,1-11
ཡི་གེ་ཧཱུཾ	chữ Hum	1-14,1-11
ཡི་གེ་ཧཱུྃ	chữ Hum	1-14,1-11
བཅོམ་ལྡན་འདས་མ་སྒྲོལ་མ	Thế Tôn Độ Mẫu	a-1
གནོད་སྦྱིན	dạ-xoa	1-6,1-21
ཡི་གེ	chữ	1-5
གློག	tia chớp	1-1
འོད	quang	1-2,1-12,1-10,1-20,1-9
ཏུ་རེ	Ture	1-21,1-17,1-8
ཚོགས	chúng	1-21,1-6,1-19,1-11
འཇོམས	tiêu diệt	1-7,1-15,1-21,1-13
འབར	rực	1-7,1-2,1-13
ཡང་དག	viên mãn	1-21,1-15,a-1
ཡང་དག་པར	viên mãn	1-21,1-15,a-1
འཇིག་རྟེན	thế giới	1-5,1-1,1-17
བསྟོད་པ་དངོས	chánh văn tán thán	1-0
ཆེན་པོ	đại	1-15,1-8
ཆེན་མོ	đại	1-15,1-8
རབ	cực	1-10
ཡང་དག་ལྡན	viên mãn đầy đủ	1-21,1-15
ཟླ་བ	trăng	1-2,1-12,1-20,1-18
རི་དགས་རྟགས་ཅན	trăng	1-2,1-12,1-20,1-18
མ་ལུས	không sót	1-8,1-4
ཞལ	gương mặt	1-2,1-1,1-8
ཕཊ	Phat	1-7,1-18
ཕཊ་ཀྱི་ཡི་གེ	Phat	1-7,1-18
ཆུ་སྐྱེས	sen	1-3,1-1,1-8
པདྨ	sen	1-3,1-1,1-8
མནན	đạp	1-7,1-5
དབང	nhiếp phục	1-10
དབང	quán đảnh	2-3
ནུས	năng lực	1-11,1-5
མཐུ	uy lực	1-21
ཞབས	chân	1-5,1-17,1-14
འབྱུང་པོ	quỷ thần	1-6
གདོན	ác quỷ	1-21,2-5
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས	Chánh Đẳng Chánh Giác	a-1
ལྡན	đầy đủ	1-21,1-15,2-1
དགའ	hỷ	1-10,1-16,1-13,1-19
དགའ་བ	hỷ	1-10,1-16,1-13,1-19
བསྐོར་དགས	hỷ	1-10,1-16,1-13,1-19
ཞི	tịch tĩnh	1-3,1-15,1-21
ཞི་བ	tịch tĩnh	1-3,1-15,1-21
ཡི་གེ་བཅུ་པའི་ངག	chú	1-22,1-16
སྔགས	chú	1-22,1-16
ཕན་ཡོན	lợi ích	I-2,2-0
ཏུ་ཏྟྭ་ར	Tuttare	1-5,1-10,1-20
ཏུཏྟྭ་ར	Tuttare	1-5,1-10,1-20
བཅོམ་ལྡན་འདས་མ	Thế Tôn	a-1
ལྷ་མོ	Nữ Thần	2-1
ཏྲད	Trat	1-7
རྗེ་བཙུན་མ་འཕགས་མ	Chí Tôn Thánh	I-3
ཆུ་སྐྱེས་ཞལ	gương mặt hoa sen	1-8
རོ་ལངས	khởi thi	1-21,1-6
ཆེ་བ	thù thắng hơn	2-3
ཨོཾ	Om	I-3,1-15
སྭཱ་ཧཱ	Soha	1-15
ཧ་ར	Hara	1-20
ཏཱ་ར	Tare	1-18
