# Glossary from en-bo-zh-termbase-general.json — <tibetan form>\t<locked rendering>[\t<verse ids>]
# The third column appears only where one form has different renderings by verse.
ཕྱག	敬禮	I-0,I-2,I-3,1-2,1-10,1-14,1-21,1-1,1-12,1-15,1-18,1-17,1-20,1-22,1-11,1-8,1-16,1-3,1-6,1-9,1-19,1-5,1-4,1-7,1-13
ཕྱག་འཚལ	敬禮	I-0,I-2,I-3,1-2,1-10,1-14,1-21,1-1,1-12,1-15,1-18,1-17,1-20,1-22,1-11,1-8,1-16,1-3,1-6,1-9,1-19,1-5,1-4,1-7,1-13
ཕྱག་འཚལ་བ	敬禮	I-0,I-2,I-3,1-2,1-10,1-14,1-21,1-1,1-12,1-15,1-18,1-17,1-20,1-22,1-11,1-8,1-16,1-3,1-6,1-9,1-19,1-5,1-4,1-7,1-13
ཏཱ་རཱ	度母	I-1,I-2,I-3,1-1,a-1
སྒྲོལ་མ	度母	I-1,I-2,I-3,1-1,a-1
གུ་ཎ་ཧི་ཏ་སཱ་ཀ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
ཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
ཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
ན་མཿཏཱ་རཱ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
ན་མཿཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
སྟོ་ཏྲ་གུ་ཎ་ཧི་ཏ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
སྟོ་ཏྲ་གུ་ཎ་ཧི་ཏ་སཱ་ཀ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ་གུ་ཎ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka	I-1
བསྟོད	讚頌	1-0,1-22,1-6,2-0,a-1
བསྟོད་པ	讚頌	1-0,1-22,1-6,2-0,a-1
ཧཱུཾ	吽	1-5,1-17,1-14,1-16,1-11
ཧཱུྃ	吽	1-5,1-17,1-14,1-16,1-11
ཡི་གེ་ཧཱུཾ	吽字	1-14,1-11
ཡི་གེ་ཧཱུྃ	吽字	1-14,1-11
བཅོམ་ལྡན་འདས་མ་སྒྲོལ་མ	世尊度母	a-1
གནོད་སྦྱིན	夜叉	1-6,1-21
ཡི་གེ	字	1-5
གློག	閃電	1-1
འོད	光	1-2,1-12,1-10,1-20,1-9
ཏུ་རེ	都咧	1-21,1-17,1-8
ཚོགས	眾	1-21,1-6,1-19,1-11
འཇོམས	摧毀	1-7,1-15,1-21,1-13
འབར	熾燃	1-7,1-2,1-13
ཡང་དག	圓滿	1-21,1-15,a-1
ཡང་དག་པར	圓滿	1-21,1-15,a-1
འཇིག་རྟེན	世界	1-5,1-1,1-17
བསྟོད་པ་དངོས	讚頌正文	1-0
ཆེན་པོ	大	1-15,1-8
ཆེན་མོ	大	1-15,1-8
རབ	極	1-10
ཡང་དག་ལྡན	圓滿具足	1-21,1-15
ཟླ་བ	月	1-2,1-12,1-20,1-18
རི་དགས་རྟགས་ཅན	月	1-2,1-12,1-20,1-18
མ་ལུས	無餘	1-8,1-4
ཞལ	面容	1-2,1-1,1-8
ཕཊ	呸	1-7,1-18
ཕཊ་ཀྱི་ཡི་གེ	呸	1-7,1-18
ཆུ་སྐྱེས	蓮花	1-3,1-1,1-8
པདྨ	蓮花	1-3,1-1,1-8
མནན	踏	1-7,1-5
དབང	攝伏	1-10
དབང	灌頂	2-3
ནུས	能	1-11,1-5
མཐུ	威力	1-21
ཞབས	足	1-5,1-17,1-14
འབྱུང་པོ	鬼神	1-6
གདོན	邪魅	1-21,2-5
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས	正等覺佛	a-1
ལྡན	具足	1-21,1-15,2-1
དགའ	喜	1-10,1-16,1-13,1-19
དགའ་བ	喜	1-10,1-16,1-13,1-19
བསྐོར་དགས	喜	1-10,1-16,1-13,1-19
ཞི	寂靜	1-3,1-15,1-21
ཞི་བ	寂靜	1-3,1-15,1-21
ཡི་གེ་བཅུ་པའི་ངག	咒	1-22,1-16
སྔགས	咒	1-22,1-16
ཕན་ཡོན	功德	I-2,2-0
ཏུ་ཏྟྭ་ར	都達咧	1-5,1-10,1-20
ཏུཏྟྭ་ར	都達咧	1-5,1-10,1-20
བཅོམ་ལྡན་འདས་མ	世尊	a-1
ལྷ་མོ	天女	2-1
ཏྲད	特囉	1-7
རྗེ་བཙུན་མ་འཕགས་མ	至尊聖	I-3
ཆུ་སྐྱེས་ཞལ	蓮花面容	1-8
རོ་ལངས	起屍	1-21,1-6
ཆེ་བ	更殊勝	2-3
ཨོཾ	嗡	I-3,1-15
སྭཱ་ཧཱ	梭哈	1-15
ཧ་ར	喝囉	1-20
ཏཱ་ར	達咧	1-18
