approve	line	number	col	attached_to	context
Y	57	༡	1	༼	༼༡༽ལོ་རྒྱུས་ཀྱི་སྒོ་ནས་བསྟོད་པ། ^0-15
Y	79	༢	1	༼	༼༢༽ཞལ་མདངས་གསལ་ཞིང་འོད་ཟེར་འཕྲོ་བའི་སྒོ་ནས་བསྟོད་པ་ནི། ^0-25
Y	85	6	2	5,	5,6 ཚེ་བཅོ་ལྔའི་ཟླ་བ་ཉ་མ་ལུས་པ་གང་བའི་གྲངས་བརྒྱ་ཐམ་པ་དེ་ཕྱོགས་གཅིག་ཏུ་བརྩེགས་པ་སྟེ་སྤུངས་པ་བཞིན་རྗེ་བཙུན་སྒྲོལ་མའི་ཞལ་རས་མཆོག་ཏུ་དཀར་ཞིང་མཛེས་པའི་ཉམས་དང་ལྡན་ལ། མཁྱེན་བརྩེ་གཉིས་ཀྱི་འོད་ཟེར་སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་ལྟ་བུ་རྣམས་ཀྱིས་རབ་ཏུ་སོ་སོར་ཕྱེ་བའི་ཡང་དག་པའི་བློ་གྲོས་ཀྱི་འོད་ཟེར་རབ་ཏུ་འབར་བའི་འཕགས་མ་སྒྲོལ་མ་དབྱངས་ཅན་ལའོ།། ^0-28
Y	89	༣	1	༼	༼༣༽སྐུ་མདོག་དང་ཕྱག་མཚན་བཅས་སྐུའི་སྒོ་ནས་བསྟོད་པར་མཛད་པ་ནི། ^0-29
Y	99	༤	1	༼	༼༤༽རྒྱལ་བ་དང་རྒྱལ་སྲས་ཀྱིས་གུས་པ་བསྟེན་པའི་སྒོ་ནས་བསྟོད་པ་ནི། ^0-33
Y	117	༥	1	༼	༼༥༽ མི་མཐུན་ཕྱོགས་གནོན་པའི་སྒོ་ནས་བསྟོད་པ། ^0-41
Y	127	༦	1	༼	༼༦༽འཇིག་རྟེན་པའི་ལྷ་ཆེན་པོ་རྣམས་ཀྱིས་བཀུར་བའི་བསྟོད་པ། ^0-45
Y	143	༧	1	༼	༼༧༽ཕ་རོལ་འཇོམས་པའི་སྒོ་ནས་བསྟོད་པ་ནི། ^0-52
Y	153	༨	1	༼	༼༨༽དྲག་པོའི་བཞུགས་ཚུལ་གྱི་སྒོ་ནས་བསྟོད་པ། ^0-56
Y	165	༩	1	༼	༼༩༽གཡས་གཡོན་ཕྱག་མཚན་གྱི་སྒོ་ནས་བསྟོད་པར་མཛད་པ། ^0-61
Y	175	༡༠	1	༼	༼༡༠༽དབུ་རྒྱན་དང་བཞད་སྒྲའི་སྒོ་ནས་བསྟོད་པ། ^0-65
Y	185	༡༡	1	༼	༼༡༡༽ཕྱོགས་སྐྱོང་བཅུའི་འཕྲིན་ལས་བསྒྲུབ་པའི་སྒོ་ནས་བསྟོད་པ། ^0-69
Y	195	༡༢	1	༼	༼༡༢༽དབུ་རྒྱན་གྱི་སྒོ་ནས་བསྟོད་པ། ^0-73
Y	205	༡༣	1	༼	༼༡༣༽དྲག་པོའི་བཞུགས་ཚུལ་གྱི་སྒོ་ནས་བསྟོད་པ།། ^0-77
Y	215	༡༤	1	༼	༼༡༤༽ཧཱུཾ་ཡིག་ལས་འོད་ཟེར་འཕྲོ་བའི་སྒོ་ནས་བསྟོད་པ། ^0-81
Y	225	༡༥	1	༼	༼༡༥༽ཆོས་སྐུའིརྣམ་པའི་སྒོ་ནས་བསྟོད་པ། ^0-85
Y	235	༡༦	1	༼	༼༡༦༽ གདོན་སོགས་འཇོམས་པའི་འཕྲིན་ལས་ཀྱི་སྒོ་ནས་བསྟོད་པ། ^0-89
Y	245	༡༧	1	༼	༼༡༧༽ ཁྲོ་མོའི་ས་གསུམ་གཡོ་བའི་འཕྲིན་ལས་ཀྱི་སྒོ་ནས་བསྟོད་པ། ^0-93
Y	255	༡༨	1	༼	༼༡༨༽བརྟན་གཡོའི་དུག་ཐམས་ཅད་སེལ་བར་མཛད་པའི་སྒོ་ནས་བསྟོད་པ། ^0-97
Y	265	༡༩	1	༼	༼༡༩༽རྩོད་པ་དང་རྨི་ལམ་ངན་པ་སེལ་བའི་སྒོ་ནས་བསྟོད་པ། ^0-101
Y	275	༢༠	1	༼	༼༢༠༽རིམས་ནད་སེལ་བའི་འཕྲིན་ལས་ཀྱི་སྒོ་ནས་བསྟོད་པ། ^0-105
Y	285	༢༡	1	༼	༼༢༡༽གདོན་དང་རོ་ལངས་འཇོམས་པའི་འཕྲིན་ལས་ཀྱི་སྒོ་ནས་བསྟོད་པ། ^0-109
Y	325	༢༡༥༠	195	ཅེས་འབྲས་ཕ་ར་གྲྭ་སྨད་གསུང་རབ་སྤྲུལ་སྐུས་བོད་རྒྱལ་ལོ་	མི་འགྱུར་ལྷུན་པོ་སྐུ་ཡི་བཀྲིས་ཤོག ། ཡན་ལག་དྲུག་ཅུ་གསུང་གི་བཀྲིས་ཤོག། མཐའ་བྲལ་དྲི་མེད་ཐུགས་ཀྱི་བཀྲིས་ཤོག། རྗེ་བཙུན་སྐུ་གསུང་ཐུགས་ཀྱི་བཀྲིས་ཤོག། ཅེས་འབྲས་ཕ་ར་གྲྭ་སྨད་གསུང་རབ་སྤྲུལ་སྐུས་བོད་རྒྱལ་ལོ་༢༡༥༠བོད་ཟླ་༡༠ ཚེས་༢༥ སྤྱི་ལོ 2023 སྤྱི་ཟླ 12 ཚེས 7 ཉིན་ཐེ་ཝན་འབྲས་སྤུངས་བློ་གསལ་གླིང་ཆོས་ཚོགས་སུ་བྲིས་ས་དགེ་བར་གྱུར་ཅིག ། ^0-127
Y	325	༡༠	206	ཅེས་འབྲས་ཕ་ར་གྲྭ་སྨད་གསུང་རབ་སྤྲུལ་སྐུས་བོད་རྒྱལ་ལོ་༢༡༥༠བོད་ཟླ་	མི་འགྱུར་ལྷུན་པོ་སྐུ་ཡི་བཀྲིས་ཤོག ། ཡན་ལག་དྲུག་ཅུ་གསུང་གི་བཀྲིས་ཤོག། མཐའ་བྲལ་དྲི་མེད་ཐུགས་ཀྱི་བཀྲིས་ཤོག། རྗེ་བཙུན་སྐུ་གསུང་ཐུགས་ཀྱི་བཀྲིས་ཤོག། ཅེས་འབྲས་ཕ་ར་གྲྭ་སྨད་གསུང་རབ་སྤྲུལ་སྐུས་བོད་རྒྱལ་ལོ་༢༡༥༠བོད་ཟླ་༡༠ ཚེས་༢༥ སྤྱི་ལོ 2023 སྤྱི་ཟླ 12 ཚེས 7 ཉིན་ཐེ་ཝན་འབྲས་སྤུངས་བློ་གསལ་གླིང་ཆོས་ཚོགས་སུ་བྲིས་ས་དགེ་བར་གྱུར་ཅིག ། ^0-127
Y	325	༢༥	213	ཚེས་	མི་འགྱུར་ལྷུན་པོ་སྐུ་ཡི་བཀྲིས་ཤོག ། ཡན་ལག་དྲུག་ཅུ་གསུང་གི་བཀྲིས་ཤོག། མཐའ་བྲལ་དྲི་མེད་ཐུགས་ཀྱི་བཀྲིས་ཤོག། རྗེ་བཙུན་སྐུ་གསུང་ཐུགས་ཀྱི་བཀྲིས་ཤོག། ཅེས་འབྲས་ཕ་ར་གྲྭ་སྨད་གསུང་རབ་སྤྲུལ་སྐུས་བོད་རྒྱལ་ལོ་༢༡༥༠བོད་ཟླ་༡༠ ཚེས་༢༥ སྤྱི་ལོ 2023 སྤྱི་ཟླ 12 ཚེས 7 ཉིན་ཐེ་ཝན་འབྲས་སྤུངས་བློ་གསལ་གླིང་ཆོས་ཚོགས་སུ་བྲིས་ས་དགེ་བར་གྱུར་ཅིག ། ^0-127
