approve	line	number	col	attached_to	context
Y	71	3	2	2,	2,3 དེའི་དབུས་གཞིའི་རྩ་ཆེན་ཨ་ཝ་ཏི་སྐྱའོ། དེའི་གཡས་སུ་རོ་མ་དཀར་དང་། གཡོན་དུ་རྐྱང་མ་དམར་གཉིས་ལྟེ་འོག་ནས། སྤྱི་གཙུག་བར་དབུ་མ་ལ་ཕན་ཚུན་ལུ་གུ་རྒྱུད་དུ་འཁྲིལ་ནས་མདུད་པ་ཉི་ཤུ་རྩ་གཅིག་བྱས་ནས་གནས་པ་དེའོ། ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ། སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ་ནི། རྡོ་རྗེ་ལུས་ཀྱི་གཞིའི་གནས་ལུགས་དེ་ལ་དད་པ་མོས་གུས་གཞི་བཏིང་།  ^0-20
Y	107	6	2	5,	5,6 བཞི་པ་མཐར་ཐུག་རྫོགས་རིམ་མཚན་མེད་ལྟར་ན། ངེས་དོན་རིག་སྟོང་བྱང་ཆུབ་སེམས་རང་བྱུང་གི་ཡེ་ཤེས་གཞི་གྲོལ་འཕོ་འགྱུར་དང་བྲལ་བ་ཁྱབ་གདལ་ཀུན་ཏུ་བཟང་མོ་ཀ་དག་ནང་དབྱིངས་ཟང་ཀ་མའི་དོན་གྱི་འོད་གསལ་མངོན་སུམ་རྟོགས་པ་ནི། རྡོ་རྗེ་ཕག་མོ་དཀར་མོའི་རང་ཞལ་སྟོན་ཟླ་བརྩེགས་པ་ལྟ་བུ་ཡིན། དེ་ཉིད་ལྟེམས་བརྐྱངས་མེད་པའི་མོས་གུས་དག་སྣང་ལ་བརྟེན་ནས། ཟག་མེད་བརྒྱུད་གསུམ་རིག་འཛིན་བླ་མའི་བྱིན་བརླབས་ཀྱིས་སྒོ་ཆེན་ཕྱེས་ཏེ་རྩོལ་བྱུང་ལ་མ་ལྟོས་པའི་ཤེས་རབ་དྲི་མ་མེད་པ་སྐར་མ་སྟོང་ཕྲག་འཚོགས་པ་ལྟ་བུའི་སོ་སོ་ཡང་དག་རིག་བཞི་དང་སྤོབས་པའི་གཏེར་ཆེན་བརྒྱད་ལ་མངའ་དབང་བསྒྱུར་བའོ། ཞེས་སོ།  ^0-32
Y	129	8	2	7,	7,8 གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ནི། ཆུ་སྐྱེས་གསང་བའི་པདྨ་དང་། ཕྱག་སྒྲ་ནི་རྡོ་རྗེ་སྟེ་མཉམ་པར་སྦྱར་བ་ལས་འཕོ་བ་མེད་པའི་ཚུལ་ཁྲིམས་དཀའ་ཐུབ་དང་། བདེ་བའི་ངོ་བོ་བསམ་གཏན་དང་། བདེ་གསལ་སྟོང་ཉིད་རྣམ་པར་མི་རྟོག་པའི་ཤེས་རབ་དང་། བདེ་སྟོང་དེ་ལས་མི་འདའ་་བའི་བའི་བརྩོན་གྲུས་དང་། བདེ་སྡུག་ཐམས་ཅད་སྙོམས་པའི་བཟོད་པ་དང་།  ^0-39
Y	131	8	2	7,	7,8 བདེ་བ་ལ་བདག་འཛིན་བྲལ་བའི་སྦྱིན་པ་སྟེ་ཕ་རོལ་ཕྱིན་པ་དྲུག་པོ་ཚང་བའི་རྒྱལ་སྲས་བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པའང་ཡོངས་སུ་རྫོགས་ཤིང་། ནང་གསང་སྔགས་ཐབས་ལམ་རྩ་རླུང་ལེགས་པར་ཉམས་སུ་ལེན་ཤེས་ན་ལུས་ཀྱི་རྩ་མདུད་ཐམས་ཅད་བཀྲོལ་ཞིང་ཚོགས་གཉིས་ཀྱི་མཚར་སྡུག་ཡོངས་སུ་རྫོགས་པའི་ངོ་བོ་ཟག་མེད་བདེ་སྟོང་ལྷན་གཅིག་སྐྱེས་པའི་ཡེ་ཤེས་རྗེ་བཙུན་སྒྲོལ་མ་ཉམས་ལེན་ཚུལ་ལོ།  ^0-40
Y	135	8	2	7,	7,8 བཞི་པ་མཐར་ཐུག་རྫོགས་རིམ་མཚན་མེད་ལྟར་ན། པདྨ་ལྟར་གཟུང་འཛིན་དྲི་མ་རང་གར་སངས་པའི་ཡེ་ཤེས་ཇི་བཞིན་པའི་རང་བྱུང་ཡེ་ཤེས་ངང་ལ། བསལ་གཞག་བཟོ་བཅོས་དང་བྲལ་བའི་ངང་ལ་གནས་ན། ཕ་རོལ་ཕྱིན་པ་དྲུག་དང་ས་ལམ་ཆིག་རྫོགས་སུ་འགྱུར་ཞིང་གཞི་དབྱིངས་ཀུན་ཏུ་བཟང་མོའི་རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མ་མངོན་དུ་འགྱུར་བའོ།  ^0-41
Y	165	10	2	9,	9,10 བཞི་པ་མཐར་ཐུག་རྫོགས་རིམ་མཚན་མེད་ནི། དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར་ནི་ཐེག་པ་རིམ་དགུའི་རྩེ་མོ་རྫོགས་ཆེན་ཨ་ཏི་ཡོ་ག་ལྟ་བ་སྣང་སྲིད་འཁོར་འདས་ཀྱིས་བསྡུས་པའི་ཆོས་ཐམས་ཅད་རིག་པ་རང་བྱུང་ཡེ་ཤེས་ཀློང་དུ་མ་བཙལ་ཡེ་རྫོགས་ཡེ་སངས་རྒྱས་པའོ། ཐ་མལ་པའི་འཁྲུལ་སྣང་ལས་རླུང་འཕོ་འགྱུར་ཅན་འདི་རྣམས་མཁའ་ལ་སྤྲིན་ཚོགས་དེངས་པ་ལྟར་ཤར་གྲོལ་རང་ཡལ་གཞི་གྲོལ་ཆོས་སྐུ་ཆེན་པོའི་རྒྱལ་ཐབས་ལ་འགོད་པ་ནི་འཇའ་ལུས་ཟང་ཐལ་ཆེན་པོར་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར་རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མ་མཐའ་ཡས་རྣམ་པར་རྒྱལ་བར་སྤྱོད་མ་ཡིན་ནོ། ཞེས་སོ། ^0-51
Y	187	13	4	12,	 12,13 གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ནི། ཏུཏྟཱ་ར་ནི་གདུང་བ་སྟེ་གཏུམ་མོའི་མེའོ། ཧཱུྃ་ནི་འགྱུར་མེད་མི་ཤིགས་པ་སྟེ་བདེ་བ་ཆེན་པོའོ། འདོད་པ་ནི་གསང་བའི་འཁོར་ལོའོ། ཕྱོགས་ནི་རྩ་དབུ་མ་སྟེ་བདེ་བས་ནང་གང་བའོ། ནམ་མཁའ་གང་བ་ནི་བརྗོད་བྲལ་ལྷན་ཅིག་སྐྱེས་པའི་ཡེ་ཤེས་སོ། འཇིག་རྟེན་བདུན་ནི་རྩ་་འཁོར་ལོ་ལྔ་དང་། མེ་རླུང་འཁོར་ལོ་གཉིས་སོ། ^0-58
Y	193	13	3	12,	12,13 བཞི་པ་མཐར་ཐུག་དོན་རྫོགས་རིམ་མཚན་མེད་ནི། ཏུཏྟཱ་ར་ཧྰུྃ་ནི་གནས་ལུགས་ཆོས་དབྱིངས་བྱང་ཆུབ་ཀྱི་སེམས་རང་བྱུང་རིག་པའི་ཡེ་ཤེས་ཉིད་ཡིན་ནོ། དེ་མངོན་དུ་གྱུར་པ་ན། སྒོ་ལྔའི་ཤེས་པ་ཡེ་ནས་འཛིན་མེད་རང་སར་གྲོལ་བས་འདོད་ཁམས་ཞབས་ཀྱིས་མནན། ཡིད་ཀྱི་རྣམ་ཤེས་དང་ཉོན་ཡིད་གཅིག་ཏུ་བསྡུས་ཏེ་ཡེ་ནས་འགྱུ་བ་རང་སར་གྲོལ་བས་ན་གཟུགས་ཁམས་ཞབས་ཀྱིས་མནན། ཀུན་གཞི་དང་།  ^0-60
Y	225	15	3	14,	14,15 བཞི་པ་མཐར་ཐུག་མཚན་མེད་རྫོགས་རིམ་ལྟར་ན། ཡེ་ནས་འབྱུང་བ་ཆེན་པོ་ལྔ་དང་། དེ་ལས་ཕུང་པོ་ལྔ་དང་། སྐྱེ་མཆེད་བཅུ་གཉིས་དང་། ཁམས་བཅོ་བརྒྱད་རྣམས། ཡེ་ནས་སྣང་སྲིད་ཀུན་རྫོབ་ཏུ་དག་པ་ཆེན་པོ་དང་། དོན་དམ་དུ་མཉམ་པ་ཆེན་པོ་སྟེ་དག་མཉམ་བདེན་པ་དབྱེར་མེད་སྣང་སྲིད་གཞིར་བཞེངས་རང་བྱུང་ལྷུན་གྲུབ་ཀྱི་དཀྱིལ་འཁོར་ཉིད།  ^0-71
Y	243	17	3	16,	16,17 གཉིས་པ་སྤྱི་དོན་བསྐྱེད་རིམ་ལྟར་ན། པདྨ་དང་ཟླ་བའི་གདན་ལ་གཏུམ་མོ་གཞན་གྱིས་མི་ཐུབ་མ། སྐུ་མདོག་ནག་མོ་ཆར་སྤྲིན་དྲག་གཏིབ་པ་ལྟ་བུ། ཡེ་ཤེས་མེ་ཕུང་རབ་ཏུ་འབར་མ། ཁྲོ་གཉེར་རྒྱ་མཚོ་འཁྲུགས་པའི་རླབས་ལྟར་འཁྲུགས་པ། ཞབས་གཉིས་རྟ་འབབས་སྐྱིལ་ཀྲུང་། ཞལ་གཅིག་ཕྱག་གཉིས། ཁྲོ་གཉེར་ཅན་དབུ་སྐྲ་གྱེན་དུ་བརྫེས་པ་ཕྱག་གཡས་མཆོག་སྦྱིན་དང་།  ^0-77
