approve	line	number	col	attached_to	context
Y	34	༢༠༠༨	114	ཡེ་ལོ་	སྒྲོལ་མའི་འགྲེལ་པ་ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། དཔལ་སྤུངས་གསུང་རབ་སྤར་སྐྲུན་ཁང་ནས་བསྐྲུན་ཞིང་བཀྲམ། ཡེ་ལོ་༢༠༠༨ ཟླ་༨ སྤར་ཐེངས་དང་པོ། དེབ་གྲངས། ༡༠༠༠ ^0-7
Y	34	༨	122	ཟླ་	སྒྲོལ་མའི་འགྲེལ་པ་ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། དཔལ་སྤུངས་གསུང་རབ་སྤར་སྐྲུན་ཁང་ནས་བསྐྲུན་ཞིང་བཀྲམ། ཡེ་ལོ་༢༠༠༨ ཟླ་༨ སྤར་ཐེངས་དང་པོ། དེབ་གྲངས། ༡༠༠༠ ^0-7
Y	36	2008	60	FirstEditionAugust	PublishedbythePalpungSungrabPartrunKhang. FirstEditionAugust2008 Copies1000 PalpungSherablingMonasticSeat ^0-8
Y	36	1000	71	Copies	PublishedbythePalpungSungrabPartrunKhang. FirstEditionAugust2008 Copies1000 PalpungSherablingMonasticSeat ^0-8
Y	38	176125	39	Distt,Kangra	P.O.UpperBhattuvaiBaijnath Distt,Kangra176125H.P.India Phone:91(0)1894-263013/262955 Fax: 91(0)1894-262234/263757 ^0-9
Y	38	91	61	Phone:	P.O.UpperBhattuvaiBaijnath Distt,Kangra176125H.P.India Phone:91(0)1894-263013/262955 Fax: 91(0)1894-262234/263757 ^0-9
Y	38	0	64	Phone:91(	P.O.UpperBhattuvaiBaijnath Distt,Kangra176125H.P.India Phone:91(0)1894-263013/262955 Fax: 91(0)1894-262234/263757 ^0-9
Y	38	1894	66	Phone:91(0)	P.O.UpperBhattuvaiBaijnath Distt,Kangra176125H.P.India Phone:91(0)1894-263013/262955 Fax: 91(0)1894-262234/263757 ^0-9
Y	38	262955	78	Phone:91(0)1894-263013/	P.O.UpperBhattuvaiBaijnath Distt,Kangra176125H.P.India Phone:91(0)1894-263013/262955 Fax: 91(0)1894-262234/263757 ^0-9
Y	38	0	93	91(	P.O.UpperBhattuvaiBaijnath Distt,Kangra176125H.P.India Phone:91(0)1894-263013/262955 Fax: 91(0)1894-262234/263757 ^0-9
