# Track glossary for Gemini/mn-general — auto-loaded by gm_translate.py.
# (1) names and mantra forms pinned for the mn baseline; (2) the locked Mongolian word list, verse-scoped (keyword-standardize).
མ་ལུས་པ	үлдэлгүйгээр
ཏུཏྟཱ་ར	дүдарэ
ཏུཏྟཱ་རེ	дүдарэ
ཏཱ་རེ	дарэ
ཕཊ྄	пад
ཨོཾ་ཏཱ་རེ	Ум дарэ
ཨོ་རྒྱན	Үржин
ཨུ་རྒྱན	Үржин
པདྨ་འབྱུང་གནས	Ловон Бадамжунай
གུ་རུ་རིན་པོ་ཆེ	Гүрү Ринбүүчи
ཐོད་ཕྲེང་རྩལ	Төдрэнгцэл
ཚེ་དཔག་མེད	Аюуш
འོད་དཔག་མེད	Авид
སྤྱན་རས་གཟིགས	Жанрайсиг
འཇམ་དཔལ་དབྱངས	Манзушир
འཇམ་དཔལ	Манзушир
ཕྱག་ན་རྡོ་རྗེ	Очирваань
ཤཱཀྱ་ཐུབ་པ	Шагжамуни
རྡོ་རྗེ་འཆང	Очирдара
རྡོ་རྗེ་སེམས་དཔའ	Базарсад
ཀུན་ཏུ་བཟང་པོ	Самантабадра
བྱམས་པ	Майдар
རྟ་མགྲིན	Дамдин
ཙོང་ཁ་པ	Зонхов
བློ་བཟང་གྲགས་པ	Лувсандагва
མི་ལ་རས་པ	Миларайба
ཡེ་ཤེས་མཚོ་རྒྱལ	Ешэцожил
ཆེ་མཆོག	Чэмчог
དགའ་རབ་རྡོ་རྗེ	Гарабдорж
ཤཱནྟ་རཀྵི་ཏ	Шантаракшид
ཞི་བ་འཚོ	Шантаракшид
ཁྲི་སྲོང་ལྡེའུ་བཙན	Трисон Дэцэн
ཁྲི་སྲོང་ལྡེ་བཙན	Трисон Дэцэн
བི་མ་ལ་མི་ཏྲ	Вималамитра
ཀློང་ཆེན	Лончэн
ཨ་ཏི་ཤ	Атиша
བསམ་ཡས	Самъяа
ཟངས་མདོག་དཔལ་རི	Зандогбалри
ཛམྦུ་གླིང	Замбуулин
བོད་ཡུལ	Төвөд
བོད	Төвөд
ཐོད་འཕྲེང་རྩལ	Төдрэнгцэл
ཨེ་མ་ཧོ	Эмахо
བཛྲ་གུ་རུ་པདྨ་སིདྡྷི་ཧཱུྃ	базар гуру бадмэ сидди хум
ཕྱག	мөргөмүй	I-0
ཕྱག་འཚལ	мөргөмүй	I-0,I-2,I-3,1-2,1-10,1-14,1-21,1-1,1-12,1-15,1-18,1-17,1-20,1-22,1-11,1-8,1-16,1-3,1-6,1-9,1-19,1-5,1-4,1-7,1-13
ཕྱག་འཚལ་བ	мөргөмүй	I-0,I-2,I-3,1-2,1-10,1-14,1-21,1-1,1-12,1-15,1-18,1-17,1-20,1-22,1-11,1-8,1-16,1-3,1-6,1-9,1-19,1-5,1-4,1-7,1-13
སྒྲོལ་མ	Дарь эх	I-2,I-3,1-1,a-1
གུ་ཎ་ཧི་ཏ་སཱ་ཀ	Намо Тара Экавимшати Стотра Гунахита Сака	I-1
ཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི	Намо Тара Экавимшати Стотра Гунахита Сака	I-1
ཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ	Намо Тара Экавимшати Стотра Гунахита Сака	I-1
ན་མཿཏཱ་རཱ	Намо Тара Экавимшати Стотра Гунахита Сака	I-1
ན་མཿཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི	Намо Тара Экавимшати Стотра Гунахита Сака	I-1
སྟོ་ཏྲ་གུ་ཎ་ཧི་ཏ	Намо Тара Экавимшати Стотра Гунахита Сака	I-1
སྟོ་ཏྲ་གུ་ཎ་ཧི་ཏ་སཱ་ཀ	Намо Тара Экавимшати Стотра Гунахита Сака	I-1
ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ	Намо Тара Экавимшати Стотра Гунахита Сака	I-1
ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ་གུ་ཎ	Намо Тара Экавимшати Стотра Гунахита Сака	I-1
བསྟོད	магтаал	1-0,1-22,1-6,2-0,a-1
བསྟོད་པ	магтаал	1-0,1-22,1-6,2-0,a-1
ཧཱུཾ	хум	1-5,1-17,1-14,1-16,1-11
ཧཱུྃ	хум	1-5,1-17,1-14,1-16,1-11
ཡི་གེ་ཧཱུཾ	хум үсэг	1-14,1-11
ཡི་གེ་ཧཱུྃ	хум үсэг	1-14,1-11
བཅོམ་ལྡན་འདས་མ་སྒྲོལ་མ	Төгс нөгчсөн Дарь эх	a-1
གནོད་སྦྱིན	хорлогч	1-6,1-21
ཡི་གེ	үсэг	1-5
གློག	цахилгаан	1-1
འོད	гэрэл	1-2,1-12,1-10,1-20,1-9
ཏུ་རེ	дүрэ	1-21,1-17,1-8
ཚོགས	чуулган	1-21,1-6,1-19,1-11
འཇོམས	дарагч	1-7,1-15,1-21,1-13
འབར	бадрах	1-7,1-2,1-13
ཡང་དག	сайтар	1-21,1-15,a-1
ཡང་དག་པར	сайтар	1-21,1-15,a-1
འཇིག་རྟེན	ертөнц	1-5,1-1,1-17
བསྟོད་པ་དངོས	Үндсэн магтаал	1-0
ཆེ་བ	их	1-15,1-8,2-3
ཆེན་པོ	их	1-15,1-8,2-3
ཆེན་མོ	их	1-15,1-8,2-3
རབ	дээд	1-10
ཡང་དག་ལྡན	сайтар төгс	1-21,1-15
ཟླ་བ	сар	1-2,1-12,1-20,1-18
རི་དགས་རྟགས་ཅན	сар	1-2,1-12,1-20,1-18
མ་ལུས	үлдэлгүй	1-8,1-4
ཞལ	нүүр	1-2,1-1,1-8
ཕཊ	пад	1-7,1-18
ཕཊ་ཀྱི་ཡི་གེ	пад	1-7,1-18
ཆུ་སྐྱེས	лянхуа	1-3,1-1,1-8
པདྨ	лянхуа	1-3,1-1,1-8
མནན	гишгэн	1-7,1-5
དབང	эрх	1-10
དབང	авшиг	2-3
ནུས	чадагч	1-11
མཐུ	хүч	1-21
ཞབས	өлмий	1-5,1-17,1-14
འབྱུང་པོ	чөтгөр	1-6
གདོན	ад	1-21,2-5
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས	Үнэн төгс туулсан бурхан	a-1
ལྡན	төгс	1-21,1-15,2-1
དགའ	баясгалан	1-10,1-16,1-13,1-19
དགའ་བ	баясгалан	1-10,1-16,1-13,1-19
བསྐོར་དགས	баясгалан	1-10,1-16,1-13,1-19
