# Track glossary for Gemini/ne-general — auto-loaded by gm_translate.py.
# (1) proper names pinned for the ne baseline; (2) the locked Nepali word list, verse-scoped
#     (0-INBOX/AI_translation/keyword-extraction-dharmamitra/ne/, built by keyword-standardize).
ཨོ་རྒྱན	उड्डियान
ཨུ་རྒྱན	उड्डियान
པདྨ་འབྱུང་གནས	पद्मसम्भव
གུ་རུ་རིན་པོ་ཆེ	गुरु रिन्पोछे
ཐོད་ཕྲེང་རྩལ	थोत्रेङ त्सल
ཚེ་དཔག་མེད	अमितायु
འོད་དཔག་མེད	अमिताभ
སྤྱན་རས་གཟིགས	अवलोकितेश्वर
འཇམ་དཔལ་དབྱངས	मञ्जुश्री
འཇམ་དཔལ	मञ्जुश्री
སྒྲོལ་མ	तारा
ཕྱག་ན་རྡོ་རྗེ	वज्रपाणि
ཤཱཀྱ་ཐུབ་པ	शाक्यमुनि
རྡོ་རྗེ་འཆང	वज्रधर
རྡོ་རྗེ་སེམས་དཔའ	वज्रसत्त्व
ཀུན་ཏུ་བཟང་པོ	समन्तभद्र
བྱམས་པ	मैत्रेय
རྟ་མགྲིན	हयग्रीव
ཙོང་ཁ་པ	त्सोङ्खापा
བློ་བཟང་གྲགས་པ	लोब्साङ द्राक्पा
མི་ལ་རས་པ	मिलारेपा
ཡེ་ཤེས་མཚོ་རྒྱལ	येशे छोग्याल
ཆེ་མཆོག	महोत्तर हेरुक
དགའ་རབ་རྡོ་རྗེ	गारब दोर्जे
ཤཱནྟ་རཀྵི་ཏ	शान्तरक्षित
ཞི་བ་འཚོ	शान्तरक्षित
ཁྲི་སྲོང་ལྡེའུ་བཙན	त्रिसोङ देत्सेन
ཁྲི་སྲོང་ལྡེ་བཙན	त्रिसोङ देत्सेन
བི་མ་ལ་མི་ཏྲ	विमलमित्र
ཀློང་ཆེན	लोङ्छेनपा
ཨ་ཏི་ཤ	अतिश
བསམ་ཡས	साम्ये
ཟངས་མདོག་དཔལ་རི	जाङ्दोक पाल्री
ཛམྦུ་གླིང	जम्बुद्वीप
བོད་ཡུལ	तिब्बत
བོད	तिब्बत
ཐོད་འཕྲེང་རྩལ	थोत्रेङ त्सल
ཨེ་མ་ཧོ	एमाहो
ཕྱག	वन्दना	I-0
ཕྱག་འཚལ	वन्दना	I-0,I-2,I-3,1-2,1-10,1-14,1-21,1-1,1-12,1-15,1-18,1-17,1-20,1-22,1-11,1-8,1-16,1-3,1-6,1-9,1-19,1-5,1-4,1-7,1-13
ཕྱག་འཚལ་བ	वन्दना	I-0,I-2,I-3,1-2,1-10,1-14,1-21,1-1,1-12,1-15,1-18,1-17,1-20,1-22,1-11,1-8,1-16,1-3,1-6,1-9,1-19,1-5,1-4,1-7,1-13
ཏཱ་རཱ	तारा	I-1,I-2,I-3,1-1,a-1
སྒྲོལ་མ	तारा	I-1,I-2,I-3,1-1,a-1
གུ་ཎ་ཧི་ཏ་སཱ་ཀ	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
ཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
ཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
ན་མཿཏཱ་རཱ	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
ན་མཿཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
སྟོ་ཏྲ་གུ་ཎ་ཧི་ཏ	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
སྟོ་ཏྲ་གུ་ཎ་ཧི་ཏ་སཱ་ཀ	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ་གུ་ཎ	नमः तारा एकविंशति स्तोत्र गुणहित साक	I-1
བསྟོད	स्तुति	1-0,1-22,1-6,2-0,a-1
བསྟོད་པ	स्तुति	1-0,1-22,1-6,2-0,a-1
ཧཱུཾ	हूँ	1-5,1-17,1-14,1-16,1-11
ཧཱུྃ	हूँ	1-5,1-17,1-14,1-16,1-11
