# Track glossary for Gemini/th-general — the locked Thai word list, verse-scoped (keyword-standardize).
ཕྱག	ขอนอบน้อม	I-0
ཕྱག་འཚལ	ขอนอบน้อม	I-0,I-2,I-3,1-2,1-10,1-14,1-21,1-1,1-12,1-15,1-18,1-17,1-20,1-22,1-11,1-8,1-16,1-3,1-6,1-9,1-19,1-5,1-4,1-7,1-13
ཕྱག་འཚལ་བ	ขอนอบน้อม	I-0,I-2,I-3,1-2,1-10,1-14,1-21,1-1,1-12,1-15,1-18,1-17,1-20,1-22,1-11,1-8,1-16,1-3,1-6,1-9,1-19,1-5,1-4,1-7,1-13
ཏཱ་རཱ	พระแม่ตารา	I-1,I-2,I-3,1-1,a-1
སྒྲོལ་མ	พระแม่ตารา	I-1,I-2,I-3,1-1,a-1
གུ་ཎ་ཧི་ཏ་སཱ་ཀ	นะมะห์ ตารา เอกะวิงศะติ สโตตระ คุณะหิตะสากะ	I-1
ཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི	นะมะห์ ตารา เอกะวิงศะติ สโตตระ คุณะหิตะสากะ	I-1
ཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ	นะมะห์ ตารา เอกะวิงศะติ สโตตระ คุณะหิตะสากะ	I-1
ན་མཿཏཱ་རཱ	นะมะห์ ตารา เอกะวิงศะติ สโตตระ คุณะหิตะสากะ	I-1
ན་མཿཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི	นะมะห์ ตารา เอกะวิงศะติ สโตตระ คุณะหิตะสากะ	I-1
སྟོ་ཏྲ་གུ་ཎ་ཧི་ཏ	นะมะห์ ตารา เอกะวิงศะติ สโตตระ คุณะหิตะสากะ	I-1
སྟོ་ཏྲ་གུ་ཎ་ཧི་ཏ་སཱ་ཀ	นะมะห์ ตารา เอกะวิงศะติ สโตตระ คุณะหิตะสากะ	I-1
ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ	นะมะห์ ตารา เอกะวิงศะติ สโตตระ คุณะหิตะสากะ	I-1
ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ་གུ་ཎ	นะมะห์ ตารา เอกะวิงศะติ สโตตระ คุณะหิตะสากะ	I-1
བསྟོད	สรรเสริญ	1-0,1-22,1-6,2-0,a-1
བསྟོད་པ	สรรเสริญ	1-0,1-22,1-6,2-0,a-1
ཧཱུཾ	ฮูม	1-5,1-17,1-14,1-16,1-11
ཧཱུྃ	ฮูม	1-5,1-17,1-14,1-16,1-11
ཡི་གེ་ཧཱུཾ	พยางค์ ฮูม	1-14,1-11
ཡི་གེ་ཧཱུྃ	พยางค์ ฮูม	1-14,1-11
བཅོམ་ལྡན་འདས་མ་སྒྲོལ་མ	ภควตีพระแม่ตารา	a-1
གནོད་སྦྱིན	ยักษ์	1-6,1-21
ཡི་གེ	พยางค์	1-5
གློག	ฟ้าแลบ	1-1
འོད	แสง	1-2,1-12,1-10,1-20,1-9
ཏུ་རེ	ตุเร	1-21,1-17,1-8
ཚོགས	หมู่	1-21,1-6,1-19,1-11
