index	trigger	syllables	flag	preview
1	line-end	22		༄༅། །སྒྲོལ་མ་ཕྱག་འཚལ་ཉི་ཤུ་རྩ་གཅིག་གི་བསྟོད་པའི་རྣམ་བཤད་གསལ་བའི་འོད་ཟེར་ཞེས་བྱ་བ
2	line-end	4		༄༅། །ན་མོ་བུདྡྷ་ཡ།
3	terminal-particle	13		བསྟོད་པ་འདི་ལ་དོན་གཉིས་ཏེ། བསྟོད་པ་དངོས་དང་ཕན་ཡོན་ནོ། །
4	ordinal-open	28		དང་པོ་ལ་གསུམ་སྟེ། སྐུའི་རྣམ་པས་ལོངས་སྐུའི་སྒོ་ནས་བསྟོད་པ་དང་། ཆོས་སྐུའི་སྒོ་ནས་བ
5	ordinal-open	21		དང་པོ་ལ་གསུམ། མཚན་གྱི་སྒོ་ནས་ལོ་རྒྱུས་བསྟན་པ་དང་། སྐུའི་རྣམ་པ་དང་། རྒྱན་དང་ཆ་ལུག
6	terminal-particle	18		བར་མ་གཉིས་ལ། ཞི་བའི་སྐུའི་སྒོ་ནས་བསྟོད་པ་དང་། ཁྲོ་མོའི་སྐུའི་སྒོ་ནས་བསྟོད་པའོ། །
7	ordinal-open	31		དང་པོ་ལ་གསུམ།འོད་ཟེར་གྱི་སྒོ་ནས་དང་། ཕྱག་མཚན་དང་ཡིད་ཅན་གྱི་སྒོ་ནས་དང་། སངས་རྒྱས་
8	terminal-particle	31		ཁྲོ་མོའི་སྐུའི་སྒོ་ནས་བསྟོད་པ་ལ་གསུམ། མཐུའི་སྒོ་ནས་དང་། འཇིག་རྟེན་པའི་ཆེན་པོ་རྣམ
9	terminal-particle	17		དེ་ལ་གཉིས། ཐུན་མོང་གི་ཕྲིན་ལས་དང་། ཐུན་མོང་མ་ཡིན་པའི་སྒོ་ནས་བསྟོད་པའོ། །
10	terminal-particle	44		རྒྱན་དང་ཆ་ལུགས་ཀྱི་སྒོ་ནས་བསྟོད་པ་ལ་བཞི། ཞི་བའི་ཆ་ལུགས་ཀྱི་སྒོ་ནས་དང་། དྲག་པོའི་
11	ordinal-open	9		དང་པོ་ལ་གཉིས། ཕྱག་མཚན་དང་དབུ་རྒྱན་ནོ། །
12	terminal-particle	18		དྲག་པོའི་འོག་མ་ལ་གསུམ། འོད་ཟེར་དང་། བཞུགས་ཚུལ་དང་། ཕྱག་མཚན་གྱི་སྒོ་ནས་བསྟོད་པའོ།
13	terminal-particle	52		སྤྱི་དོན་གསུམ་པ་ཕྲིན་ལས་ཀྱི་སྒོ་ནས་བསྟོད་པ་ལ་དྲུག གསང་སྔགས་ཀྱི་སྒོ་ནས་དང་། དབང་ག
14	terminal-particle	37		སྤྱི་དོན་གཉིས་པ་ཕན་ཡོན་ལ་བཞི།བསམ་པའི་ཁྱད་པར་དང་། དུས་ཀྱི་ཁྱད་པར་དང་། ཕན་ཡོན་དངོས
15	line-end	9		དགེ་བསྙེན་གྲགས་པ་རྒྱལ་མཚན་གྱིས་སྦྱར་བའོ། །
16	line-end	12		ཨོ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ། །
17	line-end	6		ཕྱག་འཚལ་སྒྲོལ་མ་ནི་
18	line-end	25		འཁོར་བའི་དུ་ཁ་ལས་སྒྲོལ་མ། མྱུར་མ་ནི་སེམས་ཅན་གྱི་དོན་ལ་མྱུར་མ། དཔའ་མོ་ནི་ཉོན་མོངས
19	line-end	8		སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ། །
20	line-end	3		ཞེས་པ་ནི།
21	line-end	4		འོད་གསལ་བའི་དཔེའོ། །
22	line-end	8		འཇིག་རྟེན་གསུམ་མགོན་ཆུ་སྐྱེས་ཞལ་གྱི། །
23	line-end	3		ཞེས་པ་ནི།
24	line-end	9		འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་སྤྱན་རས་གཟིགས།
25	line-end	7		ཆུ་སྐྱེས་ཞལ་གྱི་ཞེས་པ་ནི།
26	line-end	8		དེའི་སྤྱན་ཆབ་ལས་བྱུང་བའི། པད་མའམ་ཨུཏྤལ།
27	line-end	8		གེ་སར་བྱེ་བ་ལས་ནི་བྱུང་མ། །
28	line-end	3		ཞེས་པ་ནི།
29	line-end	9		པདྨ་ཁ་བྱེ་བ་ལས་སྒྲོལ་མ་བྱུང་བའོ། །
