index	trigger	syllables	flag	preview
1	line-end	1		.
2	terminal-particle	15		༄༅། །སྒྲོལ་མ་ཕྱག་འཚལ་ཉེར་གཅིག་གི་ཊཱིཀྐ་རིན་པོ་ཆེའི་ཕྲེང་བ་བཞུགས་སོ། །
3	line-end	1		༄༅༅། །
4	verse-stanza	33		འཕགས་པ་དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ། །↵དུས་གསུམ་སངས་རྒྱས་ཀུན་གྱི་འཕྲིན་ལས་མ། །↵རྒ
5	terminal-particle	49		ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམ་སྣང་གིས་གསུངས་པའི་ཕྱག་འཚལ་ཉི་ཤུ་རྩ་གཅིག་མ། ཇི་ལྟ
6	terminal-particle	40		དེ་ཡང་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་ཡུམ་སྒྲོལ་མ་ལ་བསྟོད་པ་ཅེས་བྱ་བའི་རྒྱུད་ལེའུ་སུམ
7	terminal-particle	30		འདི་བྱ་རྒྱུད་ཡིན་མིན་བརྟག་སྟེ། ཕྱག་འཚལ་ཉི་ཤུ་རྩ་གཅིག་མ་འདི། བླ་མེད་རྒྱུད་དུ་བཀྲལ
8	ordinal-open	32		དང་པོ་ནི། དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་བཀའ་སྩལ་བ། འཇམ་དཔལ་ཡ
9	quote-close	34		འཇམ་དཔལ་དེའི་ཕྱིར། དུས་གསུམ་གྱི་སངས་རྒྱས་ཐམས་ཅད་ཀྱིས་བསྟོད་པ་འདི། འཇམ་དཔལ་ཁྱོད་ཀ
10	ordinal-open	62		གཉིས་པ་ལ། རྩ་བའི་སྔགས་ཀྱིས་བསྟོད་པ་འདི་དང་། །ཕྱག་འཚལ་བ་ནི་ཉི་ཤུ་རྩ་གཅིག །ཅེས་གཉི
11	verse-stanza	27		ཨོཾ༑ ཕྱག་འཚལ་སྒྲོལ་མ་ཏཱ་རེ་དཔའ་མོ། །↵ཏུཏྟཱ་ར་ཡིས་འཇིགས་པ་ཀུན་སེལ། །↵ཏུ་རེས་དོན་ར
12	line-end	71		ཅེས་པ་རྒྱ་དཔེ་ལ་ཡོད་པ་སྤང་ལོས་བསྒྱུར་བ་འདི་ཡིན་གསུང་ཡང་། རྩ་བའི་སྔགས་ཀྱིས་བསྟོད་
13	ordinal-open	14		དང་པོ་ནི། ཨོཾ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ། །
14	terminal-particle	18		ཞེས་པ་འདི་ཡིན་པས། ཨོཾ་ཞེས་པ་ནི། སྐྱབས་སུ་འགྲོ་བའམ། མཆོད་པ་འབུལ་བའམ། མ་དག་པ་སྦྱོང
15	terminal-particle	23		རྗེ་བཙུན་མ་ཞེས་པ་ལ། རྗེ་ནི། དུས་གསུམ་གྱི་སངས་རྒྱས་ཐམས་ཅད་བསྐྱེད་པའི་ཡུམ་གྱི་ནང་ན
16	terminal-particle	22		བཙུན་ཞེས་པ་ནི། ཕྱི་ལྟར་ན་སོ་ཐར། ནང་ལྟར་ན་བྱང་སེམས། གསང་བ་ལྟར་ན་སྔགས་ཀྱི་སྡོམ་པ་ད
17	terminal-particle	17		འཕགས་མ་ནི། མཐོང་སྤངས་མི་དགེ་བ་ལས་རིང་དུ་སོང་ཞིང་འཁོར་འདས་ལས་འཕགས་པའོ། །
18	terminal-particle	10		སྒྲོལ་མ་ནི། སྡུག་བསྔལ་གྱི་རྒྱ་མཚོ་ལས་སྒྲོལ་བའོ། །
19	terminal-particle	18		མ་ཞེས་པ་ནི། སེམས་ཅན་ཐམས་ཅད་ལ་ཉེ་རིང་མེད་པར་འགྲོ་དོན་མཉམ་དུ་མཛད་པའོ། །
20	terminal-particle	13		ཕྱག་ཅེས་པ་ནི། ལས་ཉོན་གྱི་སྡིག་(སྒྲིབས་,སྒྲིབ་)འཕྱག་པར་བྱེད་པའོ། །
21	terminal-particle	14		འཚལ་ཞེས་པ་ནི། ལུས་ངག་ཡིད་གསུམ་གུས་པར་བགྱིད་ཅེས་པའི་དོན་ཏོ། །
22	line-end	1		.
23	ordinal-open	27		གཉིས་པ་ལ། ལོ་རྒྱུས་ཀྱི་སྒོ་ནས་བསྟོད་པ་དང་སྐུའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་པ། འཕྲིན་ལས་
24	ordinal-open	3		དང་པོ་ནི།
25	verse-stanza	29		ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ། །↵སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ། །↵འཇིག་རྟེན་གསུམ
26	terminal-particle	6		ཕྱག་འཚལ་ལོ་ཞེས་དྲང་ངོ། །
27	terminal-particle	5		གང་ལ་ན། སྒྲོལ་མ་ལའོ། །
28	terminal-particle	71		དེ་གང་ལས་བྱུང་ན། སྐད་གཅིག་གིས་འཇིགས་པའི་ཕུང་པོ་ལྔའམ། བཞི་ལ་བརྟེན་པའི་འདོད་པ་དང་།
29	terminal-particle	37		དེས་སེམས་ཅན་གྱི་དོན་གྱི་མྱུར་བ་ནི། མྱུར་དུ་དེ་དག་འཁོར་བ་ལས་སྒྲོལ་བའི་ཞབས་ཏོག་བགྱ
30	terminal-particle	21		དེ་བས་ན། དེའི་སྤྱན་ཆབ་གཉིས་སྐད་ཅིག་གིས་གསལ་བའི་གློག་དང་འདྲ་བས་འཇིག་རྟེན་གསུམ་ལ་ག
31	line-end	16		འདི་ལ་པཎ་ཆེན་ཉི་མ་སྦས་པས། རབ་ཏུ་དཔའ་བའི་སྒྲོལ་མ་ཞེས་གསུངས་སོ། །
32	line-end	20		གཉིས་པ་ལ། ལོངས་སྐུའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་པ་དང་། ཆོས་སྐུའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་
33	ordinal-open	20		དང་པོ་ལ། ཞི་བའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་པ་དང་། ཁྲོ་མོའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་པ་གཉིས
34	ordinal-open	7		དང་པོ་ལ། ཕྱག་འཚལ་དྲུག་ཡོད་པའི།
35	ordinal-open	15		དང་པོ་ཞལ་མདངས་གསལ་ཞིང་འོད་ཟེར་འཕྲོ་བའི་སྒོ་ནས་བསྟོད་པ་ནི།
36	verse-stanza	15		. ཕྱག་འཚལ་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ། །↵གང་བ་བརྒྱ་ནི་བརྩེགས་པའི་ཞལ་མ། །
37	terminal-particle	38		ཞེས་སོགས་ཏེ། སྤྲིན་དང་། (ཁུག་,ཁུ་)རྣ་སོགས་ཀྱི་སྒོ་ནས་རྡུལ་དང་བྲལ་བའི། སྟོན་ཀའི་ཟ
38	terminal-particle	37		དེ་འདྲ་བརྒྱ་ནི་བརྩེགས་པ་བས་ཏེ། བརྒྱ་སྤུངས་པ་ལས་ཀྱང་འོད་ཕྱེ་བའི་ཞལ་དང་ལྡན་མ། ཞལ་ད
39	terminal-particle	55		ཡང་ན། བརྒྱད་གཉིས་པ་སྒྲིགས་ཞེས་འདོན་པ་ལྟར་ན། ཞལ་གྱི་ནང་ན་ཟླ་བ་ལྟ་བུའི་ཚེམས་བརྒྱད་
40	line-end	11		འདི་ལ་དཀར་མོ་མདངས་ལྡན་སྒྲོལ་མ་ཞེས་བཤད་དོ། །
41	line-end	14		གཉིས་པ་སྐུ་མདོག་དང་། ཕྱག་མཚན་དང་། རྒྱུའི་སྒོ་ནས་བསྟོད་པ་ནི།
42	verse-stanza	14		. ཕྱག་འཚལ་སེར་སྔོ་ཆུ་ནས་སྐྱེས་ཀྱི། །↵པདྨས་ཕྱག་ནི་རྣམ་པར་བརྒྱན་མ། །
43	terminal-particle	22		ཞེས་སོགས་ཏེ། སྔོ་བ་ནི། སྐུ་མདོག །སེར་ནི། ཁ་དོག་དྭངས་པ་མཚོན་པ་སྟེ། གསེར་མདོག་ཅན་ག
44	terminal-particle	40		དེའི་ཕྱག་གཡོན་གྱི་སྲིན་ལག་གིས་ཆུ་ནས་སྐྱེས་པའི་པདྨ་སྟེ་ཨུཏྤ་ལས་ཐུགས་ཀར་རྣམ་པར་བརྒ
45	terminal-particle	25		དེ་བས་ན། སྦྱིན་པ་བརྩོན་འགྲུས་དཀའ་ཐུབ་སྟེ་ཚུལ་ཁྲིམས། བཟོད་པ། བསམ་གཏན་སྤྱོད་ཡུལ་ཏེ
46	line-end	29		ཞི་བ་ཞེས་པ། མི་མཐུན་ཕྱོགས་སེར་སྣ། ལེ་ལོ། འཆལ་ཚུལ། ཁོང་ཁྲོ། རྣམ་གཡེང་། ལོག་པའི་ལྟ
47	terminal-particle	73		གསུམ་པ། རྒྱལ་བ་དང་། རྒྱལ་སྲས་ཀྱིས་གུས་པས་བསྟེན་པའི་སྒོ་ནས་བསྟོད་པ་ནི། . ཕྱག་འཚལ་
48	terminal-particle	36		རྒྱལ་སྲས་ཀྱིས་བསྟེན་པ་ནི། ས་བཅུ་མ་ལུས་པའི་ངོ་བོ། ཕ་རོལ་ཏུ་ཕྱིན་པ་བཅུ་ཐོབ་པའི་རྒྱ
49	line-end	11		འདི་ལ་གཙུག་ཏོར་རྒྱན་པའི་སྒྲོལ་མ་ཞེས་འབྱུང་ངོ། །
50	terminal-particle	90		བཞི་པ་མི་མཐུན་ཕྱོགས་གནོན་པའི་སྒོ་ནས་བསྟོད་པ་ནི། . ཕྱག་འཚལ་ཏུཏྟཱ་ར་ཧཱུཾ་ཡི་གེས། །
51	line-end	11		འདི་ལ་ཧཱུཾ་སྒྲ་སྒྲོགས་པའི་སྒྲོལ་མ་ཞེས་འབྱུང་ངོ། །
52	terminal-particle	15		ལྔ་པ་འཇིག་རྟེན་པའི་ལྷ་ཆེན་པོ་རྣམས་ཀྱིས་བསྟོད་པ་ནི། . ཕྱག་འཚལ་ལོ། །
53	terminal-particle	24		གང་ལ་ན། ལྷ་དབང་བརྒྱ་སྦྱིན། མེ་ལྷ། ཚངས་པ། རླུང་ལྷ་ལ་སོགས་སྣ་ཚོགས་པའི་དབང་ཕྱུག་སྟེ
54	terminal-particle	50		དེར་མ་ཟད་འབྱུང་པོའི་གཙོ་བོ་ཚོགས་བདག །རོ་ལངས་ཀྱི་གཙོ་བོ་དབང་ཕྱུག་ཆེན་པོ། དྲི་ཟ་ཟུ
55	line-end	12		འདི་ལ་རྣམ་པར་རྒྱལ་བའི་སྒྲོལ་མ་ཞེས་འབྱུང་ངོ་། །
56	ordinal-open	11		དྲུག་པ་ཕ་རོལ་འཇོམས་པའི་སྒོ་ནས་བསྟོད་པ་ནི།
57	verse-stanza	15		. ཕྱག་འཚལ་ཏྲད་ཅེས་བྱ་དང་ཕཊ་ཀྱིས། །↵ཕ་རོལ་འཁྲུལ་འཁོར་རབ་ཏུ་འཇོམས་མ། །
58	terminal-particle	106		ཞེས་སོགས་ཏེ། དྲག་པོའི་སྔགས་ཀྱིས་ཕ་རོལ་གྱིས་བྱས་པའི་མཐུ་དང་། བྱད་མ་ལ་སོགས་པའི་འཁྲ
59	ordinal-open	15		གཉིས་པ་ཁྲོ་མོའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་པ་ལ། ཕྱག་འཚལ་བདུན་ཡོད་པའི།
60	ordinal-open	11		དང་པོ་བདུད་དང་སྒྲིབ་གཉིས་སྤྱོད་པའི་ཡོན་ཏན་ནི།
61	verse-stanza	15		. ཕྱག་འཚལ་ཏུ་རེ་འཇིགས་པ་ཆེན་མོ། །↵བདུད་ཀྱི་དཔའ་བོ་རྣམ་པར་འཇོམས་མ། །
62	terminal-particle	27		ཞེས་སོགས་ཏེ། ཏུ་རེ་ནི། སྒྲོལ་མ། འཇིགས་པ་ཆེན་མོའི། ཁྲོ་མོ། བདུད་ཀྱི་དཔའ་བོ་ནི། ཉོ
63	terminal-particle	66		གཞན་ཡང་། དེ་ལྟ་བུའི་ཆུ་སྐྱེས་ཀྱི་ཞལ་ནི། ཁྲོ་གཉེར་ལྡན་མཛད་དེ། ཁྲོ་མོའི་ཆ་ལུགས་མཛད
