index	trigger	syllables	flag	preview
1	line-end	14		ཨོཾ་བདེ་ལེགས་སུ་གྱུརཅིག། ན་མོ་ཨཱརྱཏཱར་ཡེ། འགྲོ་ཀུན་སྲིད་མཚོ་ལས་སྒྲོལ་བའི། །
2	line-end	13		རྗེ་བཙུན་མ་ལ་ཕྱག་འཚལ་ནས། དེ་ཉིད་བསྟོད་པའི་ཚིགས་སུ་བཅད། །
3	line-end	7		ཉི་ཤུ་རྩ་གཅིག་དབྱེ་བར་བྱ།།
4	terminal-particle	30		འདིར་རྗེ་བཙུན་མ་སྒྲོལ་མ་ལ་བསྟོད་པ་ཕྱག་འཚལ་ཉི་ཤུ་ཙ་གཅིག་གི་དོན་ཅུང་ཟད་དཀྲོལ་ན། འད
5	ordinal-open	14		དང་པོ་ལ། ཕྱག་འཚལ་ཚིགས་སུ་བཅད་པ་ཉི་ཤུ་རྩ་གཅིག་ཡོདཔ་ལས།
6	ordinal-open	4		དང་པོ་ནི་།
7	line-end	8		ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དབའ་མོ། །
8	line-end	3		ཞེས་སོགས་ལ།
9	terminal-particle	17		ཕྱག་འཚལ་ལོ་ཞེས་དྲང་ངོ་།། གང་ལན། བཟོ་ཀུན་འཁོར་བ་ལས་སྒྲོལ་པའི་སྒྲོལ་མ་ལའོ། །
10	line-end	43		དམན་ཏན་ཇི་ལྟ་བུ་དང་ལྡན་ཞེ་ན། མྱུར་མ་སོགས་ཏེ། ཐུགས་རྗེས་སེམས་ཅན་གྱི་དོན་ལ་སྐད་ཅིག
11	line-end	20		སྤྱན་ནི་འོད་ཤིན་ཏུ་གསལ་བས་སྐད་ཅིག་གི་ཚིག་ལ་འཇུག་པ་དང་འདྲ་བའི་སྒྲོལ་མ་ལའོ། །
12	line-end	52		དེ་གང་ལས་འཁུངས་ཞེ་ན། འཇིག་རྟེན་གསུམ་མགོན་སོགས་ཏེ། ས་འོག་ས་སྟེངས་ཐའི་འཇིག་རྟེན་གས
13	line-end	3		གཉིས་པ་ནི།
14	line-end	9		ཕྱག་འཚལ་སྟོན་ཀའི་ནླ་བཀུན་དུ། ཞེས་སོགས་ཏེ།
15	line-end	30		ཕྱག་འཚལ། གངལ་ན། སྟོན་ཀའི་ཟླ་བ་ཉ་ཀུན་དུ་གང་བ་བརྒྱ་བཅུ་པ་ནི་བརྩེགས་པ་ལྟ་བུར་མཆོག་ཏ
