index	kind	syllables	preview
1	prose	13	༄༅། །​ཕྱག་འཚལ་ཉེར་གཅིག་གི་བསྟོད་པའི་རྣམ་པར་བཤད་པ་བཞུགས་སོ།
2	prose	92	ན་མོ་ལོ་ཀེ་ཤྭ་རཱ་ཡ།སྒྲོལ་མ་འཁོར་བ་ཀུན་སྒྲོལ་བ། །​དེ་ལ་གུས་པས་ཕྱག་འཚལ་ནས། །​བསྟོད
3	prose	20	དེ་ལ་ཚིགས་བཅད་དང་པོ་ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ་ཞེས་པ་ལ་སོགས་པ་ལ།
4	prose	84	ཕྱག་འཚལ་ལོ་ཞེས་པ་དང་པོར་འབྱུང་བ་ནི་བརྗོད་པ་གླེང་སློང་པའི་གཞིར་གཞག་པ་སྟེ་འོག་མ་རྣ
5	prose	88	སྐད་ཅིག་གཅིག་ལ་ཡེ་ཤེས་ཀྱི་སྤྱན་གློག་དང་འདྲ་བ་མྱུར་དུ་སྐྱེད་པས། ཤེས་བྱ་མཐའ་དག་གཟི
6	prose	36	དེ་ལྟ་བུའི་ཡོན་ཏན་མངའ་བའི་ལྷ་མོ་འདི་ནི། །​འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་སྤྱན་རས་གཟི
7	prose	30	འདི་ལ་ལོ་ཙྭ་བ་ནམ་མཁའ་བཟང་པོས། འཇིག་རྟེན་གསུམ་མགོན་ཞལ་གི་ཆུ་སྐྱེས། །​ བྱེ་བའི་གེ་
8	prose	21	སྒྲ་ཇི་བཞིན་པ་མ་ཡིན་པ་ནི། འཇིག་རྟེན་གསུམ་མགོན་ཆོས་ཀྱི་སྐུ། །​ དེ་ལས་བྱུང་བ་ནི་གཟ
9	prose	44	ཚིགས་བཅད་གཉིས་པ་ཕྱག་འཚལ་སྟོན་ཀའི་སོགས་ལ། སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ་གང་བ་སྟེ། །​ཉ་གང་བ
10	prose	82	སྐར་མ་སྟོང་ཕྲག་མང་པོ་ཚོགས་པ་རྣམས་ཀྱི་སྟེ་ལྟ་བུའམ་དུ་མར་གྱེས་པས་རབ་ཏུ་ཕྱེ་ཞིང་འཕྲ
11	prose	38	ཚིགས་བཅད་གསུམ་པ་ཕྱག་འཚལ་གསེར་སྔོ་སོགས་ལ། །​གསེར་གྱི་ཡུ་བ་ཅན་མེ་ཏོག་སྔོ་བ་ཆུ་ལས་ས
12	prose	127	སྦྱིན་པ་དང་བརྩོན་འགུས་དང་། དཀའ་ཐུབ་སྟེ་ཚུལ་ཁིམས་དང་། །​ཞི་བ་སྟེ་ཤེས་རབ་དང་། །​བཟ
13	prose	21	ཚིགས་བཅད་བཞི་པ་ཕྱག་འཚལ་དེ་བཞིན་སོགས་ལ། དེ་བཞིན་གཤེགས་པ་རྣམ་པར་སྣང་མཛད་ཀྱི་གཙུག་ག
14	prose	49	ཕན་ཡོན་མཐའ་ཡས་པ་དང་ལྡན་ཞིང་མི་མཐུན་པའི་ཕྱོགས་ཐམས་ཅད་ལས་རྣམ་པར་རྒྱལ་བར་བྱེད་པའི་ར
15	prose	40	ཕ་རོལ་ཏུ་ཕྱིན་པ་བཅུ་མ་ལུས་པར་ཐོབ་པའི། །​རྒྱལ་བའི་སྲས་པོ་ས་བཅུའི་དབང་ཕྱུག་རྣམས་ཀྱ
16	prose	20	​དཔལ་ལྡན་དེ་བཞིན་ཉིད་གཤེགས་ཤིང་། །​ དེ་བཞིན་སླར་ཡང་གཤེགས་པ་ཉིད། ཅེས་པ་ལྟར་དེ་བཞི
17	prose	63	- ཁམས་དང་རླུང་གི་ཚོགས་པ་གཙུག་གཏོར་དུ་ཐིམ་པས་སྤྱང་བྱ་མཐའ་ཡས་པ་ལས་རྣམ་པར་རྒྱལ་ཞིང་
18	prose	60	​ཚིགས་བཅད་ལྔ་པ་ཕྱག་འཚལ་ཏུ་ཏྟཱ་ར་སོགས་ལ་ཏུ་ཏྟཱ་རེ་དང་ཧཱུྃ་གི་སྔགས་ཀྱི་སྒྲས་འཇིག་ར
19	prose	111	འཇིག་རྟེན་བདུན་པོ་ཞབས་ཀྱི་འོག་ཏུ་མནན་པ་ལྟར་དབང་དུ་མཛད་ཅིང་། །​ཁྱོད་ཀྱིས་བྱིན་གྱི
20	prose	98	, སྦས་དོན་ནི་ཏུཏྟཱ་ར་ནི་གདུང་པ་སྟེ། གཏུམ་མོའི་མེས་གདུང་བའོ། །​ཧཱུྃ་གི་ཡི་གེ་ནི་མ
21	prose	95	ཚིག་བཅད་དྲུག་པ་ཕྱག་འཚལ་བརྒྱ་བྱིན་སོགས་ལ། བརྒྱ་བྱིན་ནི་ལྷའི་འགྲོ་བ་རྣམས་ཀྱི་རྒྱལ་
22	prose	116	འབྱུང་པོ་ནི་ཚོགས་ཀྱི་བདག་པོ་ལ་སོགས་པ་བགེགས་དང་ལོགས་པར་འདྲེན་པ་རྣམས་སོ། །​རོ་ལངས་
23	prose	72	, སྦས་དོན་ནི་བརྒྱ་བྱིན་སོགས་ལྔ་ནི་འབྱུང་བ་ལྔ་སྟེ། བརྒྱ་བྱིན་ནི་ས། མེ་ལྷ་ནི་མེ། ཚ
24	prose	88	ཚིག་བཅད་བདུན་པ་ཕྱག་འཚལ་ཏྲཊ་ཅེས་སོགས་ལ་ཏཊ་དང་ཕཊ་ཀྱི་གསང་སྔགས་ལ་སོགས་པ། འཕགས་མ་སྒྲ
25	prose	66	ཁྲོ་མོའི་སྐུར་བསྟན་ཏེ། གཡས་བསྐུམ་གཡོན་བརྐྱང་ལ་སོགས་པའི་ཞབས་ཀྱིས། །​གདུག་པ་ཅན་རྣམ
26	prose	116	, སྦས་དོན་ནི་ཏྲཊ་ཅེས་པ་ནི་དལ་བ། །​ཕཌ་ནི་འགས་པ་སྟེ་རྣམ་རྟོག་འཇོམས་པའོ། །​ཕ་རོལ་ལས
27	prose	37	ཚིག་བཅད་བརྒྱད་པ་ཕྱག་འཚལ་ཏུ་རེ་སོགས་ལ་ཨོཾ་ཏུ་རེ་སོགས་ཀྱི་རིག་སྔགས་ཟློས་པའི་མཐུས། 
28	prose	13	དེས་ནི་བདུད་ཀྱི་དཔའ་བོ་སྟེ་དམག་དཔོན་རྣམས་འཇོམས་ཤིང་། །​
29	prose	47	ཞལ་རས་ཆུ་སྐྱེས་ཁོ་གཉེར་དང་ལྡན་པར་མཛད་པས། །​བསྟན་པ་ལ་སྡང་བ་དང་། །​སེམས་ཅན་མང་པོ་ལ
30	prose	114	- དེའི་ནང་གི་དོན་ལ། བདུད་ཀྱི་དཔའ་བོ་འཇོམས་པ་ནི་ཕྱོགས་ལས་རྣམ་པར་རྒྱལ་བའི་སྤྱོད་པའ
31	prose	103	ཚིགས་བཅད་དགུ་པ་ཕྱག་འཚལ་དཀོན་མཆོག་སོགས་ལ། དཀོན་མཆོག་གསུམ་མཚོན་པར་བྱེད་པ་ཨུཏྤ་ལའི་
32	prose	55	ཕྱོགས་ཀྱི་འཁོར་ལོ་སྟེ་ཕྱོགས་བཅུའི་ཞིང་ཁམས་མ་ལུས་པ། རང་གི་སྐུ་ལས་བྱུང་བའི་འོད་ཟེར
33	prose	72	, སྦས་དོན་ནི། དཀོན་མཆོག་གསུམ་མཚོན་ནི་ཁུ་རྡུལ་རླུང་གསུམ་སྟེ། གཅིག་ཏུ་འདུས་པས་སོར་
34	prose	40	ཚིགས་བཅད་བཅུ་པ་ཕྱག་འཚལ་རབ་ཏུ་སོགས་ལ། །​འགྲོབ་རྣམས་རབ་ཏུ་དགའ་བ་བསྐྱེད་པའི་སྐུ་དང་
35	prose	54	བཞད་པ་དང་རབ་ཏུ་ཆེར་བཞད་པ་དང་། །​ཨོཾ་ཏུཏྟཱ་རེ་ལ་སོགས་པའི་སྔགས་ཀྱི་སྒྲས་འཇིག་རྟེན་
36	prose	82	སྦས་དོན་ནི། རབ་ཏུ་དགའ་བ་ལྷན་ཅིག་སྐྱེས་པའི་གཟི་བརྗིད་ཀྱི་འོད་ཟེར་ཀྱི་དབུ་ལ་བརྒྱན་
