index	trigger	syllables	flag	preview
1	line-end	13		༄༅། །​ཕྱག་འཚལ་ཉེར་གཅིག་གི་བསྟོད་པའི་རྣམ་པར་བཤད་པ་བཞུགས་སོ།
2	line-end	7		ན་མོ་ལོ་ཀེ་ཤྭ་རཱ་ཡ།
3	verse-stanza	19		སྒྲོལ་མ་འཁོར་བ་ཀུན་སྒྲོལ་བ། །↵​དེ་ལ་གུས་པས་ཕྱག་འཚལ་ནས། །↵​བསྟོད་པའི་རྒྱུད་དོན་ཅུ
4	terminal-particle	26		​བགེགས་རྣམས་མ་ལུས་ཞི་བར་མཛོད།དེ་ལ་རྒྱུད་འདི་ནི་རྣལ་འབྱོར་བླ་ན་མེད་པ་ཡིན་ལ། །​དེ་
5	terminal-particle	43		​དེ་ལ་རིགས་དྲུག་ལས་རྡོ་རྗེ་རྟ་མཆོག་སྟེ་རྟའི་རྒྱལ་པོའི་རིགས་སོ། དེ་ལས་ཀྱང་རིགས་ཀྱ
6	line-end	1		​
7	line-end	20		དེ་ལ་ཚིགས་བཅད་དང་པོ་ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ་ཞེས་པ་ལ་སོགས་པ་ལ།
8	terminal-particle	37		ཕྱག་འཚལ་ལོ་ཞེས་པ་དང་པོར་འབྱུང་བ་ནི་བརྗོད་པ་གླེང་སློང་པའི་གཞིར་གཞག་པ་སྟེ་འོག་མ་རྣ
9	line-end	48		​དེ་ཉིད་ཀྱི་ཕྱད་པར་ཇི་ལྟ་བུ་ཞིན། །​ཐུགས་དམིགས་པ་མེད་པའི་སྙིང་རྗེ་ཆེན་པོས་མྱུར་དུ
10	terminal-particle	88		སྐད་ཅིག་གཅིག་ལ་ཡེ་ཤེས་ཀྱི་སྤྱན་གློག་དང་འདྲ་བ་མྱུར་དུ་སྐྱེད་པས། ཤེས་བྱ་མཐའ་དག་གཟི
11	line-end	1		​
12	terminal-particle	36		དེ་ལྟ་བུའི་ཡོན་ཏན་མངའ་བའི་ལྷ་མོ་འདི་ནི། །​འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་སྤྱན་རས་གཟི
13	line-end	1		​
14	line-end	9		འདི་ལ་ལོ་ཙྭ་བ་ནམ་མཁའ་བཟང་པོས།
15	verse-stanza	15		འཇིག་རྟེན་གསུམ་མགོན་ཞལ་གི་ཆུ་སྐྱེས། །↵​ བྱེ་བའི་གེ་སར་ལས་ནི་བྱུང་མ། །
