index	trigger	syllables	flag	preview
1	line-end	21		༄༅། །སྒྲོལ་མར་ཕྱག་འཚལ་ཉེར་གཅིག་གིས་བསྟོད་པའི་རྣམ་བཤད་ཡིད་འཕྲོག་ཨུཏྤལའི་ཆུན་པོ་ཞེ
2	line-end	8		༄༅། ན་མོ་གུ་རུ་ཨཱརྱ་ཏྭ་རཱ་ཡེ། །
3	line-end	10		སྐུ་གསུམ་ཡེ་ཤེས་ལྔ་ལྡན་བླ་མ་དང་། །
4	line-end	9		དབྱེར་མེད་རྒྱལ་ཡུམ་སྒྲོལ་མའི་ཞབས་བཏུད་ནས། །
5	line-end	9		དེ་ཡི་རྣམ་འགྱུར་གཅིག་ལྷག་བཅུ་ཕྲག་གཉིས། །
6	line-end	9		བསྟོད་པའི་རྒྱུད་དོན་མདོར་བསྡུས་བཤད་པར་བྱ།
7	line-end	24		དེ་ཡང་སྒྲོལ་མར་ཕྱག་འཚལ་ཉེར་གཅིག་གིས་བསྟོད་པའི་དོན་འཆད་པ་ལ་གསུམ། མདོར་བསྟན་པ། རྒྱ
8	ordinal-open	3		དང་པོ་ནི།།
9	line-end	12		ཨོཾ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ།
10	line-end	73		དོན་ནི། ཨོཾ་ནི་མཚམས་སྦྱོར་ཕྲལ་ན་ཡི་གེ་ཨ་ཨུ་མ་གསུམ་དུ་འགྱུར་བས། ཕྱག་ཡུལ་གྱི་སྐུ་ག
11	terminal-particle	26		གཉིས་པ་རྒྱས་པར་བཤད་པ་ལ་གསུམ། ལོ་རྒྱུས་ཀྱི་སྒོ་ནས་བསྟོད་པ། སྐུའི་རྣམ་པའི་སྒོ་ནས་བ
12	ordinal-open	3		དང་པོ་ནི།།
13	verse-stanza	22		ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དཔལ་མོ།།↵སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ།།↵འཇིག་རྟེན་གསུམ་མ
14	line-end	10		གེ་སར་བྱེ་བ་ལས་ནི་བྱུང་མ། ཞེས་པ་སྟེ།
15	terminal-particle	8		ཕྱག་འཚལ་བ་སྟེ་གུས་པས་འདུད་དོ། །
16	line-end	35		གང་ལ་འདུད་ཅེ་ན། སེམས་ཅན་འཁོར་བ་ལས་འདོན་པས་ན་སྒྲོལ་མ། དེ་ལ་རྒྱལ་བ་གཞན་ལས་འཕྲིན་ལས
17	line-end	23		ཡེ་ཤེས་ཀྱི་སྤྱན་ནི་སྐད་ཅིག་གི་གློག་འཁྱུག་པ་དང་འདྲ་བར་ཤེས་བྱ་མཐའ་དག་སྐད་ཅིག་ལ་གཟི
18	line-end	58		ས་འོག་ཀླུའི་འཇིག་རྟེན། ས་སྟེང་མིའི་འཇིག་རྟེན། ས་བླ་ལྷའི་འཇིག་རྟེན་གསུམ་གྱི་མགོན་
19	line-end	28		ལོ་ཆེན་ནམ་བཟང་གིས། ཚིག་རྐང་གསུམ་པར། འཇིག་རྟེན་གསུམ་མགོན་ཞལ་གྱི་ཆུ་སྐྱེས་ཞེས་འགྱུ
20	line-end	27		གཉིས་པ་སྐུའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་པ་ལ་གཉིས། ལོངས་སྐུའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་པ་དང
21	ordinal-open	20		དང་པོ་ལ་གཉིས། ཞི་བའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་པ་དང་། ཁྲོ་མོའི་རྣམ་པ་སྒོ་ནས་བསྟོད་པའོ
22	ordinal-open	66		དང་པོ་ལ་དྲུག །ཞལ་མདངས་གསལ་ཞིང་འོད་ཟེར་འཕྲོ་བའི་སྒོ་ནས་བསྟོད་པ། སྐུ་མདོག་དང་ཕྱག་མ
23	ordinal-open	3		དང་པོ་ནི།
24	verse-stanza	29		ཕྱག་འཚལ་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ།།↵གང་བ་བརྒྱ་ནི་བརྩེགས་པའི་ཞལ་མ།།↵སྐར་མ་སྟོང་ཕྲག་ཚོག
25	line-end	3		ཞེས་པ་སྟེ།
26	terminal-particle	3		ཕྱག་འཚལ་ལོ། །
27	line-end	56		གང་ལ་ན། རྡུལ་སྤྲིན་ལུག་རྣ་སོགས་དང་བྲལ་བའི་སྟོན་ཀའི་དུས་ཀྱི་ཟླ་བ་སྐྱེ་འཕྲོ་རྫོགས་
28	line-end	43		ཞལ་དེ་ལས་སྐར་མ་སྟོང་ཕྲག་དུ་མ་ཕྱོགས་གཅིག་ཏུ་ཚོགས་པ་ལྟ་བུའི་འོད་ཟེར་རྣམས་ཀྱི་རབ་ཏུ
29	line-end	14		གཉིས་པ་སྐུ་མདོག་དང་ཕྱག་མཚན་དང་རྒྱུའི་སྒོ་ནས་བསྟོད་པ་ནི།
30	verse-stanza	28		ཕྱག་འཚལ་གསེར་སྔོ་ཆུ་ནས་སྐྱེས་ཀྱི།།↵པདྨས་ཕྱག་ནི་རྣམ་པར་བརྒྱན་མ།།↵སྦྱིན་པ་བརྩོན་འག
31	line-end	3		ཞེས་པ་སྟེ།
32	terminal-particle	3		ཕྱག་འཚལ་ལོ། །
33	line-end	48		གང་ལ་ན། སྐུ་མདོག་འཛམ་བུ་ཆུ་བོའི་གསེར་ལྟར་མཛེས་ཤིང་ཅུང་ཟད་སྔོ་བའི་རྣམ་པ་ཅན། ཆུ་ནང
34	line-end	50		རྒྱུ་སྦྱིན་པ་དང་། བརྩོན་འགྲུས་དང་། བསྲུང་དཀའ་བ་ཐུབ་པའི་ཚུལ་ཁྲིམས་དང་། རྨོངས་པའི་
35	line-end	17		གསུམ་པ་རྒྱལ་བ་དང་རྒྱལ་སྲས་ཀྱིས་གུས་པས་བསྟེན་པའི་སྒོ་ནས་བསྟོད་པ་ནི།
36	verse-stanza	29		ཕྱག་འཚལ་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར།།↵མཐའ་ཡས་རྣམ་པར་རྒྱལ་བར་སྤྱོད་མ།།↵མ་ལུས་ཕ་རོལ
37	line-end	3		ཞེས་པ་སྟེ།
38	terminal-particle	3		ཕྱག་འཚལ་ལོ། །
39	line-end	21		གང་ལ་ན། དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་ཡུམ་ཡིན་པས་དེ་རྣམས་ཀྱི་དབུའི་གཙུག་ཏོར་གྱི་རྩེ
40	line-end	17		མི་མཐུན་ཕྱོགས་མཐའ་ཡས་པ་ལས་རྣམ་པར་རྒྱལ་བའི་ཚུལ་དུ་སྤྱོད་ཅིང་བཞུགས་མ།
41	line-end	33		ས་བཅུ་མ་ལུས་པའི་ངོ་བོ་ཕ་རོལ་དུ་ཕྱིན་པ་བཅུ་ཐོབ་པའི་རྒྱལ་བའི་སྲས་བྱང་ཆུབ་སེམས་དཔའ་
42	line-end	12		བཞི་པ་མི་མཐུན་ཕྱོགས་གནོན་པའི་སྒོ་ནས་བསྟོད་པ་ནི།
43	verse-stanza	28		ཕྱག་འཚལ་ཏུཏྟཱ་ར་ཧཱུཾ་ཡི་གེས།།↵འདོད་དང་ཕྱོགས་དང་ནམ་མཁའ་གང་མ།།↵འཇིག་རྟེན་བདུན་པོ་ཞ
44	line-end	3		ཞེས་པ་སྟེ།
45	line-end	63		ཕྱག་འཚལ་ལོ། གང་ལ་ན། གསུང་ཏུཏྟཱ་ར་ཞེས་སོགས་སྔགས་འཕྲེང་ལས་འཕྲོས་པའི་འོད་ཟེར་དང་། ཐ
46	line-end	49		དེ་ལྟ་བུའི་འཇིག་རྟེན་གྱི་ཁམས་བདུན་པོ་དེ་རྣམས་འོད་དང་སྒྲས་གང་བར་མ་ཟད་སྐུའི་ཞབས་ཀྱ
47	line-end	17		ལྔ་པ་འཇིག་རྟེན་པའི་ལྷ་ཆེན་པོ་རྣམས་ཀྱིས་བཀུར་བའི་སྒོ་ནས་བསྟོད་པ་ནི།
