index	trigger	syllables	flag	preview
1	line-end	15		༄༅། །ཕྱག་འཚལ་ཉེར་གཅིག་མའི་ཊིཀྐ་འཕགས་མའི་ཞལ་ལུང་ཞེས་བྱ་བ་བཞུགས་སོ། །
2	line-end	4		ན་མོ་གུ་རུ།
3	verse-stanza	34		རྒྱལ་བ་རྒྱུད་ཀྱི་སྟོན་པ་རྡོ་རྗེ་འཆང་། །↵རྒྱལ་སྲས་རྒྱུད་ཀུན་སྡུད་མཛད་གསང་བའི་བདག།
4	verse-stanza	17		འཕགས་མའི་ཞབས་ལ་དངོས་སུ་གཏུགས་པ་ཡི། །↵གྲུབ་ཆེན་ཉི་མ་སྦས་དང་རྣམ་རྒྱལ་ཞབས། །
5	verse-stanza	33		ལྔ་བརྒྱའི་གཙུག་རྒྱན་ཇོ་བོ་ཆེན་པོ་སྟེ། །↵ལམ་འདིའི་སྲོལ་འབྱེད་པཎ་གྲུབ་གསུམ་ལ་འདུད།
6	verse-stanza	33		ཐུབ་དབང་གཉིས་པ་འཇམ་མགོན་བློ་བཟང་གྲགས། །↵སྲས་དང་བཅས་ལ་སྙིང་ནས་ཕྱག་བགྱིའོ། །↵འཕགས་
7	verse-stanza	34		དགེ་འདུན་གྲུབ་དང་དགེ་འདུན་རྒྱ་མཚོའི་སྡེ། །↵རྒྱུད་དོན་གསལ་མཛད་རྣམ་གསུམ་གཙུག་གིས་མ
8	verse-stanza	32		ཁ་སྦྱོར་ཡན་ལག་བདུན་ལྡན་བླ་མ་ཀུན། །↵ནམ་མཁའ་ཇི་སྲིད་སྙིང་དབུས་པདྨོར་བཞུགས། །↵ཇི་ལྟ
9	verse-stanza	33		བདག་འདྲས་རྒྱུད་དོན་འགྲེལ་བ་རྒྱལ་བའི་བསྟན། །↵ནུབ་པར་ཉེ་བའི་ལྟས་ལས་གཞན་ཅི་ཞིག།↵འོན
10	verse-stanza	17		འགོད་འདི་བསྟན་པའི་གཤམ་འདྲེན་མ་ཡིན་པར། །↵མཁའ་ཁྱབ་བསྟན་འགྲོའི་དོན་དུ་འགྱུར་བྱིན་རླ
11	line-end	23		དེ་ལ་འདིར་རྗེ་བཙུན་མ་སྒྲོལ་མའི་བསྟོད་པ་ཕྱག་འཚལ་ཉེར་གཅིག་པ་ནི་འདིར་བཤད་པར་བྱ་བའི་
12	terminal-particle	20		དེ་ལ་གཉིས།མཚན་དོན་གྱི་སྟེང་ནས་སྤྱིར་བསྟན་པ་དང་། རྒྱུད་ཀྱི་ཚིག་དོན་བྱེ་བྲག་ཏུ་བཤད
13	line-end	59		དེ་ཡང་ལྷའམ་རྒྱུད་ཀྱི་མཚན་དོན་གྱི་སྟེང་ནས་རང་ལམ་གྱི་གོ་བ་ཡོངས་སུ་རྫོགས་པར་ཆགས་དགོ
14	line-end	14		དང་པོ་ནིའཕགས་མ་ཉིད་ཀྱི་གསང་བ་གསུམ་གྱི་ཡོན་ཏན་གྱིས་སོ། །
15	line-end	12		གཉིས་པ་ནི།སྐྱེ་འཕགས་ཀྱིས་བསྡུས་པའི་སེམས་ཅན་མ་ལུས་པའོ། །
16	line-end	78		གསུམ་པ་ནི།འགྲོ་རྣམས་ཞི་བའི་ལས་ལ་འགོད་པ་ནས་བཟུང་། མྱང་འདས་ལ་འགོད་པའི་བར་གྱི་འཕྲིན
17	terminal-particle	36		ཚུལ་དེ་ལྟར་ན་རྒྱལ་བས་ཆོས་ཕུང་ཇི་སྙེད་གསུང་བ་ཐམས་ཅད་ཀྱི་དོན་འདིར་འདུ་བ་དང་།རྒྱལ་བ
18	line-end	78		དེ་ཡང་ལྷ་མོ་འདིའི་ངོ་བོ་ནི། ཕུང་བོ་ལྔ་དང་ཁམས་ལྔ་རྣམ་པར་དག་པའི་བདག་ཉིད་རིགས་ལྔ་ཡབ
19	line-end	102		དེ་ཡང་གཞི་འཁོར་བའི་གནས་སྐབས་སུ་སེམས་རླུང་གི་རྟ་ལ་ཞོན་ནས་འདུ་བྱེད་ཀྱི་ལས་ཀྱིས་འཁོ
20	line-end	51		འོན་ཀྱང་གདུལ་བྱའི་བློ་དང་འཚམ་པར་གང་ཟག་གཅིག་གིས་ཐོག་མར་ཐུགས་བསྐྱེད་ཚུལ་དང་། སྒྲོལ
21	line-end	80		གཉིས་པ་རྒྱུད་ཀྱི་ཚིག་དོན་བྱེ་བྲག་ཏུ་བཤད་པ་ལ། རྒྱུད་གང་དུ་གཏོགས་པ་ནི། སྒྲོལ་མ་ལས་
22	line-end	51		འདི་དང་གྲུབ་ཆེན་རྣམ་རྒྱལ་ཞབས་གཉིས་ཀྱིས་བླ་མེད་ལུགས་དང་། ཇོ་བོ་ཆེན་པོས་བྱ་རྒྱུད་ད
23	line-end	69		།འདི་ལ་ཚིག་འགྲེལ་རྒྱ་གར་མ་མ་མཐོང་ལ་བོད་ཀྱི་འགྲེལ་བ་གསུམ་ཙམ་མཐོང་ཞིང་། གྲུབ་ཆེན་ཉ
24	quote-open	8		དེ་ལ་ཤོ་ལོ་ཀ་ཉེར་གཅིག་ལས།
25	ordinal-open	10		དང་པོ་ལོ་རྒྱུས་ཀྱི་སྒོ་ནས་བསྟོད་པ་ནི།
26	line-end	34		ཕྱག་འཚལ་སྒྲོལ་མ་ཞེས་སོགས་སྟེ། དོན་ནི།ཕྱག་འཚལ་ལོ་གང་ལ་ན། འཕགས་མ་སྒྲོལ་མ་ཐུགས་རྗེ་
27	line-end	31		ས་འོག་ས་སྟེང་ས་བླའི་འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་ཞལ་གྱི་ཆུ་སྐྱེས
28	line-end	20		ཇི་ལྟར་བྱུང་ན་འཕགས་པའི་སྤྱན་ཆབ་ལས་སྐད་ཅིག་གིས་གློག་འཁྱུག་པ་དང་འདྲ་བར་བྱུང་བའོ།
29	line-end	24		རྒྱུད་ཀྱི་ཚིག་རྐང་གཉིས་པ་འདི་འགྲེལ་བ་སྔོན་མ་རྣམས་སུ་འཕགས་མ་རང་གི་སྤྱན་ལ་སྦྱར་ནས་
30	line-end	13		འདིར་གྲུབ་ཆེན་ཉི་མ་སྦས་བས། སྤྱན་རས་གཟིགས་མགོན་ཐུགས་རྗེ་མ། །
31	line-end	6		ཆུ་སྐྱེས་ཞལ་གྱི་གསེར་ལས། །
32	line-end	7		ཆུ་འཛིན་ལས་སྐྱེ་གློག་འབྱུང་བཞིན། །
33	line-end	7		བྱུང་བས་རབ་དགའི་སྒྲོལ་མ་བསྒོམ། །
34	line-end	6		ཞེས་གསུངས་པ་ལྟར་བྲིས་སོ། །
35	line-end	12		གཉིས་པ་རྒྱན་དང་འོད་ཟེར་གྱི་སྒོ་ནས་བསྟོད་པ་ནི།
36	line-end	21		གང་ལ་ཕྱག་འཚལ་བའི་ཚུལ། སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ་གང་བ་བརྒྱ་ནི་བརྩེགས་པ་ལྟ་བུའི་ཞལ་
37	line-end	19		སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་རྣམས་ཀྱི་རབ་ཏུ་ཕྱེ་བའི་འོད་ཟེར་རབ་ཏུ་འབར་མ་ལའོ། །
38	line-end	17		གསུམ་པ་སྐུ་མདོག་ཕྱག་མཚན་དང་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྒོ་ནས་བསྟོད་པ་ནི།
39	line-end	24		ཕྱག་འཚལ་བའི་ཡུལ་སྐུ་མདོག་གསེར་ལྟར་མཛེས་ཤིང་ཁ་དོག་སྔོ་བའི་ཆུ་སྐྱེས་ཏེ་པདྨས་ཕྱག་ནི
40	line-end	45		སྦྱིན་པ་དང་། བརྩོན་འགྲུས་དང་།དཀའ་ཐུབ་ཞི་བ་སྟེ་ཚུལ་ཁྲིམས་དང་། བཟོད་པ་དང་། བསམ་གཏན
41	line-end	24		འགྲེལ་བ་སྔ་མ་རྣམས་ལས་འགའ་ཞིག་གིས་ཞི་བ་དང་། འགའ་ཞིག་གིས་སྤྱོད་ཡུལ་ཞེས་ཤེར་ཕྱིན་ལ་
42	line-end	10		འདིར་གྲུབ་ཆེན་གྱིས ཤེས་རབ་བདག་ཉིད་ཕར་ཕྱིན་ལྔ། །
43	line-end	7		ཡོངས་རྫོགས་འཕགས་མ་ཆོ་ག་བཞིན། །
44	line-end	8		ཞེས་པ་འདི་ལ་བརྟེན་ནས་བྲིས་སོ། །
45	line-end	56		འདིར་ཕྱིན་དྲུག་གི་གོ་རིམ་ཡོངས་གྲགས་དང་ཅུང་ཟད་མི་མཐུན་ཀྱང་། སྤྱིར་དང་པོ་གསུམ་བསོད
46	line-end	62		ཕྱག་འཚལ་སེར་སྔོ་ཞེས་པ་ལ་ཡང་སེར་ལ་ཀ་སྔོན་འཇུག་ཡོད་མེད་ཀྱིས་འགྲེལ་བ་སྣ་ཚོགས་འདུག་ཀ
47	line-end	16		བཞི་པ་དེ་བཞིན་གཤེགས་བ་སྲས་བཅས་ཀྱིས་བཀུར་བའི་སྒོ་ནས་བསྟོད་པ་ནི།
48	line-end	43		གང་ལ་ཕྱག་འཚལ་བའི་ཡུལ་རྒྱལ་བ་ཐམས་ཅད་བསྐྱེད་པའི་ངེས་དོན་གྱི་ཡུམ་མཆོག་ཤེས་རབ་ཀྱི་ཕ་
49	line-end	22		སྲིད་པ་དང་ཞི་བའི་ཕྱོགས་མཐའ་ཡས་པ་ལས་རྣམ་པར་རྒྱལ་བའི་སྤྱོད་པ་མཆོག་ཏུ་གྱུར་པ་དང་།
50	terminal-particle	34		ས་རང་རང་གི་ངོས་སྐལ་གྱི་ཕར་ཕྱིན་བཅུའི་འཕེལ་བ་ཡོངས་སུ་རྫོགས་པས་རྒྱལ་བའི་སྲས་ས་བཅུ་
51	line-end	54		འདི་ནི་དུས་གསུམ་འཕགས་པ་ཞེས་གསོ་བྱ་གསོ་བྱེད་དང་བསྐྱེད་བྱ་སྐྱེད་བྱེད་ཀྱི་ཡུམ་དུ་གྱ
52	line-end	12		ལྔ་བ་འཇིག་རྟེན་གསུམ་འདུལ་བའི་སྒོ་ནས་བསྟོད་པ་ནི།
53	line-end	45		ཕྱག་འཚལ་བའི་ཡུལ་ཏུཏྟཱ་རེ་ཧཱུཾ་ཞེས་པའི་རིག་སྔགས་ཀྱི་སྒྲ་དང་ཡི་གེའི་འོད་ཟེར་གྱིས་འ
54	line-end	36		སྣོད་ཀྱི་འཇིག་རྟེན་འགུག་ཚུལ་དང་། རིགས་དྲུག་བར་དོ་དང་བཅས་པའི་འཇིག་རྟེན་བདུན་པོ་ཞབ
55	line-end	36		གྲུབ་ཆེན་གྱི་གཞུང་དུ། འཇིག་རྟེན་གསུམ་པོ་ཞབས་ཀྱིས་མནན་ཏེ་ཞེས་དྲངས་འདུག་པ་ནི། གསུམ
56	line-end	9		གྲུབ་ཆེན་གྱིས། མཐུ་ཆེན་སྔགས་ཀྱི་ཧཱུཾ་སྒྲ་ཡིས། །
57	line-end	7		ཁམས་གསུམ་རྒྱས་འགེངས་སྲིད་གསུམ་གནོན། །
58	line-end	7		ཀུན་བདག་བཀུག་ནས་དབང་སྡུད་མ། །
59	line-end	7		དབང་བསྒྱུར་ཆེ་ཉིད་རྣམ་པར་བསྒོམ། །
60	line-end	27		ཞེས་གསུངས་པའི་སྲིད་གསུམ་གནོན་ཞེས་པ། འདིའི་ཐད་ཀྱི་འགྲེལ་བ་ཡིན་པས་རྒྱུད་ཀྱི་རྒྱ་དཔ
61	line-end	17		དྲུག་པ་འཇིག་རྟེན་པའི་མཐུ་བོ་ཆེ་རྣམས་ཀྱིས་མཆོད་པའི་སྒོ་ནས་བསྟོད་པ་ནི།
62	line-end	31		ཕྱག་འཚལ་བའི་ཡུལ་ཤར་ཕྱོགས་སྐྱོང་བ་བརྒྱ་བྱིན་དང་། ཤར་ལྷོ་མེ་ལྷ། སྟེང་སྐྱོང་ཚངས་པ། 
63	line-end	36		འབྱུང་བོ་སྟེ་དབང་ལྡན། རོ་ལངས་ཞོན་པའི་སྲིན་པོ། དྲི་ཟའི་བདག་པོ་གཤིན་རྗེ་རྣམས་དང་། 
64	line-end	76		འགྲེལ་བ་ཐམས་ཅད་དུ་ཕྱོགས་སྐྱོང་ལ་མ་སྦྱར་འདུག་ཀྱང་། རྒྱུད་རང་གི་ཚིག་ལ་ཕྱོགས་སྐྱོང་
65	line-end	66		འདིར་རང་མིང་ནས་སྨོས་པ་རྣམས་སོར་བཞག ནུབ་ཀྱི་ཆུ་ལྷས་དབང་སྡུད་ཀྱི་ཞགས་པ་བཟུང་བས་དབང
66	line-end	95		དཀྱིལ་འཁོར་གྱི་མཐའི་དུར་ཁྲོད་ཀྱི་ཞིང་སྐྱོང་རྣམས་ཕྱོགས་སྐྱོང་གི་སྤྲུལ་བར་གོ་བའི་ཆ
67	line-end	14		བདུན་པ་ཕ་རོལ་གྱི་འཁྲུལ་འཁོར་འཇོམས་པའི་སྒོ་ནས་བསྟོད་པ་ནི།
68	line-end	34		ཕྱག་འཚལ་བའི་ཡུལ་འཕགས་མ་གང་གི་ཞལ་ནས་ཊད་ཅེས་བྱ་བ་དང་། ཕཊ་ཀྱི་སྒྲ་དྲག་པོས་ཕ་རོལ་གྱི
69	line-end	24		གཡས་བསྐུམས་གཡོན་བརྐྱངས་ཀྱི་སྟབས་ཀྱིས་འཁོར་བའི་འཇིག་རྟེན་མནན་ཏེ། མེ་དཔུང་འབར་ཞིང་
70	line-end	73		གྲུབ་ཆེན་གྱིས་འདིའི་ལས་ཚོགས་ལ་འཕོ་བ་སྦྱར་འདུག་པ་ཊད་ཅེས་བྱ་བ་ནི་ངན་སོང་འཇོམས་པའི་
71	line-end	14		བརྒྱད་པ་གཞན་གྱི་བྱད་ཁ་སོགས་བཟློག་པའི་སྒོ་ནས་བསྟོད་པ་ནི།
72	line-end	21		ཕྱག་འཚལ་བའི་ཡུལ་ཏུ་རེའི་རིག་སྔགས་ཀྱིས་འཇིགས་པ་ཆེན་པོ་བརྒྱད་ལས་སྐྱོབ་པས་འཇིགས་པ་ཆ
73	line-end	13		བདུད་ཀྱི་དཔའ་བོ་བདུད་བཞི་ལ་སོགས་པ་འཇོམས་པས་དཔའ་མོ།
74	line-end	35		ཆུ་སྐྱེས་ལྟར་རྒྱས་པའི་ཞལ་ནི་ཁྲོ་གཉེར་དང་ལྡན་པའི་ཁྲོ་མོའི་རྣམ་པར་མཛད་དེ། ཕྱི་ནང་ག
75	line-end	9		གྲུབ་ཆེན་གྱིས། འཇིགས་ཆེན་ལས་སྐྱོབས་འཇིགས་ཆེན་མོ། །
76	line-end	7		ཁྲོས་པས་དགྲ་གསོད་དགྲ་ཆེན་དགྲ། །
77	line-end	7		དབང་བསྐུར་ཀུན་སྦྱིན་དབང་བདག་བསྒོམ། །
78	line-end	4		ཞེས་གསུངས་ནས་
79	line-end	86		རྫོགས་རིམ་རྒྱས་པ་ཞིག་འདི་ལ་སྦྱར་འདུག་པས། ནང་གི་འཇིགས་ཆེན་བརྒྱད་ལས་སྐྱོབས་པ་དང་། 
80	line-end	10		དགུ་བ་གཞན་སྲུང་བའི་སྒོ་ནས་བསྟོད་པ་ནི།
81	line-end	28		ཕྱག་འཚལ་བའི་ཡུལ་མཐེབ་སྲིན་སྦྱར་ཞིང་ལྷག་མ་གསུམ་བསྒྲེང་བའི་དཀོན་མཆོག་གསུམ་མཚོན་གྱི
82	line-end	21		ཕྱོགས་དང་ཕྱོགས་མཚམས་མ་ལུས་པའི་འཁོར་ལོ་རང་གི་འོད་ཀྱི་ཚོགས་རྣམས་འཁྲུགས་པས་བརྒྱན་པར
83	line-end	17		རྗེ་དགེ་འདུན་གྲུབ་ཀྱི་སྒྲོལ་དཀར་གྱི་བསྟོད་པར། ཕྱག་གཡོན་ཨུཏྤལ་བསྣམས་པའི་སྐྱབས་སྦྱ
84	line-end	8		སཻངྒ་གླིང་ཆེན་མེ་དང་དུག་སྦྲུལ་སོགས། །
85	line-end	9		འཇིགས་པ་ཀུན་སྐྱོབས་དུས་གསུམ་སངས་རྒྱས་ཀྱི། །
86	line-end	9		ཡུམ་གྱུར་དགེ་མ་ཁྱོད་ལ་ཕྱག་འཚལ་ལོ། །
87	line-end	4		ཞེས་གསུངས་པ་
88	line-end	83		ལྟར་ཕྱག་གི་ཨུཏྤལ་གྱིས་དུས་གསུམ་སངས་རྒྱས་མཚོན་པ་དང་ཕྱག་རྒྱའི་རང་ཉིད་དཀོན་མཆོག་མ་ལ
89	line-end	15		བཅུ་བ་བདུད་དང་འཇིག་རྟེན་དབང་དུ་མཛད་པའི་སྒོ་ནས་བསྟོད་པ་ནི།
90	line-end	30		ཕྱག་འཚལ་བའི་ཡུལ་་ཐུགས་རྒྱུད་རབ་ཏུ་དགའ་བས་གང་བས་སྐུ་རབ་ཏུ་བརྗིད་ཅིང་། དབུ་རྒྱན་འོ
91	line-end	29		བཞད་པའི་གད་རྒྱངས་རབ་ཏུ་བཞད་པའི་ཏུཏྟཱ་རའི་སྔགས་ཀྱིས་ནག་པོའི་ཕྱོགས་སུ་གྱུར་པའི་བདུ
92	line-end	21		སྒྲས་ཟིན་འདི་ལ་བརྟེན་ནས་མུ་སྟེགས་ཅན་དབང་སྡུད་ཀྱི་ལས་སྦྱོར་ཇོ་བོས་ཆེན་པོས་མཛད་སྣང
93	line-end	9		གྲུབ་ཆེན་གྱིས། ཏིང་འཛིན་དམ་པས་ཐུགས་གཏམས་ཏེ། །
94	line-end	7		དགྱེས་ཤིང་དགྱེས་པས་རོལ་བའི་སྟངས། །
95	line-end	7		དབུ་རྒྱན་ལྔ་ཡི་ལྷ་འོད་ཀྱིས། །
96	line-end	7		བཞད་ཅིང་རབ་བཞད་བསྒོམ་པར་བྱ། །
97	line-end	5		ཞེས་གསུངས་པ་ལྟར་ན།
98	line-end	49		ཟག་མེད་ཀྱི་ཏིང་ངེ་འཛིན་དམ་པའི་དགའ་བ་བཞིའི་དབང་གི་མཐར་ཐུགས་ལྷན་སྐྱེས་ཀྱི་དགའ་བ་ཆེ
99	line-end	49		རྒྱལ་བ་རིགས་ལྔའི་རང་བཞིན་གྱི་དབུ་རྒྱན་འོད་ཟེར་འབར་བར་གསུངས་པ་འདི་དང་གཉིས་ཀ་བསྡོམ
100	line-end	12		བཅུ་གཅིག་པ་ཕོངས་བ་སེལ་བའི་སྒོ་ནས་བསྟོད་པ་ནི།
101	line-end	21		ཕྱག་འཚལ་བའི་ཡུལ་ས་གཞི་སྐྱོང་བ་སྟེ། གཟའ་བརྒྱད་ཀྱི་ཚོགས་རྣམས་ཐམས་ཅད་འགུགས་པར་ནུས་མ
102	line-end	23		ཞལ་གྱི་ཁྲོ་གཉེར་གཡོ་བ་དང་། གསུང་ཡི་གེ་ཧཱུཾ་གི་འོད་ཟེར་གྱིས་ཕོངས་པ་ཐམས་ཅད་རྣམ་པར་
103	line-end	46		འདིར་ས་གཞི་སྐྱོང་བ་ཞེས་པ་གཟའ་བརྒྱད་ལ་སྦྱར་དགོས་ཏེ། གྲུབ་ཆེན་གྱིས་འདིའི་ཐད་དུ་རྗེ
104	line-end	60		གཟའ་བརྒྱད་ལ་ས་གཞི་སྐྱོང་བ་ཞེས་པའི་རྒྱུ་མཚན་ཡོད་དེ། ཉི་ཟླ་གཉིས་ཀྱི་འཁོར་ལུགས་ཀྱི་
105	line-end	45		ས་ལ་གནས་པའི་མིའི་ནང་གི་རྩ་ཐིག་རླུང་གསུམ་གྱི་རྟེན་འབྲེལ་གྱིས་ཕྱི་རོལ་ཏུ་གཟའ་སྐར་ག
106	line-end	14		བཅུ་གཉིས་པ་དབུ་རྒྱན་དང་རིགས་བདག་གི་སྒོ་ནས་བསྟོད་པ་ནི།
107	line-end	27		ཕྱག་འཚལ་བའི་ཡུལ་ཟླ་བའི་དུམ་བུ་སྟེ་ཟླ་བ་ཕྱེད་པས་དབུ་ལ་བརྒྱན་ཅིང་། རྒྱན་ཐམས་ཅད་ལ་འ
108	line-end	22		རལ་བའི་ཁྲོད་ན་རིགས་བདག་འོད་དཔག་མེད་ལས་དུས་རྟག་པར་ཤིན་ཏུ་འོད་རབ་ཏུ་འབར་བར་མཛད་མའོ
109	line-end	80		གྲུབ་ཆེན་གྱིས་འདིའི་ཐད་དུ་སྦྱིན་སྲེག་གསུངས་པའི་ངེས་དོན་རྫོགས་རིམ་གྱི་གཏུམ་མོ་ཡིན
110	line-end	13		བཅུ་གསུམ་པ་གདུག་པ་ཅན་འདུལ་བའི་སྒོ་ནས་བསྟོད་པ་ནི།
111	line-end	5		སྒྲས་ཟིན་གོ་སླ་ལ།
112	line-end	9		གྲུབ་ཆེན་གྱིས། སྨིན་བྱེད་བརླག་བྱེད་དཔའ་མོ་ནི། །
113	line-end	7		མི་བཟད་མེ་དཔུང་དབུས་ན་བརྗིད། །
114	line-end	8		རྟེན་བྱེད་སྡང་བྱེད་དགའ་མཛད་ཅིང་། །
115	line-end	7		འཇོམས་བྱེད་དྲག་གཟུགས་ཅན་དེ་བསྒོམ། །
116	line-end	3		ཞེས་དང་།
117	line-end	14		ཇོ་བོས་ཀྱང་། མེ་ལྟར་སྨིན་མཛད་སྒྲོལ་མ་ཡུམ་ལ་ཕྱག་འཚལ་ལོ། །
118	line-end	5		ཞེས་པ་ལྟར་ན་
119	line-end	21		ཕྱག་འཚལ་བའི་ཡུལ་བསྐལ་བ་ཐ་མ་སྟེ། འཇིག་དུས་ཀྱི་མེ་ལྟར་འབར་བའི་འཕྲེང་བའི་དབུས་ན་གནས
120	line-end	48		གཡས་བརྐྱངས་ཤིང་གཡོན་བསྐུམས་ནས་བཞུགས་པའི་སྐུ་ལས་སྤྲོས་པའི་མེ་འོད་ཀྱིས་གུས་པས་བསྟེ
121	line-end	12		བཅུ་བཞི་བ་རང་གཞན་སྲུང་བའི་སྒོ་ནས་བསྟོད་པ་ནི།
122	line-end	20		ཕྱག་འཚལ་བའི་ཡུལ་ས་གཞིའི་ངོས་ལ་ཕྱག་གི་མཐིལ་གྱིས་བསྣུན་ཅིང་ཞབས་ཀྱིས་བརྡུང་བར་མཛད་མ
123	line-end	26		ཞལ་ཁྲོ་གཉེར་གཡོ་བའི་ཁྲོས་པའི་ཉམས་དང་བཅས་པའི་གསུང་ཡི་གེ་ཧཱུཾ་གི་སྒྲས་འཇིག་རྟེན་རི
124	line-end	94		གྲུབ་ཆེན་གྱི་གཞུང་དུ། རིམ་པ་བདུན་པོ་རྣམས་ནི་འགེངས་མ་ཞེས་དྲངས་ནས། ཡིག་མཆོག་འཛིན་ར
125	line-end	12		བཅོ་ལྔ་བ་སྡིག་པ་འཇོམས་པའི་སྒོ་ནས་བསྟོད་པ་ནི།
126	line-end	34		ཕྱག་འཚལ་བའི་ཡུལ་ཟག་མེད་ཀྱི་བདེ་བའི་རང་བཞིན་ཅན་ཡིན་པས་བདེ་མ། སྒྲིབ་གཉིས་སྤངས་པས་ད
127	line-end	9		གྲུབ་ཆེན་གྱིས། ལྷ་མོ་བདེ་ལས་མཐོ་རིས་སྦྱིན། །
128	line-end	7		དགེ་མས་ཐར་བ་སྦྱིན་པ་སྟེ། །
129	line-end	7		དེ་བཞིན་ཞི་མས་རྫོགས་སངས་རྒྱས། །
130	line-end	7		སྦྱིན་མཛད་སྡིག་འཇོམས་བསྒོམ་པར་བྱ། །
131	line-end	5		ཞེས་པ་ལྟར་ན་
132	line-end	15		མངོན་མཐོའི་གོ་འཕང་སྟེར་བས་བདེ་མ། ངེས་ལེགས་ཐར་བ་སྟེར་བས་དགེ་མ། །
133	line-end	25		སངས་རྒྱས་ཀྱི་གོ་འཕང་སྟེར་བས་ཞི་མ། མྱ་ངན་འདས་པ་ཞི་བ་མཆོག་གི་སྤྱོད་ཡུལ་ཆོས་ཀྱི་སྐུ
134	line-end	23		མཐར་སྭཱ་ཧཱ་དང་ཐོག་མར་ཨོཾ་དང་ཡང་དག་པར་ལྡན་པའི་སྔགས་ཀྱིས་སྡིག་པ་ཆེན་པོ་འཇོམས་པ་ཉིད
135	line-end	12		བཅུ་དྲུག་པ་ཤེས་རབ་སྩོལ་བའི་སྒོ་ནས་བསྟོད་པ་ནི།
