index	trigger	syllables	flag	preview
1	line-end	19		ཕྱག་འཚལ་ཉེར་གཅིག་གི་ཕན་ཡོན་དང་བཅས་པ་གསལ་བའི་མེ་ལོང་ཞེས་བྱ་བ་བཞུགས་སོ།། །།
2	quote-open	21		ཕྱག་འཚལ་ཉི་ཤུ་རྩ་གཅིག་གིས་བསྟོད་པ་ལ་མདོར་བསྟན། རྒྱས་བཤད། ཕན་ཡོན་བསྟན་པས་མཇུག་བསྡ
3	ordinal-open	6		དང་པོ་མདོར་བསྟན་པ་ནི།
4	line-end	12		ཨོཾ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ། །
5	line-end	3		ཞེས་པ་སྟེ།
6	terminal-particle	36		ཨཾ་ནི་སྐུ་ལྔ་ཡེ་ཤེས་ལྔ་ཡི་ངོ་བོ་སེམས་ཅན་ཀྱི་སེམས་ཀྱི་དྲི་མ་སྦྱངས་བར་མཛད་པ། སྐྱབས
7	terminal-particle	24		རྗེ་བཙུན་མ་ནི་འཇིག་རྟེན་གསུམ་གྱི་མགོན་སྐྱབས་སུ་གྱུར་པའི་ཕྱིར་དང་སྡོམ་པ་གསུམ་ཡང་ད
8	terminal-particle	12		འཕགས་མ་ནི་སོ་སྐྱེའི་ས་ལས་རིང་དུ་འཕགས་པས་ནའོ། །
9	line-end	17		སྒྲོལ་མ་ནི་སེམས་ཅན་ཐམས་ཅད་སངས་རྒྱས་ཀྱི་ས་ལས་སྒྲོལ་བར་མཛད་པས་ནའོ། །
10	line-end	33		གཉིས་པ་རྒྱས་པར་བཤད་པ་ལའང་། སྤྱིར་ལོ་རྒྱུས་ཀྱི་དབང་དུ་བྱས་ཏེ་ཕྱག་འཚལ་བ། སྐུའི་རྣམ
11	ordinal-open	3		དང་པོ་ནི།
12	line-end	8		ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ། །
13	line-end	8		སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ། །
14	line-end	8		འཇིག་རྟེན་གསུམ་མགོན་ཆུ་སྐྱེས་ཞལ་གྱི། །
15	line-end	8		གེ་སར་བྱེ་བ་ལས་ནི་བྱུང་མ། །
16	line-end	3		ཞེས་པ་སྟེ།
17	line-end	20		སྒྲོལ་མ་ནི་དང་པོ་སྐུ་ཅི་ལས་བྱུང་། བར་དུ་སེམས་ཅན་གྱི་དོནཅི་ལྟ་བུ་མཛད་ཅེ་ན།
18	ordinal-open	85		དང་པོ་འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་གིས་གདུལ་བྱ་སེམས་
19	line-end	42		འཁྲུངས་ནས་གདུལ་བྱའི་དོན་ཅི་ལྟ་བུ་མཛད་སྙམ་ན། ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ་ཞེས་པས
20	line-end	45		དེ་ལྟར་མྱུར་ཞིང་དཔའ་བའི་རྗེ་བཙུན་སྒྲོལ་མ་དེ་ཉིད་ཀྱིས་སེམས་ཅན་གྱི་དོན་དུ་ཉིན་མཚན་
21	line-end	8		སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ། །
22	line-end	21		ཞེས་པ་སྟེ། དེ་ལྟ་བུའི་ཡོན་ཏན་དང་ལྡན་པའི་རྗེ་བཙུན་མ་ལ་སྒོ་གསུམ་གུས་པས་ཕྱག་འཚལ་ལོ།
23	line-end	25		གཉིས་པ་སྐུའི་རྣམ་པའི་སྒོ་ནས་ཕྱག་འཚལ་བ་ལ། ལོངས་སྐུའི་རྣམ་པ་དང་། ཆོས་སྐུའི་རྣམ་པའི
24	ordinal-open	28		དང་པོ་ལོངས་སྐུའི་རྣམ་པའི་སྒོ་ནས་ཕྱག་འཚལ་བ་ལའང་ཞི་བའི་རྣམ་པ་དང་།ཁྲོ་བོའི་རྣམ་པའི་
25	ordinal-open	22		དང་པོ་ཞི་བའི་རྣམ་པའི་སྒོ་ནས་ཕྱག་འཚལ་བ་ལ། ཕྱག་འཚལ་དྲུག་གི་སྒོ་ནས་བསྟོད་པར་མཛད་པ་ལ
26	ordinal-open	17		དང་པོ་ཞལ་མདངས་གསལ་ཞིང་འོད་ཟེར་འཕྲོ་བའི་སྒོ་ནས་བསྟོད་པར་མཛད་པ་ནི།
27	line-end	15		ཕྱག་འཚལ་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ། གང་བ་བརྒྱ་ནི་བརྩེགས་པའི་ཞལ་མ། །
28	line-end	8		སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་རྣམས་ཀྱིས། །
29	line-end	8		རབ་ཏུ་ཕྱེ་བའི་འོད་རབ་འབར་མ། །
30	line-end	3		ཞེས་པ་སྟེ།
31	line-end	107		སྤྱིར་ཟླ་བ་དེ་དངོས་པོ་གཞན་ལས་ཁྱད་པར་དུ་འཕགས་པ་བཀྲག་མདངས་དང་ལྡན་པ་ཞིག་ཡིན་ལ། དབྱར
32	line-end	18		དེ་ལས་འོད་ཟེར་འཕྲོ་བར་བསྟན་པར་མཛད་པ་ནི།སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་རྣམས་ཀྱིས། །
33	line-end	67		ཞེས་སྐར་མ་སྟོང་ཕྲག་ཙམ་གཅིག་ཏུ་འཚོགས་པ་ན་འོད་ཟེར་ཀྱང་མིག་གི་ལྟ་བས་མི་བཟོད་པར་འཕྲོ
34	line-end	16		གཉིས་པ་སྐུ་མདོག་དང་ཕྱག་མཚན་དང་སྐུའི་སྒོ་ནས་བསྟོད་པར་མཛད་པ་ནི།
35	line-end	8		ཕྱག་འཚལ་གསེར་སྔོ་ཆུ་ནས་སྐྱེས་ཀྱི། །
36	line-end	7		པདྨས་ཕྱག་ནི་རྣམ་པར་བརྒྱན་མ། །
37	line-end	8		སྦྱིན་པ་བརྩོན་འགྲུས་དཀའ་ཐུབ་ཞི་བ། །
38	line-end	8		བཟོད་པ་བསམ་གཏན་སྤྱོད་ཡུལ་ཉིད་མ། །
39	line-end	3		ཞེས་པ་སྟེ།
40	line-end	56		སྐུ་མདོག་གི་དབང་དུ་ན། གསེར་སྔོ་ཆུ་ནས་སྐྱེས་ཀྱི། ཞེས་མདངས་ཤིན་ཏུགས་ལ་བའི་ཆ་ནས་གསེ
41	line-end	55		པདྨས་ཕྱག་ནི་རྣམ་པར་བརྒྱན་མ། །ཞེས་དེ་ལ་ཆུ་ལས་སྐྱེས་པའི་མེ་ཏོག་ཨུཏྤལ་སྔོན་པོ་འདབ་མ
42	line-end	85		སྐུའི་དབང་དུ་ན། རྗེ་བཙུན་མ་ནི་སྐུ་གང་ལས་བྱུང་སྙམ་ན། རྒྱུ་ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་ལས
43	line-end	102		ཞི་བ་ཞེས་པས་དངོས་བསྟན་གྱི་དབང་དུ་བྱས་ན། ཕྱིན་དྲུག་ལ་སྐྱོན་གྱི་རྣམ་པས་མ་གོས་པ་སྟེ
44	line-end	16		དེ་ལྟར་སྐུ་མདོག ཕྱག་མཚན། སྐུའི་སྒོ་ནས་བསྟོད་པའམ་ཕྱག་འཚལ་བར་མཛད་པ་དང་།
45	ordinal-open	31		གསུམ་པ་རྒྱལ་དང་རྒྱལ་བའི་སྲས་ཀྱིས་གུས་པས་བསྟེན་པར་མཛད་པས། དེ་ཡང་ཕྱག་འཚལ་ཞེས་པ་ལ། 
46	line-end	22		སྐབས་འདིར་ཕྱག་འཚལ་བ་ནི་ཐོག་མའི་གསལ་བྱེད་དུ་བསྟན་པར་མཛད་པ་སྟེ། གང་ལ་ན་རྗེ་བཙུན་མ་
47	quote-open	64		ཕྱག་འཚལ་བ་ལ་ཡོན་ཏན་གང་དང་ལྡན་ན། རྒྱལ་བ་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཆེན་པོ་རྣམས་
48	ordinal-open	11		དང་པོ་སངས་རྒྱས་ཀྱིས་གུས་པས་བསྟེན་པའི་ཚུལ་ནི།
49	line-end	8		ཕྱག་འཚལ་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར། །
50	line-end	3		ཞེས་པ་སྟེ།
51	terminal-particle	39		དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱིས་རྗེ་བཙུན་མ་ལ་ཕྱག་འཚལ་བའི་རྒྱུ་མཚན་ཅི་ལྟ་བུ་ཡིན་ཞེ་ན། ར
52	line-end	16		སངས་རྒྱས་ཐམས་ཅད་ནི་ཤེར་ཕྱིན་ལ་བརྟེན་ནས་འཁྲུངས་པ་ཡིན་པའི་ཕྱིར་ནའོ། །
53	terminal-particle	35		ཆོས་ཀྱི་དབྱིངས་ཤེར་ཕྱིན་གྱི་དོན་དེ་ཚུལ་བཞིན་རྟོགས་ཅིང་མངོན་དུ་གྱུར་ན་སངས་རྒྱས་ཀྱ
54	line-end	23		དེས་ན་རྗེ་བཙུན་མ་ནི་ཤེར་ཕྱིན་གྱི་རང་གཟུགས་ཡིན་པའི་ཕྱིར་ན།དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱ
55	line-end	8		མཐའ་ཡས་རྣམ་པར་རྒྱལ་བར་སྤྱོད་མ། །
56	line-end	47		དེ་ཡང་མཐའ་ཡས་པའི་སེམས་ཅན་ཐམས་ཅད་ཀྱིས་ཤེར་ཕྱིན་ཇི་ལྟ་བ་བཞིན་མི་རྟོགས་པའི་འགལ་རྐྱེ
57	line-end	14		གཉིས་པ་བྱང་སེམས་ཆེན་པོ་རྣམས་ཀྱིས་གུས་པས་བསྟེན་པའི་ཚུལ་ནི།
58	line-end	8		མ་ལུས་ཕ་རོལ་ཕྱིན་པ་ཐོབ་པའི། །
59	line-end	8		རྒྱལ་བའི་སྲས་ཀྱིས་ཤིན་ཏུ་བསྟེན་མ། །
60	line-end	2		ཞེས་
61	quote-open	15		བྱང་སེམས་ལའང་སོ་སྐྱེ་དང་འཕགས་ས་ལ་བཞུགས་པའི་བྱང་སེམས་གཉིས་ལས།
62	line-end	62		འཕགས་ས་ལ་བཞུགས་པའི་བྱང་སེམས་ནི་དངོས་ཡིན་ལ། དེ་ལ་ཕ་རོལ་ཏུ་ཕྱིན་པ་ས་བཅུའི་ཕ་རོལ་ཏུ
63	line-end	20		བཞི་པ་རྗེ་བཙུན་མས་མི་མཐུན་པའི་ཕྱོགས་ཐམས་ཅད་གནོན་པའི་སྒོ་ནས་བསྟོད་པར་མཛད་པ་ནི།
64	line-end	7		ཕྱག་འཚལ་ཏུཏྟཱ་ར་ཧཱུཾ་ཡི་གེས། །
65	line-end	8		འདོད་དང་ཕྱོགས་དང་ནམ་མཁའ་གང་མ། །
66	line-end	15		འཇིག་རྟེན་བདུན་པོ་ཞབས་ཀྱིས་མནན་ཏེ། ལུས་པ་མེད་པར་འགུགས་པར་ནུས་མ། །
67	line-end	3		ཞེས་པ་སྟེ།
68	line-end	48		ཕྱག་འཚལ་ཏུཏྟ་ར་ནི་ཐོག་མའི་གསལ་བྱེད་དུ་བསྟན་ཅིང་། འདོད་ཁམས། གཟུགས་ཁམས་གནས་རིས་བཅུ
69	line-end	66		འཇིག་རྟེན་བདུན་པོ་ནི། འདོད་ཁམས་ལ་ངན་སོང་གསུམ། ལྷ་དང་མི་ཡི་གནས་ཏེ་གནས་རིས་ལྔ་དང་།
70	line-end	45		འཁོར་བའི་སེམས་ཅན་ཐམས་ཅད་ངན་སོང་དུ་ལུས་པ་མེད་པར། མཐོ་རིས་དང་ཐར་པའི་ལམ་ལ་འགུགས་པར་
