index	kind	syllables	preview
1	prose	16	སྒྲོལ་མ་ཉེར་གཅིག་པའི་བསྟོད་འགྲེལ་འཕྲིན་ལས་ཆར་དུ་སྙིལ་བའི་སྤྲིན་ཕུང་།
2	prose	41	དང་པོ་ནི། རྒྱ་གར་སྐད་དུ། ན་མཿ ཏཱརཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ་གུ་ཎ་ཧི་ཏ་སཱ་ཀ །བོད་སྐད་
3	prose	13	གཉིས་པ་ནི། རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ། །
4	prose	2	ཞེས་གསུངས།
5	prose	25	གསུམ་པ་ལ་ཕྱག་འཚལ་ཉེར་གཅིག་ཡོད་པ་ལས། ཕྱག་འཚལ་དང་པོ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱ
6	prose	9	རྒྱུད་ལས།། ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ། །
7	prose	8	སྤྱན་ནི་སྐད་གཅིག་གློག་དང་འདྲ་མ། །
8	prose	8	འཇིག་རྟེན་གསུམ་མགོན་ཆུ་སྐྱེས་ཞལ་གྱི། །
9	prose	8	གེ་སར་བྱེ་བ་ལས་ནི་བྱུང་མ། །
10	prose	5	ཞེས་གསུངས་པའི་དོན་ནི།
11	prose	28	ཕྱག་འཚལ་ལོ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལའོ། །རྒྱུ་གང་གི་སྒོ་ནས་ཕྱག་འཚལ་ཞེ་ན། སྒྲོལ
12	prose	67	དང་པོ་སྒྲོལ་མ་ཞེས་པའི་མཚན་གྱི་ཆེ་བ་ནི། ལྷ་མོ་འདིས་སེམས་ཅན་དཔག་ཏུ་མེད་པ་གནས་སྐབས་
13	prose	16	སྒྲོལ་རྒྱུད་མཚན་བརྒྱ་རྩ་བརྒྱད་པ་ལས་ཀྱང་། སྣ་ཚོགས་འཇིགས་པའི་རྒྱ་མཚོ་ལས། །
14	prose	7	སེམས་ཅན་ཐམས་ཅད་བདག་གིས་བསྒྲལ། །
15	prose	7	དེས་ན་བདག་ལ་འཇིག་རྟེན་དུ། །
16	prose	7	རྒྱལ་བའི་ཚོགས་ཀྱིས་སྒྲོལ་མར་བསྒྲགས། །
17	prose	3	ཞེས་གསུངས་སོ། །
18	prose	92	གཉིས་པ་མྱུར་མ་སྟེ་འཕྲིན་ལས་མྱུར་བའི་ཆེ་བ་ནི། ལྷ་མོ་འདིས་བསྟན་འགྲོའི་དོན་བྱེད་པའི
