index	trigger	syllables	flag	preview
1	line-end	16		སྒྲོལ་མ་ཉེར་གཅིག་པའི་བསྟོད་འགྲེལ་འཕྲིན་ལས་ཆར་དུ་སྙིལ་བའི་སྤྲིན་ཕུང་།
2	line-end	41		དང་པོ་ནི། རྒྱ་གར་སྐད་དུ། ན་མཿ ཏཱརཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ་གུ་ཎ་ཧི་ཏ་སཱ་ཀ །བོད་སྐད་
3	line-end	13		གཉིས་པ་ནི། རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ། །
4	line-end	2		ཞེས་གསུངས།
5	quote-open	10		གསུམ་པ་ལ་ཕྱག་འཚལ་ཉེར་གཅིག་ཡོད་པ་ལས།
6	line-end	16		ཕྱག་འཚལ་དང་པོ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་བ་ནི།
7	quote-open	2		རྒྱུད་ལས།།
8	line-end	8		ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ། །
9	line-end	8		སྤྱན་ནི་སྐད་གཅིག་གློག་དང་འདྲ་མ། །
10	line-end	8		འཇིག་རྟེན་གསུམ་མགོན་ཆུ་སྐྱེས་ཞལ་གྱི། །
11	line-end	8		གེ་སར་བྱེ་བ་ལས་ནི་བྱུང་མ། །
12	line-end	5		ཞེས་གསུངས་པའི་དོན་ནི།
13	terminal-particle	11		ཕྱག་འཚལ་ལོ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལའོ། །
14	line-end	18		རྒྱུ་གང་གི་སྒོ་ནས་ཕྱག་འཚལ་ཞེ་ན། སྒྲོལ་མྱུར་དཔའ་གསུམ་གྱི་ཆེ་བའི་སྒོ་ནས་ཏེ།
15	line-end	67		དང་པོ་སྒྲོལ་མ་ཞེས་པའི་མཚན་གྱི་ཆེ་བ་ནི། ལྷ་མོ་འདིས་སེམས་ཅན་དཔག་ཏུ་མེད་པ་གནས་སྐབས་
16	line-end	16		སྒྲོལ་རྒྱུད་མཚན་བརྒྱ་རྩ་བརྒྱད་པ་ལས་ཀྱང་། སྣ་ཚོགས་འཇིགས་པའི་རྒྱ་མཚོ་ལས། །
17	line-end	7		སེམས་ཅན་ཐམས་ཅད་བདག་གིས་བསྒྲལ། །
18	line-end	7		དེས་ན་བདག་ལ་འཇིག་རྟེན་དུ། །
19	line-end	7		རྒྱལ་བའི་ཚོགས་ཀྱིས་སྒྲོལ་མར་བསྒྲགས། །
20	line-end	3		ཞེས་གསུངས་སོ། །
21	line-end	92		གཉིས་པ་མྱུར་མ་སྟེ་འཕྲིན་ལས་མྱུར་བའི་ཆེ་བ་ནི། ལྷ་མོ་འདིས་བསྟན་འགྲོའི་དོན་བྱེད་པའི
22	line-end	85		གསུམ་པ་དཔའ་མོ་སྟེ་སྙིང་སྟོབས་རྒྱས་པའི་ཆེ་བ་ནི། ཐོག་མར་སེམས་ཅན་གྱི་དོན་དུ་ཐུགས་བས
23	terminal-particle	83		ཇོ་ནང་པས་འདིའི་ལོ་རྒྱུས་འཆད་པ་ན། དེའི་ཚེ་དགེ་སློང་རྣམས་ཀྱིས་ཁྱེད་དགེ་བའི་རྩ་བ་འད
24	terminal-particle	18		དེ་བས་ན་འཁོར་བ་མ་སྟོང་གི་བར་དུ་བུད་མེད་གཟུགས་ཀྱིས་འགྲོ་བའི་དོན་བྱའོ། །
25	line-end	23		ཞེས་ཐུགས་བསྐྱེད་པ་ཡིན་ལ། ཞེས་གསུངས་པ་ལྟར་འདི་ཡན་ཆད་མཚན་བྱུང་གི་ལོ་རྒྱུས་ཐོག་ནས་མ
26	line-end	67		འོ་ན་ལྷ་མོ་འདི་ལ་དེ་ལྟ་བུའི་སྒྲོལ་མྱུར་དཔའ་གསུམ་གྱི་ཡོན་ཏན་ལྡན་པའི་རྒྱུ་ཅི་ཞིག་ཡ
27	quote-open	36		དེ་བཞིན་འཇིག་རྟེན་གསུམ་མགོན་ཏེ་འཕགས་པ་སྤྱན་རས་གཟིགས་ཀྱིས་སེམས་ཅན་ཇི་ཙམ་འཁོར་བ་ལས
28	line-end	57		ཆུ་སྐྱེས་ཀྱི་ཞལ་གྱི་གེ་སར་བྱེ་བའམ་སྨིན་པ་ལས་ནི་ལྷ་མོ་འདི་བྱུང་མ་སྟེ་བྱུང་བས་ན་འཕ
29	terminal-particle	26		དེའི་ཕྱིར་ན་སྒྲོལ་མྱུར་དཔའ་གསུམ་གྱི་ཡོན་ཏན་མངའོ་ཞེས་སྐབས་དོན་རྒྱུ་མཚན་ཡང་དག་གི་ས
30	line-end	57		མདོར་ན་སྲིད་ཞིའི་རྒུད་པ་རང་གིས་ཇི་བཞིན་གཟིགས་ནས་དེ་ལས་སྒྲོལ་བའི་ཁུར་ལེན་པས་མཁྱེན
31	line-end	54		- དེ་དག་ཀྱང་རིམ་བཞིན་སྒྲོལ་མ། མྱུར་མ། དཔའ་མོ་ཞེས་གསུངས་པའི་དོན་དང་། དེ་བཞིན་སྤྱན
32	line-end	100		, སྐབས་འདིའི་འཇིག་རྟེན་གསུམ་མགོན་ནི་སྤྱན་རས་གཟིགས་ཀྱི་མངོན་བརྗོད་ཀྱི་མཚན་དང་། འཇ
33	terminal-particle	43		སྐུ་མདོག་སོགས་ཉི་སྦས་ཀྱི་སྒྲུབ་ཐབས་ཀྱིས་ཁ་བསྐངས་ཏེ་འཆད་ན། ནམ་མཁའི་དཀྱིལ་ན་པདྨ་དམ
34	line-end	38		ཕྱག་དང་པོ་གཉིས་སྒྲོག་པར་བཞེངས་པའི་རབ་ཏུ་དགའ་བའི་ཕྱག་རྒྱ་དང་ལྡན་པ། དེའི་འོག་མ་གཉི
35	ordinal-open	11		བཞི་པ་ན་རལ་གྲི། གཡོན་གྱི་གསུམ་པ་ན་དུང་།
36	ordinal-open	13		བཞི་པ་ན་ཞགས་པ་བསྣམས་པ། རྒྱན་ཐམས་ཅད་ཀྱིས་བརྒྱན་པ་སྟེ།
37	line-end	10		ཉི་མ་སྦས་པས། མཁའ་དཀྱིལ་གསེར་མདོག་ཆུ་སྐྱེས་གདན། །
38	line-end	8		ཞལ་གཅིག་ཕྱག་བརྒྱད་ཆོས་སྒྲོགས་དང་། །
39	line-end	8		མདའ་གཞུ་འཁོར་ལོ་རལ་གྲི་དུང་། །
40	line-end	7		རྡོ་རྗེ་ཞགས་བཅས་མེ་ཏོག་བརྒྱན། །
41	line-end	4		ཅེས་གསུངས་པའི་ཕྱིར།
42	line-end	18		འདི་ལ་ཉི་སྦས་ཀྱིས་འཕགས་མ་སྒྲོལ་མ་མྱུར་ཞིང་རབ་ཏུ་དཔའ་བ་ཞེས་བྱུང་།
43	line-end	17		ཕྱག་འཚལ་གཉིས་པ་རྗེ་བཙུན་མ་དཀར་མོ་མདངས་ལྡན་མ་ལ་ཕྱག་འཚལ་བ་ནི།
44	quote-open	2		རྒྱུད་ལས།
45	line-end	8		ཕྱག་འཚལ་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ། །
46	line-end	8		གང་བ་བརྒྱ་ནི་བརྩེགས་པའི་ཞལ་མ། །
47	verse-stanza	15		སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་རྣམས་ཀྱིས།།↵རབ་ཏུ་ཕྱེ་བའི་འོད་རབ་འབར་མ། །
48	line-end	5		ཞེས་གསུངས་པའི་དོན་ནི།
49	terminal-particle	3		, ཕྱག་འཚལ་ལོ། །
50	terminal-particle	12		གང་ལ་ན་རྗེ་བཙུན་མ་དཀར་མོ་མདངས་ལྡན་མ་ལའོ། །
