index	kind	syllables	preview
1	prose	13	ཕྱག་འཚལ་ཉེར་གཅིག་གི་བསྟོད་འགྲེལ་བདུད་རྩིའི་དགའ་ཚལ་བཞུགས་སོ།།
2	prose	11	ཨོཾ་སྭ་སྟི། ཆོས་སྐུ་ཤེས་རབ་ཕ་རོལ་ཕྱིན་མ་ཡུམ། །
3	prose	9	ལོངས་སྐུ་དམ་ཚིག་སྒྲོལ་མ་རྣལ་འབྱོར་མ། །
4	prose	9	སྒྱུ་འཕྲུལ་དྲྭ་བ་ཉི་ཤུ་རྩ་གཅིག་ལ། །
5	prose	9	དད་པའི་དགའ་ཚལ་གཡོ་བས་ཕྱག་འཚལ་ལོ། །
6	prose	9	གང་གི་བསྟོད་པ་ཕྱི་ནང་གསང་འགྲེལ་སོགས། །
7	prose	9	ཉོབ་ན་ཤར་འདོན་ཉམས་ལ་མི་ཕན་པས། །
8	prose	17	དངོས་བསྟན་ནང་ནས་གོ་བར་དཀའ་བའི་ཆ། སྦྱོར་དངོས་མཇུག་གི་ཚོགས་བཅས་གོ་བདེར་བཤད། །
9	prose	38	དེའང་རྗེ་བཙུན་སྒྲོལ་མའི་ཡོན་ཏན་གྱི་དཔངས་ལ་གོང་ནས་གོང་དུ་བསྟོད་པར་མོས་ན་སྦྱོར་དངོ
10	prose	7	པོ་ཊ་ལ་ཡི་གནས་མཆོག་ནས། །
11	prose	8	ཏཱཾ་ཡིག་ལྗང་གུ་ལས་འཁྲུངས་ཤིང་། །
12	prose	58	ཏཱཾ་ཡིག་འོད་ཀྱིས་འགྲོ་བ་སྒྲོལ། སྒྲོལ་མ་ལྗང་མོ་འཁོར་བཅས་ཉི་ཤུ་རྩ་གཅིག་པོ་གཤེགས་སུ
13	prose	25	ཞབས་ཀྱི་པདྨ་ལ་བཏུད་དེ། ཕོངས་པ་ཀུན་ལས་སྒྲོལ་མཛད་མ།། སྒྲོལ་མ་ཡུམ་ལ་ཕྱག་འཚལ་ལོ། རྗེ
14	prose	7	ཕྱོགས་བཅུ་དུས་གསུམ་བཞུགས་པ་ཡི། །
15	prose	7	རྒྱལ་བ་སྲས་བཅས་ཐམས་ཅད་ལ། །
16	prose	7	ཀུན་ནས་དྭང་བས་ཕྱག་འཚལ་ལོ། །
17	prose	19	གཉིས་པ་རྗེ་བཙུན་མ་ལ་མཆོད་པ་འབུལ་བའི་ཡན་ལག་ནི། མེ་ཏོག་བདུག་སྤོས་མར་མེ་དྲི། །
18	prose	13	ཞལ་ཟས་རོལ་མོ་ལ་སོགས་པ། དངོས་འབྱོར་ཡིད་ཀྱིས་སྤྲུལ་ནས་འབུལ། །
19	prose	7	འཕགས་མའི་ཚོགས་ཀྱིས་བཞེས་སུ་གསོལ། །
20	prose	18	གསུམ་པ་རང་གཞན་གྱི་སྡིག་པ་བཤགས་པའི་ཡན་ལག་ནི། ཐོག་མ་མེད་ནས་ད་ལྟའི་བར། །
21	prose	86	གསོད་རྐུ་མི་ཚངས་སྤྱོད་པའི་སྡིག་པ་གསུམ། རྫུན་དང་ཕྲ་མ་ཚིག་རྩུབ་ངག་འཁྱལ་བཞི། བརྣབ་ས
22	prose	7	སོ་སོ་སྐྱེ་བོ་ལ་སོགས་པས། །
23	prose	7	དུས་གསུམ་དགེ་བ་ཅི་བསགས་པའི། །
24	prose	8	བསོད་ནམས་ལ་ནི་བདག་ཡི་རང་། །
25	prose	20	ལྔ་པ་ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་དུ་གསོལ་བའི་ཡན་ལག་ནི། སེམས་ཅན་རྣམས་ཀྱི་བསམ་པ་དང་། །
26	prose	7	བློ་ཡི་བྱེ་བྲག་ཇི་ལྟ་བར། །
27	prose	62	ཐེག་པ་ཆེན་པོ་བྱང་སེམས་ཀྱི་ཐེག་པ་མདོ་སྔགས་གཉིས་དང་ཆུང་ངུ་ཉན་རང་གཉིས་ཀྱི་ཐེག་པ་གཉི
28	prose	7	མྱ་ངན་མི་འདའ་ཐུགས་རྗེ་ཡིས། །
29	prose	7	སྡུག་བསྔལ་རྒྱ་མཚོར་བྱིང་བ་ཡི། །
30	prose	101	སེམས་ཅན་རྣམས་ལ་གཟིགས་སུ་གསོལ། བདུན་པ་བསྔོ་སྨོན་ཡན་ལག་ནི། དེའང་ཡན་ལག་དང་པོ་གཉིས་ཀ
31	prose	251	འདྲེན་པའི་དཔལ་དུ་རྗེ་བཙུན་མ་ཁྱེད་དང་ལྷན་ཅིག་ཏུ་བདག་གྱུར་ཅིག དེ་ལྟར་ཕྱག་གཅིག་འཚལ་
32	prose	52	ཨོཾ་ནི་མགོ་འདྲེན། རྒྱལ་བ་ཀུན་གྱི་ཡུམ་མཆོག་ཏུ་གྱུར་པས་རྗེ་བཙུན་མ་སོ་སོའི་སྐྱེ་བོའ
33	prose	92	ཕྱག་གང་ལ་འཚལ་ན་ཏཱ་རེ་ནི་སྒྲོལ་མ། སྐད་ཅིག་དང་ཉི་མ་གཅིག་གིས་ཀྱང་འགྲུབ་པས་ལྷ་གཞན་ལས
34	prose	53	ཕྱག་གང་ལ་འཚལ་ན་མཁྱེན་པས་དད་པ་ཅན་འཇིགས་པ་ཀུན་ལས་སྒྲོལ་མ་དེའང་བསྟོད་པ་པོ་ལ་བརྩེ་བས
35	prose	15	ཁྲོས་མའི་ཚུལ་ལ་ཡེ་ཤེས་ཀྱི་སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ།
36	prose	97	ས་འོག་ངན་སོང་དང་ས་སྟེང་མི་ས་བླ་མཐོ་རིས་ཀྱི་འཇིག་རྟེན་གསུམ་མགོན་ལོངས་སྐུ་སྤྱན་རས་
37	prose	33	ཕྱག་གང་ལ་འཚལ་ན་སྐུའི་ཡོན་ཏན་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ། ཉ་ཁ་གང་བ་བརྒྱ་ཕྲག་གཅིག་ནི་བརྩེ
38	prose	57	དེ་ལ་སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་ལྟ་བུ་རྣམས་ཀྱིས་ཀྱང་། འོད་ཟེར་ཤིན་ཏུ་ཆེ་བས་ན་རབ་ཏུ་བྱ
39	prose	45	ཡང་ཕྱག་གང་ལ་འཚལ་ན་ཟེའུ་འབྲུ་དམར་སེར་གསེར་གྱི་མདངས་ལྡན་གྱི་ཨུཏྤལ་འདབ་མ་སྔོ་བ་ཆུ་ན
40	prose	52	སྦྱིན་པའི་ཕར་ཕྱིན་དང་བརྩོན་འགྲུས་དང་དཀའ་ཐུབ་སྟེ་ཚུལ་ཁྲིམས་དང་ཞི་བའི་ཤེས་རབ་དང་བཟ
41	prose	56	ཡང་ཕྱག་གང་ལ་འཚལ་ན་ཕྱོགས་བཅུའི་དེ་བཞིན་གཤེགས་པ་རྒྱལ་བ་རིགས་ལྔའི་ཚོགས་ཀྱི་གཙུག་གཏོ
42	prose	65	ཕྱོགས་བཅུའི་ཞིང་ཁམས་ན་མ་ལུས་པའི་ཕ་རོལ་ཕྱིན་པ་བཅུ་རིམ་པར་ཐོབ་པའི།། རྒྱལ་བའི་སྲས་པ
43	prose	48	ཡང་ཕྱག་གང་ལ་འཚལ་ན་ༀ་ཏུཏྟཱ་ར་ཧཱུཾ་ཞེས་པའི་ཡི་གེས་ལས་སྦྱོར་བྱས་ཏེ་སྒྲོལ་མ་དམར་མོ་ལ
44	prose	36	རིགས་དྲུག་བར་དོ་དང་བཅས་པའི་འཇིག་རྟེན་བདུན་པོའི་ཆེན་པོ་རྣམས་དང་བཅས་པ་ཐུགས་རྗེའི་ཞ
45	prose	86	ཡང་ཕྱག་གང་ལ་འཚལ་ན་སུམ་ཅུ་རྩ་གསུམ་ན་ཆེ་བའི་བརྒྱ་བྱིན་དྲང་སྲོང་ན་ཆེ་བའི་མེ་ལྷ་གཟུག
46	prose	90	གཞན་ཡང་ཚོགས་ཀྱི་བདག་པོ་ལ་སོགས་པའི་འབྱུང་པོ་འཇིགས་བྱེད་ནག་པོ་ལ་སོགས་པའི་རོ་ལངས་དྲ
47	prose	59	ཡང་ཕྱག་གང་ལ་འཚལ་ན་ཨོཾ་ཏཱ་རེ་ཏྲད་ཕཊ་སྭཱ་ཧཱ་ཞེས་པ་ལྟ་བུའི་ལྷ་སྔགས་ཏིང་ངེ་འཛིན་ལ་བར
48	prose	24	གཡས་བསྐུམ་གཡོན་བརྐྱང་ཞབས་ཀྱིས་མནན་ཏེ། དྲག་པོ་ཚར་གཅོད་ཀྱི་ལས་བྱེད་མེ་འབར་འཁྲུག་པ་
49	prose	50	ཡང་ཕྱག་གང་ལ་འཚལ་ན་ཨོཾ་ཏུ་རེ་སྭཱ་ཧཱ་ཞེས་པའི་ལྷ་སྔགས་ཀྱི་མཐུ་སྟོབས་འཇིགས་པ་ཆེན་མོས
50	prose	46	ཆུ་སྐྱེས་པདྨ་རྒྱས་འདྲའི་ཞལ་ནི་ཁྲོ་གཉེར་ལྡན་པར་མཛད་པས། སྒྲོལ་མ་ཡི་དམ་བྱེད་པ་པོའི་
