index	trigger	syllables	flag	preview
1	line-end	13		ཕྱག་འཚལ་ཉེར་གཅིག་གི་བསྟོད་འགྲེལ་བདུད་རྩིའི་དགའ་ཚལ་བཞུགས་སོ།།
2	line-end	11		ཨོཾ་སྭ་སྟི། ཆོས་སྐུ་ཤེས་རབ་ཕ་རོལ་ཕྱིན་མ་ཡུམ། །
3	line-end	9		ལོངས་སྐུ་དམ་ཚིག་སྒྲོལ་མ་རྣལ་འབྱོར་མ། །
4	line-end	9		སྒྱུ་འཕྲུལ་དྲྭ་བ་ཉི་ཤུ་རྩ་གཅིག་ལ། །
5	line-end	9		དད་པའི་དགའ་ཚལ་གཡོ་བས་ཕྱག་འཚལ་ལོ། །
6	line-end	9		གང་གི་བསྟོད་པ་ཕྱི་ནང་གསང་འགྲེལ་སོགས། །
7	line-end	9		ཉོབ་ན་ཤར་འདོན་ཉམས་ལ་མི་ཕན་པས། །
8	line-end	17		དངོས་བསྟན་ནང་ནས་གོ་བར་དཀའ་བའི་ཆ། སྦྱོར་དངོས་མཇུག་གི་ཚོགས་བཅས་གོ་བདེར་བཤད། །
9	quote-open	23		དེའང་རྗེ་བཙུན་སྒྲོལ་མའི་ཡོན་ཏན་གྱི་དཔངས་ལ་གོང་ནས་གོང་དུ་བསྟོད་པར་མོས་ན་སྦྱོར་དངོ
10	ordinal-open	16		དང་པོ་སྦྱོར་བ་ཚོགས་བསགས་ཀྱི་རིམ་པ་ལ་ཚོགས་ཞིང་སྤྱན་འདྲེན་པ་ནི།
11	line-end	7		པོ་ཊ་ལ་ཡི་གནས་མཆོག་ནས། །
12	line-end	8		ཏཱཾ་ཡིག་ལྗང་གུ་ལས་འཁྲུངས་ཤིང་། །
13	quote-open	40		ཏཱཾ་ཡིག་འོད་ཀྱིས་འགྲོ་བ་སྒྲོལ། སྒྲོལ་མ་ལྗང་མོ་འཁོར་བཅས་ཉི་ཤུ་རྩ་གཅིག་པོ་གཤེགས་སུ
14	ordinal-open	19		དང་པོ་ལུས་དཔག་ཏུ་མེད་པར་སྤྲུལ་ནས་ཕྱག་འཚལ་བ་ནི། ལྷ་དང་ལྷ་མིན་ཅོད་པན་གྱིས། །
15	line-end	6		ཞབས་ཀྱི་པདྨ་ལ་བཏུད་དེ།
16	verse-stanza	20		ཕོངས་པ་ཀུན་ལས་སྒྲོལ་མཛད་མ།།↵སྒྲོལ་མ་ཡུམ་ལ་ཕྱག་འཚལ་ལོ།↵རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མ་དང
17	line-end	7		ཕྱོགས་བཅུ་དུས་གསུམ་བཞུགས་པ་ཡི། །
18	line-end	7		རྒྱལ་བ་སྲས་བཅས་ཐམས་ཅད་ལ། །
19	line-end	7		ཀུན་ནས་དྭང་བས་ཕྱག་འཚལ་ལོ། །
20	line-end	19		གཉིས་པ་རྗེ་བཙུན་མ་ལ་མཆོད་པ་འབུལ་བའི་ཡན་ལག་ནི། མེ་ཏོག་བདུག་སྤོས་མར་མེ་དྲི། །
21	line-end	13		ཞལ་ཟས་རོལ་མོ་ལ་སོགས་པ། དངོས་འབྱོར་ཡིད་ཀྱིས་སྤྲུལ་ནས་འབུལ། །
22	line-end	7		འཕགས་མའི་ཚོགས་ཀྱིས་བཞེས་སུ་གསོལ། །
23	line-end	18		གསུམ་པ་རང་གཞན་གྱི་སྡིག་པ་བཤགས་པའི་ཡན་ལག་ནི། ཐོག་མ་མེད་ནས་ད་ལྟའི་བར། །
24	line-end	63		གསོད་རྐུ་མི་ཚངས་སྤྱོད་པའི་སྡིག་པ་གསུམ། རྫུན་དང་ཕྲ་མ་ཚིག་རྩུབ་ངག་འཁྱལ་བཞི། བརྣབ་ས
25	ordinal-open	24		བཞི་པ་རང་གཞན་གྱིས་དགེ་བ་བསྒྲུབས་པ་ལ་རྗེས་སུ་ཡི་རང་བའི་ཡན་ལག་ནི། ཉན་ཐོས་རང་རྒྱལ་བ
26	line-end	7		སོ་སོ་སྐྱེ་བོ་ལ་སོགས་པས། །
27	line-end	7		དུས་གསུམ་དགེ་བ་ཅི་བསགས་པའི། །
28	line-end	8		བསོད་ནམས་ལ་ནི་བདག་ཡི་རང་། །
29	line-end	20		ལྔ་པ་ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་དུ་གསོལ་བའི་ཡན་ལག་ནི། སེམས་ཅན་རྣམས་ཀྱི་བསམ་པ་དང་། །
30	line-end	7		བློ་ཡི་བྱེ་བྲག་ཇི་ལྟ་བར། །
31	line-end	41		ཐེག་པ་ཆེན་པོ་བྱང་སེམས་ཀྱི་ཐེག་པ་མདོ་སྔགས་གཉིས་དང་ཆུང་ངུ་ཉན་རང་གཉིས་ཀྱི་ཐེག་པ་གཉི
32	ordinal-open	22		དྲུག་པ་སྐུ་མྱ་ངན་ལས་མི་འདའ་བར་གསོལ་བ་འདེབས་པའི་ཡན་ལག་ནི། འཁོར་བ་ཇི་སྲིད་མ་སྟོངས་
33	line-end	7		མྱ་ངན་མི་འདའ་ཐུགས་རྗེ་ཡིས། །
34	line-end	7		སྡུག་བསྔལ་རྒྱ་མཚོར་བྱིང་བ་ཡི། །
35	line-end	7		སེམས་ཅན་རྣམས་ལ་གཟིགས་སུ་གསོལ།
36	ordinal-open	95		བདུན་པ་བསྔོ་སྨོན་ཡན་ལག་ནི། དེའང་ཡན་ལག་དང་པོ་གཉིས་ཀྱི་སྒོ་ནས་ཚོགས་བསགས། གསུམ་པས་ས
37	line-end	102		འདྲེན་པའི་དཔལ་དུ་རྗེ་བཙུན་མ་ཁྱེད་དང་ལྷན་ཅིག་ཏུ་བདག་གྱུར་ཅིག དེ་ལྟར་ཕྱག་གཅིག་འཚལ་
38	ordinal-open	54		གཉིས་པ་སྒྲོལ་མའི་རྒྱུད་ལས་ཁོལ་དུ་ཕྱུང་བའི་བསྟོད་པའི་ཚིག་བྱིན་རླབས་ཀྱི་སྤྲིན་ཆར་ག
39	ordinal-open	27		དང་པོ་མཚན་རྒྱ་གར་སཾ་སྐྲྀ་ཏའི་སྐད་དུ་སྨོས་ན། ན་མཿཏཱ་ར་ཨེ་ཀ་བིམ་ཤ་ཏི་སྟོ་ཏྲ་གུ་ཎ་ཧ
40	ordinal-open	23		གཉིས་པ་བོད་སྐད་དུ་སྨོས་ན། སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ཉི་ཤུ་རྩ་གཅིག་གིས་བསྟོད་པ་ཕན་ཡོན་དང་
41	ordinal-open	41		གསུམ་པ་སྐད་གཉིས་ཤན་སྦྱར་དུ་སྨོས་ན། ན་མཿནི་ཕྱག་འཚལ། ཏཱ་ར་ནི་སྒྲོལ་མ། ཨེ་ཀ་བིཾ་ཤ་ཏ
42	ordinal-open	9		བཞི་པ་མཚན་དོན་དངོས་བསྟན་ལྟར་གོ་སླའོ།
43	line-end	52		ཨོཾ་ནི་མགོ་འདྲེན། རྒྱལ་བ་ཀུན་གྱི་ཡུམ་མཆོག་ཏུ་གྱུར་པས་རྗེ་བཙུན་མ་སོ་སོའི་སྐྱེ་བོའ
44	line-end	92		ཕྱག་གང་ལ་འཚལ་ན་ཏཱ་རེ་ནི་སྒྲོལ་མ། སྐད་ཅིག་དང་ཉི་མ་གཅིག་གིས་ཀྱང་འགྲུབ་པས་ལྷ་གཞན་ལས
45	line-end	53		ཕྱག་གང་ལ་འཚལ་ན་མཁྱེན་པས་དད་པ་ཅན་འཇིགས་པ་ཀུན་ལས་སྒྲོལ་མ་དེའང་བསྟོད་པ་པོ་ལ་བརྩེ་བས
46	line-end	15		ཁྲོས་མའི་ཚུལ་ལ་ཡེ་ཤེས་ཀྱི་སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ།
