index	trigger	syllables	flag	preview
1	line-end	8		ན་མོ་གུ་རུ་ཨཱརྻ་ཏཱ་ར་ཡཻ།
2	terminal-particle	12		ཕྱག་འཚལ་ཉེར་གཅིག་ལ་བསྟོད་པ་དངོས་དང་། ཕན་ཡོན་ནོ། །
3	ordinal-open	8		དང་པོ་ལ་ཉེར་གཅིག་ཡོད་པ་ལས།
4	terminal-particle	8		དང་པོ་ནི། ཕྱག་འཚལ། གང་ལ་ན། སྒྲོལ་མ་ལའོ། །
5	line-end	28		དེ་ལ་ཡོན་ཏན་ནམ་ཁྱད་པར་ཅི་ཡོད་ཅེ་ན། སེམས་ཅན་སྐད་ཅིག་གིས་སྒྲོལ་བས་ན་མྱུར་མ། ཉོན་མོ
6	line-end	16		སྤྱན་གྱི་འོད་ནི་སྐད་ཅིག་གིས་གློག་འཁྱུག་པ་དང་འདྲ་བས་སྒྲོལ་མ་
7	line-end	40		དེ་ནི་ས་འོག་ས་སྟེང་ས་བླའི་འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་ཆུ་སྐྱེས་
8	line-end	31		གཉིས་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། སྟོན་ཀའི་ཟླ་བ་ཉ་ཀུན་ཏུ་གང་བ་བརྒྱ་ཐམ་པ་ནི་རྣམས་པ་བརྩེ
9	line-end	27		སྐར་མའི་ཚོགས་སྟོང་ཕྲག་ཚོགས་པ་རྣམས་ཀྱིས་འགྲན་དུ་མེད་ཅིང་རབ་ཏུ་ཕྱེ་བའི་འོད་དཀར་པོ་
10	line-end	32		གསུམ་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། གསེར་ལྟར་མཛེས་ཤིང་ཅུང་ཟད་སྔོ་བའི་མདོག་ཅན་ཆུ་ནི་སྐྱེ་
11	line-end	27		དེ་ཡང་སྦྱིན་པ་དང་། བརྩོན་འགྲུས་དང་། དཀའ་ཐུབ་སྟེ་ཚུལ་ཁྲིམས་དེས་ཉོན་མོངས་པ་ཞི་བར་བ
12	line-end	3		བཞི་པ་ནི།
13	line-end	17		ཕྱག་འཚལ། གང་ལ་ན། དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར་ལྟར་མཆོད་པའི་གནས་སུ་གྱུར་ཅིང་།
14	line-end	16		བདུད་སོགས་ཕས་རྒོལ་མཐའ་ཡས་པ་ལས་རྣམ་པར་རྒྱལ་བ་སྤྱོད་པའི་སྒྲོལ་མ།
15	line-end	49		ཕར་ཕྱིན་བཅུ་དང་ས་བཅུ་མ་ལུས་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་གོ་འཕང་ཐོབ་པའི་བདག་ཉིད་དེ་ལ་རྒྱ
16	line-end	32		ལྔ་པ་ནི། ཕྱག་འཚལ༑ གང་ལ་ན། ཏུཏྟཱ་རེ་ཧཱུཾ་ཞེས་པའི་ཡི་གེས་འདོད་ཁམས་དང་། ཕྱོགས་ཏེ་གཟ
17	line-end	35		འགྲོ་བ་རྒྱུད་ལྔ་ཁམས་གོང་མ་གཉིས་ཏེ་འཇིག་རྟེན་བདུན་པོ་ཞབས་ཀྱིས་མནན་ཏེ། རིག་སྔགས་ཀྱ
18	line-end	30		དྲུག་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། བརྒྱ་བྱིན་དང་། མེ་ལྷ་དང་། ཚངས་པ་དང་། རླུང་ལྷ་དང་། སྣ
19	line-end	36		ཚོགས་བདག་འབྱུང་པོ། དུར་ཁྲོད་ན་གནས་པའི་རོ་ལངས། ཟུར་ཕུད་ལྔ་སོགས་དྲི་ཟ་རྣམས་དང་། སྨ
20	line-end	36		བདུན་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ཞལ་ནས་ཏྲད་ཅེས་བྱ་བ་དང་། ཕཊ་ཅེས་བྱ་བ་ལ་སོགས་པའི་དྲག་པ
21	line-end	30		གཡས་བསྐུམ་ཞིང་གཡོན་བརྐྱང་བའི་ཞབས་ཀྱིས་འཇིག་རྟེན་བདུན་པོ་མནན་ཏེ། མེ་དཔུང་འབར་ཞིང་
22	line-end	21		བརྒྱད་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ཏུ་རེ་ལ་སོགས་པའི་གསུང་གི་འཇིགས་པ་ཆེན་པོ་བརྒྱད་ལས་སྐ
23	line-end	12		ལྷའི་བུ་སོགས་བདུད་ཀྱི་དཔའ་བོ་བཞི་རྣམ་པར་འཇོམས་མ།
24	line-end	38		ཆུ་ལས་སྐྱེས་པའི་མེ་ཏོག་མཛེས་པའི་ཞལ་ནས་ཁྲོ་གཉེར་དང་ལྡན་པར་མཛད་ཅིང་། ཉོན་མོངས་ལ་སོ
25	line-end	36		དགུ་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ཕྱག་གཡོན་མཛུབ་གུང་མཐེའུ་ཆུང་གསུམ་དཀོན་མཆོག་གསུམ་མཚོན་
26	line-end	48		གཅིག་མ་ལུས་པའི་ཕྱོགས་ཀྱི་འོད་ཟེར་ཐམས་ཅད་ཕྱག་གཡས་མཆོག་སྦྱིན་ཕྱག་རྒྱའི་མཐིལ་དུ་འཁོ
27	line-end	49		བཅུ་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། འགྲོ་བ་ཀུན་གྱི་རེ་བ་བསྐང་བའི་རབ་ཏུ་དགའ་བ་འབྱུང་བར་བགྱ
28	line-end	38		བཞད་པ་དང་རབ་ཏུ་བཞེད་པའི་སྔགས་ཏུཏྟཱ་ར་ལ་སོགས་པའི་སྒྲ་ཡིས། གཞན་འཕྲུལ་དབང་བྱེད་ཀྱི་
29	line-end	31		བཅུ་གཅིག་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ཕྱོགས་སྐྱོང་བཅུ་སོགས་ས་གཞི་སྐྱོང་བའི་ཚོགས་རྣམས་མ
30	line-end	44		ཞལ་ཁྲོ་གཉེར་གཡོ་བའི་ཐུགས་ཀར་ཡི་གེ་ཧཱུྃ་གིས་མཚན་པའི་འོད་ཀྱིས་འཇིགས་ཤིང་ཕོངས་པར་གྱ
31	line-end	33		བཅུ་གཉིས་པ་ནི། ཕྱག་འཚལ། གང་ལ་ནི། ཟླ་བའི་དུམ་བུ་སྟེ་ཕྱེད་པའི་དབུ་ལ་བརྒྱན་ཅིང་། བར
32	quote-open	12		རལ་པའི་ཁྲོད་ན་རིགས་བདག་འོད་དཔག་མེད་བཞུགས་པ་ལས།
33	line-end	21		སེམས་ཅན་གྱི་དོན་དུ་རྟག་པར་ཤིན་ཏུ་འཚེར་བའི་འོད་རབ་ཏུ་འགྱེད་པར་མཛད་པའི་སྒྲོལ་མ་ལའོ
34	line-end	29		བཅུ་གསུམ་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། བསྐལ་པ་ཐ་མ་སྟེ་འཇིག་པའི་དུས་ཀྱི་མེ་ལྟར་རབ་ཏུ་འབར
35	line-end	33		གཡས་བརྐྱང་གཡོན་བསྐུམ་པའི་སྟབས་ཀྱིས་འོད་ཀྱི་ཕྲེང་བས་བསྐོར་བའི་བདེ་བ་སྦྱིན་པའི་དགའ
36	line-end	27		བཅུ་བཞི་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ས་གཞི་ངོས་ལ་སྡིགས་མཛུབ་དང་བཅས་པའི་ཕྱག་གི་མཐིལ་གྱི
37	line-end	40		ཁྲོ་གཉེར་ཅན་དུ་མཛད་ཅིང་། གཡས་ཀྱི་ཕྱག་མཐིལ་ན་ཡི་གེ་ཧཱུྃ་གི་འོད་འཕྲོ་བས་ས་རིམ་པ་བད
38	line-end	45		བཅོ་ལྔ་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ཟག་མེད་ཀྱི་རང་བཞིན་བདེ་མ། ཉོན་མོངས་སྤང་བའི་དགེ་མ། 
39	line-end	32		སྭཱ་ཧཱ་དང་ཨོཾ་ཞེས་པ་དང་ཡང་དག་པར་ལྡན་པའི་སྔགས་ཀྱིས་སྡིག་པ་དང་སྒྲིབ་པ་ཆེན་པོ་ཐམས་ཅ
40	line-end	43		བཅུ་དྲུག་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ཐུགས་ཀར་འཁོར་ལོའི་ལྟེ་བར་ཨོཾ་དང་རྩིབས་རྣམས་ལ་སྔག
41	quote-open	26		ཨོཾ་ཏཱ་རེ་ཏུཏྟཱ་རེ་ཏུ་རེ་སྭཱ་ཧཱ། ཞེས་པའི་ཡི་གེ་བཅུ་པོའི་ངག་ནི་འཁོར་ལོའི་རྣམ་པར་བ
