index	kind	syllables	preview
1	prose	41	༄༅། །རྗེ་བཙུན་སྒྲོལ་མའི་བསྟོད་པ་ཉི་ཤུ་རྩ་གཅིག་གི་ཚིག་དོན་རྣམ་པར་འགྲེལ་པ་དད་བརྩོན
2	prose	1456	༄༅།། རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མའི་རྩ་བའི་རྒྱུད་ཀྱི་བསྟོད་པ་ཉི་ཤུ་རྩ་གཅིག་ཕན་ཡོན་དང་
3	prose	39	དེ་ལ་གསང་བདག་སྒྲོལ་བའི་མགོན་པོས་འགྲེལ་པ་སོགས་ཀྱིས་སྦས་དོན་གྱིས་ཟུར་བརྒྱན་ཏེ་འཆད་
4	prose	43	རྒྱ་གར་སྐད༵་དུ། ཨརྻ་ཏཱ་རཱེ་མནྟྲ་མཱུ་ལ་སྟོཏྟཱ་ནཱ་མ་སྐཻ་རི་ཀ་བིཾ་ཤ་ཏི་ཀ་ནཱ་མ། བོད་
5	prose	3	གཉིས་པ་ནི།
6	prose	14	ཨཱོཾ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ། ཞེས་གསུངས་ཏེ།
7	prose	94	ཀུན་ཁྱེན་འཇིགས་མེད་གླིང་པའི་དགོངས་འདུས་རྣམ་བཤད་ཆེན་མོ་ལས། ཨཱོྃ་ནི་ཡེ་ཤེས་ལྔ་དང་ས
8	prose	22	ཨོ་རྒྱན་སངས་རྒྱས་གཉིས་པ་འཇམ་དཔལ་མཚན་བརྗོད་འགྲེལ་ཆེན་ལས། ཨཱོྃ་ཞེས་པ་ནི་ཡེ་ཤེས་ལྔའ
9	prose	105	དེ་བསྡུས་ན་ཀུན་མཁྱེན་རོང་ཟོམ་པས། ཨཱོྃ་ནི་ཨ་ཨུ་མ་གསུམ་ནི་རྡོ་རྗེ་གསུམ་གྱི་ས་བོན་ད
10	prose	70	གསུམ་པ་གཞུང་དོན་ལ་གཉིས་ཏེ། སྒྲོལ་མ་ཉི་ཤུ་རྩ་གཅིག་ལ་སོར་བསྟོད་པ་དང་། ཕན་ཡོན་སྤྱི་
11	prose	30	ཕྱག་འཚལ་སྒྲོལ་མྱུར་མ་དཔའ་མོ། སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ། འཇིག་རྟེན་གསུམ་མགོན་
12	prose	106	དང་པོ། ཚིག་གི་དོན་ནི། ཕྱག་འཚལ་ལོ། ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། གནས་སྐབས་དང་། མཐར་ཐུག་གི་འ
13	prose	46	རྣམ་པ་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ཀྱི་སྤྱན་མཆོག་ནི་སྐད་ཅིག་གཅིག་གིས་གློག་དང་འདྲ་བར་ཕ
14	prose	110	ས་འོག་ཀླུ་དང་། ས་སྟེང་མི་དང་། ས་བླ་ལྷ་སྟེ་འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་ལ་བྱམས་པ་དང
15	prose	91	གཉིས་པ་སྤྱི་དོན་རྣམ་པ་གསལ་འདེབས་བསྐྱེད་རིམ་གཙོ་བོ་མ་ཧཱ་ཡོ་ག་ལྟར་སྦྱར་ན། དང་པོ་བར
16	prose	95	གཡོན་སྐྱབས་སྦྱིན་དཀོན་མཆོག་གསུམ་མཚོན་གྱི་ཕྱག་རྒྱའི་མཐེབ་སྲིན་བར་ན། ཨུ་ཏྤལ་འདབ་མ་
17	prose	100	གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ཨ་ནུ་ཡོ་ག་ལྟར་ན། ངེས་དོན་རྒྱུད་སྡེའི་དོན་ལྟར། ས
