index	trigger	syllables	flag	preview
1	line-end	41		༄༅། །རྗེ་བཙུན་སྒྲོལ་མའི་བསྟོད་པ་ཉི་ཤུ་རྩ་གཅིག་གི་ཚིག་དོན་རྣམ་པར་འགྲེལ་པ་དད་བརྩོན
2	quote-open	451		༄༅།། རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མའི་རྩ་བའི་རྒྱུད་ཀྱི་བསྟོད་པ་ཉི་ཤུ་རྩ་གཅིག་ཕན་ཡོན་དང་
3	quote-open	366		རྒྱལ་བ་དགོངས་བརྒྱུད་རིག་འཛིན་བརྡའ་བརྒྱུད་དང་། གང་ཟག་སྙན་ཁུངས་བརྒྱུད་པ་རྣམ་གསུམ་ད
4	quote-open	431		སྐབས་འདིར་གསང་སྔགས་རྡོ་རྗེ་ཐེག་སྤྱི་དང་། ཁྱད་པར་གསང་སྔགས་ནང་རྒྱུད་སྐོར་རྣམས་འཕགས
5	line-end	211		སྐབས་སུ་བབས་པ་ནི། ཆོས་རྒྱལ་ཚངས་པ་ལྷའི་མེ་ཏོག་གི་ཡེ་ཤེས་ཀྱི་རྣམ་པར་འཕྲུལ་པ་ཀུན་མཁ
6	line-end	37		དེ་ལ་གསང་བདག་སྒྲོལ་བའི་མགོན་པོས་འགྲེལ་པ་སོགས་ཀྱིས་སྦས་དོན་གྱིས་ཟུར་བརྒྱན་ཏེ་འཆད་
7	ordinal-open	3		དང་པོ་ནི།
8	line-end	43		རྒྱ་གར་སྐད༵་དུ། ཨརྻ་ཏཱ་རཱེ་མནྟྲ་མཱུ་ལ་སྟོཏྟཱ་ནཱ་མ་སྐཻ་རི་ཀ་བིཾ་ཤ་ཏི་ཀ་ནཱ་མ། བོད་
9	line-end	3		གཉིས་པ་ནི།
10	line-end	14		ཨཱོཾ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ། ཞེས་གསུངས་ཏེ།
11	quote-open	13		ཀུན་ཁྱེན་འཇིགས་མེད་གླིང་པའི་དགོངས་འདུས་རྣམ་བཤད་ཆེན་མོ་ལས།
12	quote-open	57		ཨཱོྃ་ནི་ཡེ་ཤེས་ལྔ་དང་སྐུ་ལྔ་མཚོན་ཏེ། ཨ་ཆོས་དབྱིངས་ཡེ་ཤེས་དང་རྣམ་སྣང་ངོ་། འ་མེ་ལོ
13	line-end	26		ཨ་ནི་རྣམ་སྣང་མི་སྐྱོད་པ། ན་རོ་རིན་ཆེན་འབྱུང་ལྡན་ཏེ། ཟླ་ཚེས་སྣང་བ་མཐའ་ཡས་ཏེ། ཐིག་
14	quote-open	13		ཨོ་རྒྱན་སངས་རྒྱས་གཉིས་པ་འཇམ་དཔལ་མཚན་བརྗོད་འགྲེལ་ཆེན་ལས།
15	line-end	10		ཨཱོྃ་ཞེས་པ་ནི་ཡེ་ཤེས་ལྔའི་རྣམ་པའོ། ཞེས་སོ།
16	line-end	105		དེ་བསྡུས་ན་ཀུན་མཁྱེན་རོང་ཟོམ་པས། ཨཱོྃ་ནི་ཨ་ཨུ་མ་གསུམ་ནི་རྡོ་རྗེ་གསུམ་གྱི་ས་བོན་ད
17	line-end	23		གསུམ་པ་གཞུང་དོན་ལ་གཉིས་ཏེ། སྒྲོལ་མ་ཉི་ཤུ་རྩ་གཅིག་ལ་སོར་བསྟོད་པ་དང་། ཕན་ཡོན་སྤྱི་
18	ordinal-open	22		དང་པོ་ལ་བཞི་སྟེ། ཚིག་གི་དོན་དང་། སྤྱིའི་དོན་དང་། སྦས་དོན་དང་། མཐར་ཐུག་གི་དོན་སོ་
19	ordinal-open	27		དང་པོ་ནི། སྙན་གྲགས་རྩ་བ་བྱང་ཆུབ་སེམས་འཕེལ་ཞིང་སྣང་བ་དབང་དུ་སྡུད་པའི་རྗེ་བཙུན་འཕག
20	line-end	30		ཕྱག་འཚལ་སྒྲོལ་མྱུར་མ་དཔའ་མོ། སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ། འཇིག་རྟེན་གསུམ་མགོན་
21	line-end	106		དང་པོ། ཚིག་གི་དོན་ནི། ཕྱག་འཚལ་ལོ། ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། གནས་སྐབས་དང་། མཐར་ཐུག་གི་འ
22	line-end	46		རྣམ་པ་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ཀྱི་སྤྱན་མཆོག་ནི་སྐད་ཅིག་གཅིག་གིས་གློག་དང་འདྲ་བར་ཕ
23	line-end	110		ས་འོག་ཀླུ་དང་། ས་སྟེང་མི་དང་། ས་བླ་ལྷ་སྟེ་འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་ལ་བྱམས་པ་དང
24	line-end	19		གཉིས་པ་སྤྱི་དོན་རྣམ་པ་གསལ་འདེབས་བསྐྱེད་རིམ་གཙོ་བོ་མ་ཧཱ་ཡོ་ག་ལྟར་སྦྱར་ན།
25	ordinal-open	73		དང་པོ་བརྒྱུད་པའི་བླ་རྣམས་ལ་གསོལ་འདེབས་དང་། སྐྱབས་འགྲོ་དང་། ཚད་མེད་བཞི་ལ་སྙིང་ནས་
26	line-end	95		གཡོན་སྐྱབས་སྦྱིན་དཀོན་མཆོག་གསུམ་མཚོན་གྱི་ཕྱག་རྒྱའི་མཐེབ་སྲིན་བར་ན། ཨུ་ཏྤལ་འདབ་མ་
27	line-end	100		གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ཨ་ནུ་ཡོ་ག་ལྟར་ན། ངེས་དོན་རྒྱུད་སྡེའི་དོན་ལྟར། ས
28	line-end	78		, དེའི་དབུས་གཞིའི་རྩ་ཆེན་ཨ་ཝ་ཏི་སྐྱའོ། དེའི་གཡས་སུ་རོ་མ་དཀར་དང་། གཡོན་དུ་རྐྱང་མ་
29	line-end	116		བྱང་ཆུབ་སེམས་དང་བརྩོན་འགྲུས་ཀྱིས་གཞུང་བསྲངས། ལམ་ཐབས་དང་ཤེས་རབ་གཉིས་ཀྱི་མིག་མི་ཟུ
30	quote-open	14		དེའང་ཀུན་མཁྱེན་ཀློང་ཆེན་པས། དེ་ལྟར་ས་བཅུའི་བགྲོད་པ་དེ་དག་ལས།
31	line-end	29		དབུ་མར་རོ་རྐྱང་མདུད་པ་ཉི་ཤུ་གཅིག གཉིས་གཉིས་གྲོལ་བས་ས་བཅུ་ཉི་ཤུ་འཐོབ། ཐ་མས་གཙུག་ཏ
32	line-end	84		བཞི་པ་མཐར་ཐུག་རྫོགས་རིམ་མཚན་མེད་ཨ་ཏི་ཡོ་ག་ལྟར་ན། སྣང་སྲིད་འཁོར་འདས་ལམ་གསུམ་གྱི་ཆ
33	quote-close	21		ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ་སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ་ཞེས་པས་བསྟན་པའོ། ཞེས
34	line-end	80		དེ་ལྟར་འོག་ནས་འཆད་འགྱུར་སྒྲོལ་མ་ཚིགས་བཅད་ཉི་ཤུ་པོ་ཐམས་ཅད་ལ། ཕྱི་ཚིག་དོན་གཙོ་བོ་ཕ
35	line-end	8		གཉིས་པ་བློ་གཏེར་དབྱངས་ཅན་མ་ནི།
36	line-end	30		ཕྱག་འཚལ་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ། གང་བ་བརྒྱ་བརྩེགས་པའི་ཞལ་མ། སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་ར
37	line-end	56		དང་པོ། ཚིག་གི་དོན་ནི། གང་ལ་ཕྱག་འཚལ་ན། ས་དང་ཆུ་རྡུལ་གྱིས་དབེན་པའི་སྟོན་ཀའི་ཟླ་བ་ཀ
38	quote-close	62		ཚད་མེད་པའི་མཁྱེན་གཉིས་སྐར་མ་སྟོང་ཕྲག་འཚོགས་པ་ལྟ་བུ་རྣམས་ཀྱིས་རབ་ཏུ་རྣམ་པར་ཕྱེ་བ་
39	line-end	48		སོ་སོ་ཡང་དག་པའི་རིག་པ་བཞི་ནི། དོན་སོ་སོ་ཡང་དག་པར་རིག་པ་དང་། ཆོས་སོ་སོ་ཡང་དག་པར་ར
40	line-end	90		གཉིས་པ་སྤྱིའི་དོན་བསྐྱེད་རིམ་ལྟར་བཤད་ན། རང་ཉིད་མཁའ་འགྲོ་ཡེ་ཤེས་མཚོ་རྒྱལ་གསལ་བའི་
41	line-end	72		སེམས་ཅན་ཐམས་ཅད་ཀྱི་རྨོངས་པ་མ་རིག་པའི་མུན་པ་ལྷག་མེད་དུ་སྐད་ཅིག་གིས་སེལ་བར་བྱེད་པའ
42	line-end	69		གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ནི། སྟོན་ཟླ་ལྟ་བུའི་བྱང་ཆུབ་སེམས་སྤྱི་བོ་ནས་ནོར
43	line-end	1		,
44	ordinal-open	128		བཞི་པ་མཐར་ཐུག་རྫོགས་རིམ་མཚན་མེད་ལྟར་ན། ངེས་དོན་རིག་སྟོང་བྱང་ཆུབ་སེམས་རང་བྱུང་གི་
45	line-end	9		གསུམ་པ་སེར་མོ་བསོད་ནམས་སྟོབས་བསྐྱེད་ནི།
46	line-end	30		ཕྱག་འཚལ་གསེར་སྔོ་ཆུ་ནས་སྐྱེས་ཀྱི། པདྨས་ཕྱག་ན་རྣམ་པར་བརྒྱན་མ། སྦྱིན་པ་བརྩོན་འགྲུས
47	line-end	46		དང་པོ་ཚིག་གི་དོན་ནི། གང་ལ་ཕྱག་འཚལ་ན། སྐུ་མདོག་འཛམ་བུའི་ཆུ་བོའི་གསེར་ལྟར་སེར་ལ་མཛ
48	line-end	105		རྒྱུ་སྦྱིན་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་དང་། དེ་བཞིན་དུ་བརྩོན་འགྲུས་དང་། དཀའ་ཐུབ་སྟེ་ཚུལ་
49	line-end	46		དེ་ལ་དབང་བཅུ་གང་ཞེ་ན། ཚེ་ལ་དབང་ཐོབ་པ་དང་། སེམས་ལ་དབང་ཐོབ་པ་དང་། དེ་བཞིན་དུ། ཡོ་བ
50	line-end	102		གཉིས་པ་སྤྱི་དོན་བསྐྱེད་རིམ་ལྟར་ན། གདན་པདྨ་དང་ཟླ་བའི་སྟེང་དུ་སེར་མོ་བསོད་ནམས་མཆོག
51	line-end	1		,
52	ordinal-open	75		གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ནི། ཆུ་སྐྱེས་གསང་བའི་པདྨ་དང་། ཕྱག་སྒྲ་ནི་རྡོ་རྗ
53	line-end	81		, བདེ་བ་ལ་བདག་འཛིན་བྲལ་བའི་སྦྱིན་པ་སྟེ་ཕ་རོལ་ཕྱིན་པ་དྲུག་པོ་ཚང་བའི་རྒྱལ་སྲས་བྱང་
54	line-end	1		,
55	ordinal-open	68		བཞི་པ་མཐར་ཐུག་རྫོགས་རིམ་མཚན་མེད་ལྟར་ན། པདྨ་ལྟར་གཟུང་འཛིན་དྲི་མ་རང་གར་སངས་པའི་ཡེ་
56	quote-open	15		དེའང་ཚངས་པ་ཁྱད་པར་སེམས་ཀྱིས་ཞུས་པའི་ཐེག་པ་ཆེན་པོའི་མདོ་ལས།
57	line-end	36		མི་འཛིན་པ་ནི་སྦྱིན་པའོ། མི་བསྲུང་བ་ནི་ཚུལ་ཁྲིམས་སོ། མི་གནས་པ་ནི་བཟོད་པའོ། མི་བརྩ
58	line-end	13		བཞི་པ་འཆི་མེད་ཚེ་སྒྲུབ་གཙུག་ཏོར་རྣམ་པར་རྒྱལ་མ་ནི།
59	line-end	31		ཕྱག་འཚལ་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར། མཐའ་ཡས་རྣམ་པར་རྒྱལ་བར་སྤྱོད་མ། མ་ལུས་ཕ་རོལ་ཕ
60	line-end	24		དང་པོ་ཚིག་གི་དོན་ནི། གང་ལ་ཕྱག་འཚལ་ན། དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར་ལས་རིག་སྔགས་ཡེ་ཤ
61	line-end	27		དགེ་བའི་མི་མཐུན་པའི་ཕྱོགས་ལས་དང་ཉོན་མོངས་པ་མཐའ་ཡས་པ་ལས་རབ་ཏུ་རྣམ་པར་རྒྱལ་བར་སྤྱོ
62	line-end	91		ས་བཅུ་ལམ་ལྔའི་སྤངས་རྟོགས་མ་ལུས་པའི་ཡོངས་སུ་རྫོགས་པས་ཉོན་མོངས་དང་ཤེས་བྱའི་སྒྲིབ་ག
