index	kind	syllables	preview
1	prose	11	༄༅། །སྒྲོལ་མ་ཉེར་གཅིག་གི་བསྟོད་འགྲེལ་སྙིང་གི་ནོར་བུ།
2	prose	24	རྩོམ་པ་པོ། སེར་སྨད་གཙང་དགེ་བཤེས་བསྟན་འཛིན་དོན་བཟང་རྒྱལ་སྤྱིའི་དགེ་ལྡན་ལྷན་ཚོགས་ཀ
3	prose	17	བརྗོད་བྱ། སྒྲོལ་མ་ཉེར་གཅིག་གི་བསྟོད་པ། མཆོད་བརྗོད། སྐུ་ཡི་རྒྱན་མཆོག་མཚན་དང་དཔེ་བ
4	prose	10	གསུང་གི་རྒྱན་མཆོག་སྙན་དབྱངས་དྲུག་བཅུའི་གསུང་། །
5	prose	9	ཐུགས་ཀྱི་རྒྱན་མཆོག་ཤེས་བྱའི་དཀྱིལ་འཁོར་གཟིགས། །
6	prose	9	རྒྱལ་ཀུན་འཕྲིན་ལས་རྗེ་བཙུན་སྒྲོལ་མར་འདུད། །
7	prose	395	རྗེ་བཙུན་སྒྲོལ་མའི་རྣམ་ཐཪ་མདོར་ཙམ་བཤད་པ། དེ་ལ་འདིར་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ར
8	prose	6	ཤཱཀྱ་སེང་གེས་གསུངས་པའི་རྒྱུད། །
9	prose	295	ཅེས་གསུངས་སོ། འཛམ་བུ་གླིང་དུ་སྒྲོལ་མའི་རྒྱུད་ཇི་ལྟར་བྱུང་ཚུལ།གཉིས་པ་འཛམ་བུ་གླིང་
10	prose	8	མཐའ་ཡས་རྣམ་པར་རྒྱལ་བར་སྤྱོད་མ། །
11	prose	8	མ་ལུས་ཕ་རོལ་ཕྱིན་པ་ཐོབ་པའི། །
12	prose	225	རྒྱལ་བའི་སྲས་ཀྱིས་ཤིན་ཏུ་བསྟེན་མ། །ཞེས་གསུངས་སོ། །ཕྱག་འཚལ་ཉི་ཤ་རྩ་གཅིག་གི་བསྟོད་
13	prose	7	ཆོས་ཀྱང་ནུབ་པར་མི་འགྱུར་ཏེ། །
14	prose	7	སེམས་ཅན་རྣམས་ནི་གདུལ་པའི་ཕྱིར། །
15	prose	375	མྱ་ངན་འདས་པ་ཉེ་བར་སྟོན། །ཞེས་དང་།རྗེ་ཀུན་དགའ་དོན་གྲུབ་ཀྱི་གསང་འདུས་ཊཱིཀྐ་༥༤ལས་ཀྱ
16	prose	9	དུས་གསུམ་སངས་རྒྱས་ཀུན་གྱི་འཕྲིན་ལས་མ། །
17	prose	9	སྔོ་ལྗང་ཞལ་གཅིག་ཕྱག་གཉིས་མྱུར་ཞི་མ། །
18	prose	11	ཡུམ་གྱུར་ཨུཏྤལ་བསྣམས་པའི་བཀྲ་ཤིས་ཤོག །ཅེས་གསུངས་པའི་ཕྱིར།
19	prose	12	༸ཨོཾ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ། །
20	prose	24	ཞེས་པའི་ཚིག་འདི་གཞན་གྱིས་བསྣན་པ་སྟེ། རྒྱལ་བ་རྡོ་རྗེ་འཆང་ནས་རྒྱུད་པའི་སྙན་རྒྱུད་ཀ
21	prose	41	ཨོཾ་དེ་ལ་ཨ་ཨུ་མ་གསུམ་ཚང་ཡོད་དེ། ཨཱཿས་སྐུ་མཚོན། ཨུས་གསུང་མཚོན། མས་ཐུགས་མཚོན། དེ་ག
22	prose	66	ཨོཾ་ཞེས་གཅིག་ཏུ་དྲིལ་པས་སྐུ་གསུང་ཐུགས་གསུམ་ངོ་བོ་དབྱེར་མི་ཕྱེད་པ་དེ་མཚོན། འདིས་ལ
23	prose	12	རྒྱུད་རྡོ་རྗེ་རྩེ་མོ་ལས། ཨོཾ་ནི་ཅི་ཞིག་ཡིན་པར་བརྗོད། །
24	prose	8	མཆོག་དང་ནོར་གཏེར་དཔལ་དང་གཡང་། །
25	prose	7	དམ་བཅའ་བ་དང་བཀྲ་ཤིས་དོན། །
26	prose	8	སྐལ་བཟང་རྣམ་པ་དང་ལྡན་ཞིང་། །
27	prose	7	ནོར་བུ་འཛིན་པའི་སྔགས་སུ་བརྗོད། །
28	prose	4	ཅེས་གསུངས་ཤིང་།
29	prose	88	རྗེ་བཙུན་མ་ཞེས་པས་སྡོམ་པ་གསུམ་དང་ལྡན་པ་མཚོན། རྗེ་ནི་ཁྱིམ་པ་ཡིན་ན་དགེ་བསྙེན་གྱི་ས
30	prose	85	ཉམས་ན་ནད་སོ་སོ་ལ་སྨན་སོ་སོར་གཏོང་བ་ལྟར་སོ་ཐར་གྱི་སྡོམ་པ་ཕྱིར་བཅོས་ཀྱི་སྒོ་ནས་དག་
31	prose	11	བླ་མཆོད་ལས། སོ་ཐར་བྱང་སེམས་གསང་སྔགས་སྡོམ་པ་ཡི། །
32	prose	10	བཅས་མཚམས་སྲོག་གི་ཕྱིར་ཡང་མི་གཏོང་ཞིང་། །
33	prose	9	དགེ་ཆོས་སྡུད་དང་སེམས་ཅན་དོན་སྒྲུབ་པའི། །
34	prose	9	ཚུལ་ཁྲིམས་ཕར་ཕྱིན་རྫོགས་པར་བྱིན་གྱིས་རློབས། །
35	prose	3	ཞེས་དང་།
36	prose	15	འདུལ་བ་བསྟོད་པ་ལས་ཀྱང་། ཇི་ལྟར་འདི་ན་ཤིང་རྩ་གཙོ་བོ་སྟེ། །
37	prose	9	རྣམ་པར་འཕེལ་དང་ཀུན་འཛིན་གཉིས་ཀྱི་གཞི། །
38	prose	10	དེ་བཞིན་དམ་ཆོས་ཚོགས་རྣམས་ཀུན་གྱི་ཡང་། །
39	prose	9	གཞི་དང་རྩ་བ་འདུལ་བ་ཡིན་པར་གསུངས། །
40	prose	2	ཞེས་གསུངས།
41	prose	73	ང་ན་རྗེ་བཙུན་མ་ཞེས་པས་ལྷག་པའི་བསླབ་པ་གསུམ་དང་ལྡན་པ་མཚོན།དེ་ཡང་འདོད་ཆགས་ཞེ་སྡང་གཏ
42	prose	13	ལམ་རིམ་ཉམས་མགུར་ལས། བསམ་གཏན་སེམས་ལ་དབང་བསྒྱུར་རྒྱལ་པོ་སྟེ། །
43	prose	10	བཞག་ན་གཡོ་མེད་རི་ཡི་དབང་པོ་བཞིན་། །
44	prose	17	བཏང་ན་དགེ་བའི་དམིགས་པ་ཀུན་ལ་འཇུག ། ལུས་སེམས་ལས་སུ་རུང་བའི་བདེ་ཆེན་འདྲེན། །
45	prose	9	དེ་ལྟར་ཤེས་ནས་རྣལ་འབྱོར་དབང་པོ་རྣམས། །
46	prose	9	རྣམ་གཡེང་དགྲ་བཅོམ་ཏིང་འཛིན་རྒྱན་དུ་བསྟེན། །
47	prose	9	རྩེ་གཅིག་བསམ་གཏན་ཙམ་ལ་འཁོར་བ་ཡི། །
48	prose	10	རྩ་བ་གཅོད་པའི་ནུས་པ་མ་མཐོང་ཞིང་། །
49	prose	9	ཞི་གནས་ལམ་དང་བྲལ་བའི་ཤེས་རབ་ཀྱིས། །
50	prose	9	ཇི་ཙམ་དཔྱད་ཀྱང་ཉོན་མོངས་མི་ལྡོག་པས། །
