index	trigger	syllables	flag	preview
1	line-end	11		༄༅། །སྒྲོལ་མ་ཉེར་གཅིག་གི་བསྟོད་འགྲེལ་སྙིང་གི་ནོར་བུ།
2	line-end	24		རྩོམ་པ་པོ། སེར་སྨད་གཙང་དགེ་བཤེས་བསྟན་འཛིན་དོན་བཟང་རྒྱལ་སྤྱིའི་དགེ་ལྡན་ལྷན་ཚོགས་ཀ
3	line-end	17		བརྗོད་བྱ། སྒྲོལ་མ་ཉེར་གཅིག་གི་བསྟོད་པ། མཆོད་བརྗོད། སྐུ་ཡི་རྒྱན་མཆོག་མཚན་དང་དཔེ་བ
4	line-end	10		གསུང་གི་རྒྱན་མཆོག་སྙན་དབྱངས་དྲུག་བཅུའི་གསུང་། །
5	line-end	9		ཐུགས་ཀྱི་རྒྱན་མཆོག་ཤེས་བྱའི་དཀྱིལ་འཁོར་གཟིགས། །
6	line-end	9		རྒྱལ་ཀུན་འཕྲིན་ལས་རྗེ་བཙུན་སྒྲོལ་མར་འདུད། །
7	quote-open	108		རྗེ་བཙུན་སྒྲོལ་མའི་རྣམ་ཐཪ་མདོར་ཙམ་བཤད་པ། དེ་ལ་འདིར་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ར
8	ordinal-open	143		དང་པོ་རྗེ་བཙུན་སྒྲོལ་མའི་རྣམ་ཐར་ནི། སྔོན་ཐོག་མ་མེད་པའི་དུས་ཤིག་ན། འཇིག་རྟེན་གྱི་
9	terminal-particle	80		ཞེས་དམ་བཅས་ཤིང་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་སྟེ། འགྲོ་བ་ཐམས་ཅད་སྒྲོལ་བ་ཞེས་བྱ་བའ
10	quote-open	61		དེ་ནས་བསྐལ་བ་འདི་ཉིད་ལ། འཕགས་པ་སྤྱན་རས་གཟིགས་ཀྱིས་སྒྲོལ་མའི་སྔགས་རྒྱུད་འབུམ་ཕྲག་
11	line-end	7		གྲུ་འཛིན་རི་ཡི་རྩེ་མོར་ནི། །
12	line-end	6		ཤཱཀྱ་སེང་གེས་གསུངས་པའི་རྒྱུད། །
13	line-end	13		ཅེས་གསུངས་སོ། འཛམ་བུ་གླིང་དུ་སྒྲོལ་མའི་རྒྱུད་ཇི་ལྟར་བྱུང་ཚུལ།
14	ordinal-open	276		གཉིས་པ་འཛམ་བུ་གླིང་དུ་སྒྲོལ་མའི་རྒྱུད་ཇི་ལྟར་བྱུང་བའི་ཚུལ་ནི། རྒྱལ་བ་མྱ་ངན་ལས་འད
15	line-end	8		ཕྱག་འཚལ་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར། །
16	line-end	8		མཐའ་ཡས་རྣམ་པར་རྒྱལ་བར་སྤྱོད་མ། །
17	line-end	8		མ་ལུས་ཕ་རོལ་ཕྱིན་པ་ཐོབ་པའི། །
18	quote-close	10		རྒྱལ་བའི་སྲས་ཀྱིས་ཤིན་ཏུ་བསྟེན་མ། །ཞེས་གསུངས་སོ། །
19	quote-open	65		ཕྱག་འཚལ་ཉི་ཤ་རྩ་གཅིག་གི་བསྟོད་པ་འདི་ཉིད་སྤྱིར་སྒྲོལ་མ་ཐམས་ཅད་ཀྱི་གཙོ་བོ་སེང་ལྡེང
20	quote-open	145		ཁག་ཅིག་གིས་སྒྲོལ་མ་ཉེར་གཅིག་པོ་ཐམས་ཅད་ཀྱང་རིགས་མི་འདྲ་བ་ཉེར་གཅིག་ཡིན་ནོ་ཞེས་གསུང
21	line-end	8		སངས་རྒྱས་མྱ་ངན་མི་འདའ་ཞིང་། །
22	line-end	7		ཆོས་ཀྱང་ནུབ་པར་མི་འགྱུར་ཏེ། །
23	line-end	7		སེམས་ཅན་རྣམས་ནི་གདུལ་པའི་ཕྱིར། །
24	quote-open	274		མྱ་ངན་འདས་པ་ཉེ་བར་སྟོན། །ཞེས་དང་།རྗེ་ཀུན་དགའ་དོན་གྲུབ་ཀྱི་གསང་འདུས་ཊཱིཀྐ་༥༤ལས་ཀྱ
25	line-end	27		འདི་ལྟ་སྟེ། འཇམ་དཔལ་ནི་རྒྱལ་པོ་ཆེན་པོ་ཟས་གཙང་མར་གྱུར་ཏེ། འཇིག་རྟེན་དབང་ཕྱུག་ནི་ལ
26	verse-stanza	16		དཔལ་ལྡན་ལྷ་མོ་ནི་གྲགས་འཛིན་ནོ། །↵རྡོ་རྗེ་སེམས་དཔའ་ནི་སྒྲ་གཅན་འཛིན་ནོ། །
27	terminal-particle	12		སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བ་ནི་ཤཱ་རིའི་བུའོ། །
28	terminal-particle	12		ཀུན་ཏུ་བཟང་པོ་ནི་གནས་བརྟན་ཀུན་དགའ་པོར་གྱུར་ཏོ། །
29	terminal-particle	11		ལྷའི་དབང་པོ་བརྒྱ་བྱིན་ནི་གནས་བརྟན་ལྷས་བྱིན་ནོ། །
30	terminal-particle	18		རྣམ་པར་སྣང་མཛད་ཆེན་པོ་ནི། ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པར་གྱུར་ཏོ། །
31	quote-open	2		ཞེས་གསུངས།
32	line-end	11		དེ་ཡང་། བདག་གི་ཚེ་རབས་སྔོན་ནས་བསྒྲུབ་པའི་ལྷ། །
33	line-end	9		དུས་གསུམ་སངས་རྒྱས་ཀུན་གྱི་འཕྲིན་ལས་མ། །
34	line-end	9		སྔོ་ལྗང་ཞལ་གཅིག་ཕྱག་གཉིས་མྱུར་ཞི་མ། །
35	line-end	11		ཡུམ་གྱུར་ཨུཏྤལ་བསྣམས་པའི་བཀྲ་ཤིས་ཤོག །ཅེས་གསུངས་པའི་ཕྱིར།
36	line-end	12		༸ཨོཾ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ། །
37	line-end	24		ཞེས་པའི་ཚིག་འདི་གཞན་གྱིས་བསྣན་པ་སྟེ། རྒྱལ་བ་རྡོ་རྗེ་འཆང་ནས་རྒྱུད་པའི་སྙན་རྒྱུད་ཀ
38	line-end	41		ཨོཾ་དེ་ལ་ཨ་ཨུ་མ་གསུམ་ཚང་ཡོད་དེ། ཨཱཿས་སྐུ་མཚོན། ཨུས་གསུང་མཚོན། མས་ཐུགས་མཚོན། དེ་ག
39	line-end	66		ཨོཾ་ཞེས་གཅིག་ཏུ་དྲིལ་པས་སྐུ་གསུང་ཐུགས་གསུམ་ངོ་བོ་དབྱེར་མི་ཕྱེད་པ་དེ་མཚོན། འདིས་ལ
40	quote-open	6		རྒྱུད་རྡོ་རྗེ་རྩེ་མོ་ལས།
41	line-end	7		ཨོཾ་ནི་ཅི་ཞིག་ཡིན་པར་བརྗོད། །
42	line-end	8		མཆོག་དང་ནོར་གཏེར་དཔལ་དང་གཡང་། །
43	line-end	7		དམ་བཅའ་བ་དང་བཀྲ་ཤིས་དོན། །
44	line-end	8		སྐལ་བཟང་རྣམ་པ་དང་ལྡན་ཞིང་། །
45	line-end	7		ནོར་བུ་འཛིན་པའི་སྔགས་སུ་བརྗོད། །
46	line-end	4		ཅེས་གསུངས་ཤིང་།
47	line-end	88		རྗེ་བཙུན་མ་ཞེས་པས་སྡོམ་པ་གསུམ་དང་ལྡན་པ་མཚོན། རྗེ་ནི་ཁྱིམ་པ་ཡིན་ན་དགེ་བསྙེན་གྱི་ས
48	line-end	85		ཉམས་ན་ནད་སོ་སོ་ལ་སྨན་སོ་སོར་གཏོང་བ་ལྟར་སོ་ཐར་གྱི་སྡོམ་པ་ཕྱིར་བཅོས་ཀྱི་སྒོ་ནས་དག་
49	quote-open	3		བླ་མཆོད་ལས།
50	line-end	9		སོ་ཐར་བྱང་སེམས་གསང་སྔགས་སྡོམ་པ་ཡི། །
