index	trigger	syllables	flag	preview
1	line-end	18		རྗེ་བཙུན་བླ་མ་ཐུབ་པའི་དབང་པོ་མཉེས་པའི་མཆོད་སྤྲིན་མི་མང་ལམ་སྒྲོན་བཞུགས་སོ༎
2	line-end	18		རྩོམ་སྒྲིག་པ། དགེ་བཤེས་བློ་བཟང་ཟླ་བ། སྒྲོལ་མ་ཕྱག་འཚལ་ཉེར་གཅིག་གི་མཆན་འགྲེལ་བཞུགས
3	line-end	23		༈སྒྲོལ་མ་ཕྱག་འཚལ་ཉེར་གཅིག་གི་བསྟོད་པ་འདི་འཆད་པ་ལ་གསུམ།མདོར་བསྟན་པ་དང་། རྒྱས་པར་བ
4	line-end	45		དང་པོ་ནི། ཨོཾ་སྟེ་ཕྱག་ཡུལ་སྐུ་གསུམ་གྱི་བདག་ཉིད་དེ་ནི་སྡོམ་གསུམ་དང་ལྡན་པས་ན་རྗེ་བ
5	terminal-particle	28		གཉིས་པ་རྒྱས་པར་བཤད་པ་ལ་གསུམ། ལོ་རྒྱུས་ཀྱི་སྒོ་ནས་བསྟོད་པ་དང་། སྐུའི་རྣམ་པའི་སྒོ་
6	ordinal-open	3		དང་པོ་ནི།
7	line-end	25		ཕྱག་འཚལ་ལོ་གང་ལ་ན་སྒྲོལ་མ་སྟེ་སངས་རྒྱས་གཞན་ལས་འཕྲིན་ལས་མྱུར་མ་དང་བདུད་སྡེ་འཇོམས་
8	line-end	20		དེའི་ཡེ་ཤེས་ཀྱི་སྤྱན་ནི་སྐད་ཅིག་གི་ནམ་མཁའི་གློག་དང་འདྲ་བར་ཤེས་བྱ་ཀུན་གཟིགས་མ།
9	line-end	25		འཇིག་རྟེན་གསུམ་མགོན་སྤྱན་རས་གཟིགས་ཀྱི་ཆུ་སྐྱེས་ཞལ་གྱི། །གེ་སར་བྱེ་བ་ལས་ནི་བྱུང་བ
10	terminal-particle	20		གཉིས་པ་ལ་གཉིས། ལོངས་སྐུའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་པ་དང་། ཆོས་སྐུའི་རྣམ་པའི་སྒོ་ནས་བ
11	ordinal-open	20		དང་པོ་ལ་གཉིས། ཞི་བའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་པ་དང་། ཁྲོ་མོའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་པ
12	ordinal-open	67		དང་པོ་ལ་དྲུག ཞལ་མདངས་གསལ་ཞིང་འོད་ཟེར་འཕྲོ་བའི་སྒོ་ནས་བསྟོད་པ་དང་། སྐུ་མདོག་ཕྱག་མ
13	ordinal-open	3		དང་པོ་ནི།
14	line-end	25		ཕྱག་འཚལ་ལོ་གང་ལ་ན་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ། །གང་བ་བརྒྱ་ནི་བརྩེགས་པ་ལྟ་བུའི་ཟླུམ་ཞིང་
15	line-end	27		ཞལ་ལས་སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་ལྟ་བུའི་འོད་ཟེར་རྣམས་ཀྱིས། །རབ་ཏུ་ཕྱེ་བའི་སྟེ་གསལ་བར
16	line-end	27		གཉིས་པ་ནི། ཕྱག་འཚལ་ལོ་གང་ལ་ན་གསེར་ལྟར་མཛེས་ཤིང་ཅུང་ཟད་སྔོ་བ་ཆུ་ནས་སྐྱེས་ཀྱི། །པད
