index	kind	syllables	preview
1	prose	28	རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ཉི་ཤུ་རྩ་གཅིག་གི་ཚིག་འགྲེལ་དང་དམིགས་རིམ་ཉུང་ངུར་བཀོད་པ
2	prose	9	ཡེ་ཤེས་ལང་ཚོས་གང་བའི་རྗེ་བཙུན་མ། །
3	prose	8	ཁྱེད་ཞབས་དྲན་ཙམ་གྱིས་ཀྱང་དུཿཁའི་འགྲོ། །
4	prose	9	སྡུག་བསྔལ་རྒྱུ་བཅས་མིང་གི་ལྷག་མ་རུ། །
5	prose	9	བགྱིད་མཛད་གང་ཁྱེད་ཚེ་རབས་གཏན་གྱི་སྐྱབས། །
6	prose	59	ཞེས་མཆོད་པར་བརྗོད་པར་སྔོན་དུ་སོང་ནས། འཆད་བྱའི་གཞུང་ཕྱག་འཚལ་སྒྲོལ་མ་ཉེར་གཅིག་གི་ཚ
7	prose	3	ཞེས་པ་ལ།
8	prose	74	ༀ་ནི། འཕགས་མ་སྒྲོལ་མའི་སྐུ་གསུང་ཐུགས་ཀྱི་རྡོ་རྗེ་གསུམ་མཚོན། དམིགས་པ་མེད་པའི་ཐུགས
9	prose	8	ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ། །
10	prose	8	སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ། །
11	prose	8	འཇིག་རྟེན་གསུམ་མགོན་ཆུ་སྐྱེས་ཞལ་གྱི། །
12	prose	8	གེ་སར་བྱེ་བ་ལས་ནི་བྱུང་མ། །
13	prose	3	ཞེས་པ་ལ།
14	prose	60	ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། རྒྱལ་ཀུན་ཕྲིན་ལས་ཀྱི་བདག་ཉིད། སྲིད་པའི་ལས་ཉོན་དང་དེའི་འབྲས་བ
15	prose	28	གནས་ལུགས་གཟིགས་པའི་ཡེ་ཤེས་ཀྱི་སྤྱན་ནི། དུས་སྐད་ཅིག་གཅིག་གིས་གློག་དང་འདྲ་བར་ཆགས་ཐ
16	prose	62	ས་འོག་ས་སྟེང་ས་བླ་སྟེ་འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་ཀྱི་ཡིད་འོ
17	prose	80	གསལ་འདེབས་ཚུལ་ནི། བྱང་ཆུབ་ཀྱི་སེམས་འཕེལ་ཞིང་སྣང་བ་དབང་དུ་སྡུད་པའི་སྒྲོལ་མ་མྱུར་མ
18	prose	8	ཕྱག་འཚལ་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ། །
19	prose	8	གང་བ་བརྒྱ་ནི་བརྩེགས་པའི་ཞལ་མ། །
20	prose	8	སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་རྣམས་ཀྱིས། །
21	prose	8	རབ་ཏུ་ཕྱེ་བའི་འོད་རབ་འབར་མ། །
22	prose	47	ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། ཤིན་ཏུ་དྭངས་པའི་སྟོན་ཀའི་དུས་ཀྱི་ཟླ་བ་ཀུན་ཏུ་ཉ་གང་བ། ཕྱོགས་ག
23	prose	48	མཁྱེན་གཉིས་ཀྱི་སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་ལྟ་བུ་རྣམས་ཀྱིས། རབ་ཏུ་སོ་སོར་ཕྱེ་བའི་སོ་སོ
24	prose	87	གསལ་འདེབས་ཚུལ་ནི། ཤེས་རབ་ཀྱི་སྟོབས་འཕེལ་ཞིང་བློ་གྲོས་རྒྱས་པར་བྱེད་པའི་སྒྲོལ་མ་བླ
25	prose	8	ཕྱག་འཚལ་གསེར་སྔོ་ཆུ་ནས་སྐྱེས་ཀྱི། །
26	prose	7	པདྨས་ཕྱག་ན་རྣམ་པར་བརྒྱན་མ། །
27	prose	15	སྦྱིན་པ་བརྩོན་འགྲུས་དཀའ་ཐུབ་ཞི་བ། བཟོད་པ་བསམ་གཏན་སྤྱོད་ཡུལ་ཉིད་མ། །
28	prose	3	ཞེས་པ་ལ།
29	prose	33	ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། སྐུ་གསེར་གྱི་མདོག་ལྟར་སེར་ལ་ཨུཏྤལ་སྔོན་མོ་ཆུའི་ནང་ནས་སྐྱེས་ཀ
30	prose	55	ལམ་སྦྱིན་པ། བརྩོན་འགྲུས། དཀའ་ཐུབ་ཚུལ་ཁྲིམས། ཞི་བ་ཤེས་རབ། བཟོད་པ་དང་།དེ་བཞིན་བསམ་
31	prose	55	གསལ་འདེབས་ཚུལ་ནི། འཕགས་མ་སེར་མོ་བསོད་ནམས་མཆོག་སྟེར་འདི་ནི་སྐུ་མདོག་སེར་མོ། པད་ཟླ
32	prose	8	ཕྱག་འཚལ་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར། །
33	prose	8	མཐའ་ཡས་རྣམ་པར་རྒྱལ་བར་སྤྱོད་མ། །
34	prose	8	མ་ལུས་ཕ་རོལ་ཕྱིན་པ་ཐོབ་པའི། །
35	prose	10	རྒྱལ་བ་སྲས་ཀྱིས་ཤིན་ཏུ་བསྟེན་མ། ཞེས་པ་ལ།
36	prose	14	ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར་ལས་སྤྲུལ་པ།
37	prose	19	སྲིད་པའི་སྐྱོན་མཐའ་ཡས་པ་ལས་རབ་ཏུ་རྣམ་པར་རྒྱལ་བར་སྤྱོད་པའི་ཕྲིན་ལས་ཅན་མ།
38	prose	50	སྤངས་རྟོགས་མ་ལུས་པ་ཡོངས་སུ་རྫོགས་པས་སྤང་བྱ་སྒྲིབ་པ་བཅུ་སྤངས་ཤིང་།ཡོན་ཏན་ཕ་རོལ་ཕྱ
39	prose	68	གསལ་འདེབས་ཚུལ་ནི། འཆི་མེད་ཚེ་སྒྲུབ་གཙུག་ཏོར་རྣམ་པར་རྒྱལ་མ་སྐུ་གསེར་མདོག པད་ཟླའི་
40	prose	7	ཕྱག་འཚལ་ཏུཏྟཱ་ར་ཧཱུཾ་ཡི་གེས། །
41	prose	15	འདོད་དང་ཕྱོགས་དང་ནམ་མཁའ་གང་མ། འཇིག་རྟེན་བདུན་པོ་ཞབས་ཀྱིས་མནན་ཏེ། །
42	prose	8	ལུས་པ་མེད་པར་འགུགས་པར་ནུས་མ། །
43	prose	3	ཞེས་པ་ལ།
44	prose	63	ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། ཏུཏྟཱ་ར་ཡི་གཟུང་སྔགས་ལས་འོད་སྣ་ཚོགས་འབར་ཞིང་ལས་བཞི་ཐོགས་མེད་
45	prose	42	འཇིག་རྟེན་བདུན་ཏེ། ཀླུ། ཡི་དྭགས། ལྷ་མ་ཡིན།རིག་འཛིན། མི། མིའམ་ཅི། ལྷ་སྟེ་བདུན་པོ་
46	prose	48	གསལ་འདེབས་ཚུལ་ནི། དབང་དུ་སྡུད་པའི་རིག་བྱེད་ལྷ་མོ་འདི་ཉིད་སྐུ་མདོག་དམར་མོ། པད་ཟླའ
47	prose	30	ཕྱག་འཚལ་བརྒྱ་བྱིན་མེ་ལྷ་ཚངས་པ། རླུང་ལྷ་སྣ་ཚོགས་དབང་ཕྱག་མཆོད་མ། འབྱུང་པོ་རོ་ལངས་ད
48	prose	3	ཞེས་པ་ལ།
49	prose	67	ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། ཤར་གྱི་ལྷ་དབང་བརྒྱ་བྱིན། ཤར་ལྷོའི་དྲང་སྲོང་མེ་ལྷ། སྟེང་གི་ཚང
50	prose	73	དེ་བཞིན་བྱང་ཤར་གྱི་བགེགས་སོགས་འབྱུང་པོ་དང་། ལྷོ་ནུབ་ཏུ་རོ་ལང༵ས་ཏེ་བདེན་དང་བྲལ་བ་
