index	trigger	syllables	flag	preview
1	line-end	28		རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ཉི་ཤུ་རྩ་གཅིག་གི་ཚིག་འགྲེལ་དང་དམིགས་རིམ་ཉུང་ངུར་བཀོད་པ
2	line-end	9		ཡེ་ཤེས་ལང་ཚོས་གང་བའི་རྗེ་བཙུན་མ། །
3	line-end	8		ཁྱེད་ཞབས་དྲན་ཙམ་གྱིས་ཀྱང་དུཿཁའི་འགྲོ། །
4	line-end	9		སྡུག་བསྔལ་རྒྱུ་བཅས་མིང་གི་ལྷག་མ་རུ། །
5	line-end	9		བགྱིད་མཛད་གང་ཁྱེད་ཚེ་རབས་གཏན་གྱི་སྐྱབས། །
6	line-end	59		ཞེས་མཆོད་པར་བརྗོད་པར་སྔོན་དུ་སོང་ནས། འཆད་བྱའི་གཞུང་ཕྱག་འཚལ་སྒྲོལ་མ་ཉེར་གཅིག་གི་ཚ
7	line-end	3		ཞེས་པ་ལ།
8	line-end	74		ༀ་ནི། འཕགས་མ་སྒྲོལ་མའི་སྐུ་གསུང་ཐུགས་ཀྱི་རྡོ་རྗེ་གསུམ་མཚོན། དམིགས་པ་མེད་པའི་ཐུགས
9	line-end	8		ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ། །
10	line-end	8		སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ། །
11	line-end	8		འཇིག་རྟེན་གསུམ་མགོན་ཆུ་སྐྱེས་ཞལ་གྱི། །
12	line-end	8		གེ་སར་བྱེ་བ་ལས་ནི་བྱུང་མ། །
13	line-end	3		ཞེས་པ་ལ།
14	line-end	60		ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། རྒྱལ་ཀུན་ཕྲིན་ལས་ཀྱི་བདག་ཉིད། སྲིད་པའི་ལས་ཉོན་དང་དེའི་འབྲས་བ
15	line-end	28		གནས་ལུགས་གཟིགས་པའི་ཡེ་ཤེས་ཀྱི་སྤྱན་ནི། དུས་སྐད་ཅིག་གཅིག་གིས་གློག་དང་འདྲ་བར་ཆགས་ཐ
16	line-end	62		ས་འོག་ས་སྟེང་ས་བླ་སྟེ་འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་ཀྱི་ཡིད་འོ
17	line-end	80		གསལ་འདེབས་ཚུལ་ནི། བྱང་ཆུབ་ཀྱི་སེམས་འཕེལ་ཞིང་སྣང་བ་དབང་དུ་སྡུད་པའི་སྒྲོལ་མ་མྱུར་མ
18	line-end	8		ཕྱག་འཚལ་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ། །
19	line-end	8		གང་བ་བརྒྱ་ནི་བརྩེགས་པའི་ཞལ་མ། །
20	line-end	8		སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་རྣམས་ཀྱིས། །
21	line-end	8		རབ་ཏུ་ཕྱེ་བའི་འོད་རབ་འབར་མ། །
22	line-end	47		ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། ཤིན་ཏུ་དྭངས་པའི་སྟོན་ཀའི་དུས་ཀྱི་ཟླ་བ་ཀུན་ཏུ་ཉ་གང་བ། ཕྱོགས་ག
23	terminal-particle	43		མཁྱེན་གཉིས་ཀྱི་སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་ལྟ་བུ་རྣམས་ཀྱིས། རབ་ཏུ་སོ་སོར་ཕྱེ་བའི་སོ་སོ
24	line-end	6		ཞེས་པ་ནི་ཚིག་འགྲེལ་ལོ།།
25	line-end	87		གསལ་འདེབས་ཚུལ་ནི། ཤེས་རབ་ཀྱི་སྟོབས་འཕེལ་ཞིང་བློ་གྲོས་རྒྱས་པར་བྱེད་པའི་སྒྲོལ་མ་བླ
26	line-end	8		ཕྱག་འཚལ་གསེར་སྔོ་ཆུ་ནས་སྐྱེས་ཀྱི། །
27	line-end	7		པདྨས་ཕྱག་ན་རྣམ་པར་བརྒྱན་མ། །
28	line-end	15		སྦྱིན་པ་བརྩོན་འགྲུས་དཀའ་ཐུབ་ཞི་བ། བཟོད་པ་བསམ་གཏན་སྤྱོད་ཡུལ་ཉིད་མ། །
29	line-end	3		ཞེས་པ་ལ།
30	line-end	33		ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། སྐུ་གསེར་གྱི་མདོག་ལྟར་སེར་ལ་ཨུཏྤལ་སྔོན་མོ་ཆུའི་ནང་ནས་སྐྱེས་ཀ
31	terminal-particle	50		ལམ་སྦྱིན་པ། བརྩོན་འགྲུས། དཀའ་ཐུབ་ཚུལ་ཁྲིམས། ཞི་བ་ཤེས་རབ། བཟོད་པ་དང་།དེ་བཞིན་བསམ་
32	line-end	6		ཞེས་པ་ནི་ཚིག་འགྲེལ་ལོ།།
33	line-end	55		གསལ་འདེབས་ཚུལ་ནི། འཕགས་མ་སེར་མོ་བསོད་ནམས་མཆོག་སྟེར་འདི་ནི་སྐུ་མདོག་སེར་མོ། པད་ཟླ
34	line-end	8		ཕྱག་འཚལ་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར། །
35	line-end	8		མཐའ་ཡས་རྣམ་པར་རྒྱལ་བར་སྤྱོད་མ། །
36	line-end	8		མ་ལུས་ཕ་རོལ་ཕྱིན་པ་ཐོབ་པའི། །
37	line-end	10		རྒྱལ་བ་སྲས་ཀྱིས་ཤིན་ཏུ་བསྟེན་མ། ཞེས་པ་ལ།
38	line-end	14		ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར་ལས་སྤྲུལ་པ།
39	line-end	19		སྲིད་པའི་སྐྱོན་མཐའ་ཡས་པ་ལས་རབ་ཏུ་རྣམ་པར་རྒྱལ་བར་སྤྱོད་པའི་ཕྲིན་ལས་ཅན་མ།
40	terminal-particle	45		སྤངས་རྟོགས་མ་ལུས་པ་ཡོངས་སུ་རྫོགས་པས་སྤང་བྱ་སྒྲིབ་པ་བཅུ་སྤངས་ཤིང་།ཡོན་ཏན་ཕ་རོལ་ཕྱ
41	line-end	6		ཞེས་པ་ནི་ཚིག་འགྲེལ་ལོ། །
42	line-end	68		གསལ་འདེབས་ཚུལ་ནི། འཆི་མེད་ཚེ་སྒྲུབ་གཙུག་ཏོར་རྣམ་པར་རྒྱལ་མ་སྐུ་གསེར་མདོག པད་ཟླའི་
43	line-end	7		ཕྱག་འཚལ་ཏུཏྟཱ་ར་ཧཱུཾ་ཡི་གེས། །
44	line-end	15		འདོད་དང་ཕྱོགས་དང་ནམ་མཁའ་གང་མ། འཇིག་རྟེན་བདུན་པོ་ཞབས་ཀྱིས་མནན་ཏེ། །
45	line-end	8		ལུས་པ་མེད་པར་འགུགས་པར་ནུས་མ། །
46	line-end	3		ཞེས་པ་ལ།
47	line-end	63		ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། ཏུཏྟཱ་ར་ཡི་གཟུང་སྔགས་ལས་འོད་སྣ་ཚོགས་འབར་ཞིང་ལས་བཞི་ཐོགས་མེད་
48	terminal-particle	37		འཇིག་རྟེན་བདུན་ཏེ། ཀླུ། ཡི་དྭགས། ལྷ་མ་ཡིན།རིག་འཛིན། མི། མིའམ་ཅི། ལྷ་སྟེ་བདུན་པོ་
49	line-end	6		ཞེས་པ་ནི་ཚིག་འགྲེལ་ལོ། །
50	line-end	48		གསལ་འདེབས་ཚུལ་ནི། དབང་དུ་སྡུད་པའི་རིག་བྱེད་ལྷ་མོ་འདི་ཉིད་སྐུ་མདོག་དམར་མོ། པད་ཟླའ
51	line-end	30		ཕྱག་འཚལ་བརྒྱ་བྱིན་མེ་ལྷ་ཚངས་པ། རླུང་ལྷ་སྣ་ཚོགས་དབང་ཕྱག་མཆོད་མ། འབྱུང་པོ་རོ་ལངས་ད
52	line-end	3		ཞེས་པ་ལ།
53	line-end	67		ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། ཤར་གྱི་ལྷ་དབང་བརྒྱ་བྱིན། ཤར་ལྷོའི་དྲང་སྲོང་མེ་ལྷ། སྟེང་གི་ཚང
54	terminal-particle	68		དེ་བཞིན་བྱང་ཤར་གྱི་བགེགས་སོགས་འབྱུང་པོ་དང་། ལྷོ་ནུབ་ཏུ་རོ་ལང༵ས་ཏེ་བདེན་དང་བྲལ་བ་
55	line-end	6		ཞེས་པ་ནི་ཚིག་འགྲེལ་ལོ།།
56	line-end	69		གསལ་འདེབས་ཚུལ་ནི། གདོན་ཚོགས་འཛོམས་པའི་སྒྲོལ་མ་འཇིགས་བྱེད་ཆེན་མོ་འདི་ཉིད་སྐུ་མདོག
57	line-end	8		ཕྱག་འཚལ་ཏྲཌ་ཅེས་བྱ་དང་ཕཊ་ཀྱིས། །
58	line-end	15		ཕ་རོལ་འཕྲུལ་འཁོར་རབ་ཏུ་འཇོམས་མ། གཡས་བསྐུམ་གཡོན་བརྐྱང་ཞབས་ཀྱིས་མནན་ཏེ། །
59	line-end	8		མེ་འབར་འཁྲུགས་པ་ཤིན་ཏུ་འབར་མ། །
60	line-end	3		ཞེས་པ་ལ།
61	line-end	56		ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། ཞི་བས་མི་ཐུབ་པའི་འགྲོ་རྣམས་དྲག་པོའི་སྦྲ་ཏྲཌ་ཅེས་བྱ་བ་དྲལ་བ་ད
62	terminal-particle	64		སྟོང་དང་སྙིང་རྗེས་སྲིད་ཞི་ལས་འདས་པའི་བརྡར་གཡས་བསྐུམ་གཡོན་བརྐྱང་ཞབས་ཀྱིས་གཉིས་སུ་
63	line-end	6		ཞེས་པ་ནི་ཚིག་འགྲེལ་ལོ།།
64	line-end	84		གསལ་འདེབས་ཚུལ་ནི། དམག་དང་ཐོག་སེར་འཇོམ་མ་གཏུམ་མོ་གཞན་གྱིས་མི་ཐུབ་མ་འདི་ཉིད་སྐུ་མད
65	line-end	8		ཕྱག་འཚལ་ཏུ་རེ་འཇིགས་པ་ཆེན་མོས། །
66	line-end	8		བདུད་ཀྱི་དཔའ་བོ་རྣམ་པར་འཇོམས་མ། །
67	line-end	8		ཆུ་སྐྱེས་ཞལ་ནི་ཁྲོ་གཉེར་ལྡན་མཛད། །
68	line-end	8		དགྲ་བོ་ཐམས་ཅད་མ་ལུས་གསོད་མ། །
69	line-end	3		ཞེས་པ་ལ །
70	line-end	36		ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། ཏཱུ་རེ་ནི་གློག་ལྟར་མྱུར་བ་སྟེ་འགྲོ་རྣམས་འཁྲུལ་སྣང་འཇིགས་རུང་
71	line-end	30		དུག་གསུམ་གྱི་རྣམ་རྟོག་ཉོན་མོངས་དང་ཕུང་པོ་འཆི་བདག་ལྷ་བུ་བཅས་བདུད་ཀྱི་དཔའ་བོ་ཤིན་ཏ
72	terminal-particle	66		རབ་ཏུ་མཛེས་པའི་ཆུ་སྐྱེས་དང་མཚུངས་པའི་ཞལ་ནི་ཕྱིན་ཅི་ལོག་པའི་མ་རུང་པ་རྣམས་འདུལ་བའི
73	line-end	6		ཞེས་པ་ནི་ཚིག་འགྲེལ་ལོ།།
74	line-end	65		གསལ་འདེབས་ཚུལ་ནི། རྒོལ་བའི་མཚང་འབྲུ་གཞོམ་པའི་འཕགས་མ་གཞན་མི་རྒྱལ་བའི་དཔའ་མོ་འདི་ཉ
75	line-end	22		ཕྱག་འཚལ་དཀོན་མཆོག་གསུམ་མཚོན་ཕྱག་རྒྱའི། སོར་མོས་ཐུགས་ཀར་རྣམ་པར་བརྒྱན་མ། མ་ལུས་ཕྱོ
76	line-end	8		རང་གི་འོད་ཀྱི་ཚོགས་རྣམས་འཁྲུག་མ། །
77	line-end	3		ཞེས་པ་ལ།
78	line-end	44		ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། དཀོན་མཆོག་གསུམ་མཚོན་པའི་ཕྱག་རྒྱ་སྟེ། མཛུབ་གུང་མཐེའུ་ཆུང་གསུམ
79	terminal-particle	52		བརྒྱད་དང་བཅུ་དྲུག་ལས་ཕྱོགས་ཀྱི་འཁོར་ལོས་བསྲུང་བའི་རྒྱན་གྱིས་བརྒྱན་པར་བྱེད་པའི་རྗ
80	line-end	6		ཞེས་པ་ནི་ཚིག་འགྲེལ་ལོ། །
81	line-end	72		གསལ་འདེབས་ཚུལ་ནི། འཇིགས་པའི་ཚོགས་ཀུན་ལས་སྐྱོབ་པའི་སེང་ལྡེང་ནགས་ཀྱི་སྒྲོལ་མ་འདི་ཉ
82	line-end	66		འཇིགས་པ་ཆེན་པོ་བཅུ་དྲུག་ནི། ཚུལ་ཁྲིམས་དང་ལྟ་བ་མཆོག་འཛིན་སེང་གེའི་འཇིགས་པ། གཏི་མུ
83	line-end	60		འཆབ་འཚིག་དམུ་རྒོད་དགྲའི་འཇིགས་པ། གཡོ་སྒྱུ་བརྗེད་ངན་གདོན་གྱི་འཇིགས་པ། ངོ་ཚ་ཁྲེལ་མ
84	line-end	8		ཕྱག་འཚལ་རབ་ཏུ་དགའ་བས་བརྗིད་པའི། །
85	line-end	8		དབུ་རྒྱན་འོད་ཀྱི་ཕྲེང་བས་སྤེལ་མ། །
86	line-end	7		བཞད་པ་རབ་བཞད་ཏུཏྟཱ་ར་ཡིས། །
