index	trigger	syllables	flag	preview
1	line-end	14		སྒྲོལ་མ་ཉེ་ཤུ་རྩ་གཅིག་གི་རྣམ་བཤད་ཞེས་བྱ་བ་བཞུགས་སོ།།
2	line-end	106		གླེང་བརྗོད། ༄། །བོད་སྨར་ཁམས་གཙང་གཤིས་ཕ་ར་རིན་ཆེན་གླིང་གི་དགོན་ས་འདིར་རྗེ་བཙུན་སྒ
3	verse-stanza	33		ཕུན་ཚོགས་དགེ་ལེགས་བྱེ་བས་བསྐྲུན་པའི་སྐུ།།↵མཐའ་ཡས་འགྲོ་བའི་རེ་བ་སྐོང་བའི་གསུང་།↵མ
4	verse-stanza	32		རབ་འབྱམས་རྒྱལ་བའི་མཁྱེན་བརྩེའི་འཕྲིན་ལས་རྣམས༎↵རབ་མཛེས་ཡིད་འོང་ལྷ་མོའི་སྐུར་བསྟན་
5	line-end	14		སྒྲོལ་མ་ཉེ་ཤུ་རྩ་གཅིག་གི་རྣམ་བཤད་ཞེས་བྱ་བ་བཞུགས་སོ༎
6	line-end	1		༄༅།།
7	verse-stanza	32		རབ་འབྱམས་རྒྱལ་བ་ཀུན་གྱི་འཕྲིན་ལས་ཀྱི།།↵གཅིག་བསྡུས་ཐུཌ་རྗེའི་གཏེར་ཆེན་རྗེ་བཙུན་མས
8	terminal-particle	191		སྒྲོལ་མའི་ལོ་རྒྱུས་མདོར་བསྡུས། སྔོན་གྱི་དུས་སུ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་རྔ་ས
9	terminal-particle	127		དེ་ནས་རྒྱལ་པོའི་ཕོ་བྲང་དུ་བཞུགས་ཏེ། འདོད་པའི་ཡོན་ཏན་ལྔ་ནི། གཟུགས་སྒྲ་དྲི་རོ་རེག་
10	line-end	6		སྒྲོལ་མའི་ཕན་ཡོན་ནི། རྒྱུད་ལས།
11	verse-stanza	29		སྲོད་དང་ཐོ་རངས་ལངས་པར་བྱས་ཏེ༎↵དྲན་པས་མི་འཇིགས་ཐམས་ཅད་རབ་སྟེར༎↵སྡིག་པ་ཐམས་ཅད་རབ་ཏ
12	line-end	131		ཞེས་པ་སྟེ། རྗེ་བཙུན་སྒྲོལ་མ་ཁྲོ་བོའི་ཚུལ་དུ་བཞུགས་པ་དེ་ལ་སྲོད་ཀྱི་དུས་སུ་གསོལ་བ་
13	verse-stanza	30		རྒྱལ་བ་བྱེ་བ་ཕྲག་བདུན་རྣམས་ཀྱིས།།↵མྱུར་དུ་དབང་ནི་བསྐུར་བར་འགྱུར་ལ།↵འདི་ལས་ཆེ་བ་ཉ
14	line-end	91		ཞེས་པ་སྟེ། དུས་གསུམ་གྱི་རྒྱལ་བ་བྱེ་བ་ཕྲག་བདུན་རྣམས་ཀྱིས། ཡུམ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ
15	verse-stanza	30		གཉིས་གསུམ་བདུན་དུ་མངོན་པར་བརྗོད་ན།།↵བུ་འདོད་པས་ནི་བུ་འཐོབ་འགྱུར་ཞིང་༎↵ནོར་འདོད་པ
16	line-end	89		བགེགས་རྣམས་མེད་ཅིང་སོ་སོར་འཇོམས་གྱུར༎ ཞེས་པ་སྟེ། གྲངས་གཉིས་གསུམ་བདུན་དུ་རྗེ་བཙུན
17	line-end	6		སྒྲོལ་མ་མདོར་བསྟན་པ་ནི།
18	line-end	14		༄༅།།ཨོཾ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ༎ ཞེས་པ་སྟེ།
