index	trigger	syllables	flag	preview
1	line-end	7		སལ་སྤུངས་། ཐེག་གསུམ་ཆོས་ཕྱིར་༣གོ།
2	line-end	25		༄༅། །སྒྲོལ་འགྲེལ་ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས དེབ་ཕྲེང་ལྔ་པ མཁན་པོ་ཚུལ་
3	line-end	77		་སལ་༼སྤངས་མཛོད། སྒྲོལ་མ་ཉེར་གཅིག་གི་མཚན། མྱུར་མ་དཔའ་མ། ཁྲོ་བ་དཀར་མ། གསེར་མདོག་ཅན
4	line-end	9		དསལ་སྤྱངས་མཛེ། ཐེག་གསུམ་ཆོས་ཀྱི་འཁོར་ལོ་ཆེ།
5	line-end	25		༄༅། །སྒྲོལ་འགྲེལ་ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། དེབ་ཕྲེང་ལྔ་པ མཁན་པོ་ཚུལ
6	line-end	29		སྒྲོལ་མའི་འགྲེལ་པ་ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། དཔལ་སྤུངས་གསུང་རབ་སྤར་ས
7	line-end	1		.. ,.. :()-/ : ()-/ .. @. ©.
8	line-end	13		སལ་སྤངས་ལས་མཛ་་་སྲོལ་མ་ཉེར་གཅིག་ལ་ན་མོ།
9	line-end	26		སྒྲོལ་མའི་འགྲེལ་པ་ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི དཔལ་སྤུངས་གསུང་རབ་སྤར་སྐྲུན་ཁང་ནས་
10	line-end	1		.. ,.. :()-/ : ()-/ .. @. ©
11	line-end	10		་སལ་སྤྱངས་མཛོད། སྒྲོལ་མ་ཉེར་གཅིག་ལ་ན་མོ།
12	line-end	208		༄། །བཀའ་བརྒྱུད་ཀྱི་གདན་ས་ཆེན་མོ་དཔལ་སྤུངས་ཤེས་རབ་གླིང་གི་མཁན་པོ་ཚུལ་ཁྲིམས་རྣམ་དག
13	line-end	13		ཀརྨ་པ་ཨོ་རྒྱན་ཕྲིན་ལས་རྡོ་རྗེས། ནང་ལོ་༢༥༤༢ཕྱི་ལོ་༢༠༠༨ཟླ ༣ཚེས་༢༧ཉིན།
14	line-end	7		ན་ཏིང་ཏཱ་ཡི་སི་ཏུ་
15	line-end	134		༄༅། །བསྟན་དང་འགྲོ་བར་སྨན་པའི་ལྷག་བསམ་གཅིག་ཏུ་དཀར་ཞིང་དམ་པའི་ཚུལ་དགུའི་དཔལ་གྱིས་ཕ
16	line-end	1		..-,,, ..(),,
17	line-end	5		དཔེ་སྐྲུན་སྔོན་འགྲོའི་མཆིད།
18	line-end	256		༄༅ །རིས་མེད་རྒྱལ་བསྟན་གྱི་གཞོན་འཛམ་གླིང་གོ་ལ་ཟླུམ་པོའི་ཁྱོན་ཀུན་ཏུ་མངོན་པར་གསལ་ཞ
19	line-end	249		བསུབ་ཀྱིས་མ་གོས་པར་མ་དཔེ་ཇི་བཞིན་སོར་བཞག་ཐོག་()གློག་ཀླད་ཀྱི་ལམ་ནས་གཙང་དག་བསྐྱར་བ
20	line-end	112		དཀར་ཆག རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ་འདོད་འབྱུང་..རྣམ་པར་རྒྱལ་བའི་བ་དན རྗེ་བ
21	line-end	19		༄༅། །རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ་འདོད་འབྱུང་རྣམ་པར་རྒྱལ་བའི་བ་དན་བཞུགས་སོ།
22	verse-stanza	34		སྒྲོལ་བསྟོད་འདོད་འབྱུང་རྣམ་པར་རྒྱལ་བའི་བ་དན། །↵གང་ཞིག་བསྟེན་ན་གྲུབ་གཉིས་ཕྲིན་ལས་
23	verse-stanza	32		གཅིག་ཏུ་བསྡུས་པ་ཨརྱ་ཏཱ་རེར་འདུད། །↵གཡུ་མདོག་ལང་ཚོའི་མཛེས་སྡུག་ལྷུན་པོའི་སྐུ།↵མཚན
24	line-end	25		ཟག་མེད་བདེ་བའི་སྐུ་མཆོག་ཤིན་ཏུ་རྒྱས། །ཕྲིན་ལས་གློག་ལྟར་མྱུར་ཞིང་ཐུགས་རྗེ་ནི །གཡེ
25	verse-stanza	33		མ་ཆགས་པདྨ་འབུམ་གྱིས་བརྩེགས་པའི་ཁྲིར། །↵ཞབས་གཉིས་སེམས་དཀྱིལ་བཞེངས་པའི་སྟབས་གྱིས་ར
26	verse-stanza	33		འཇིགས་བརྒྱད་བཅུ་དྲུག་ཚོགས་ལས་སྒྲོལ་བའི་ཕྱིར། །↵ཕྱག་གཡས་མཆོག་སྦྱིན་ཕྱག་རྒྱས་རྣམ་པ
27	verse-stanza	33		སྐལ་ལྡན་རིག་འཛིན་བདེ་སྟོང་བསྐྱེད་པའི་གྲོགས། །↵བྲང་ཀྱི་དཀྱིལ་ལ་མྱོས་བུམ་ཟླུམ་ཞིང་
28	verse-stanza	33		གཡུ་མདོག་ཟླ་བ་མཛེས་པའི་འཛུམ་བག་ཅན།།↵དྲན་པ་ཙམ་གྱིས་ཡིད་རབ་འཕྲོག་པའི་ཞལ། །↵ཇི་ལྟ་ཇ
29	line-end	9		མཁྱེན་པའི་ཡེ་ཤེས་མངའ་བའི་སྤྱན་རས་ནི། | །
30	verse-stanza	25		དཀར་ནག་མ་འདྲེས་སྤྱན་དཀྱུས་ཤིན་ཏུ་ཡངས། །↵འབུམ་ཕྲག་སྐྱེ་བའི་ཕྲེང་བར་གྱ་གྱུའི་ཚིག།↵
31	line-end	16		ལེགས་བཤད་གསུང་གི་བདུད་རྩི་རོལ་བའི་མཐུས། །ཞལ་གྱི་ཚེམས་ལས་ཨུཏྤལ་དྲི་བསུང་
32	line-end	8		ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། འཐུལ། །
33	verse-stanza	18		སྤངས་རྟོགས་ཡོན་ཏན་དཀྱིལ་འཁོར་ཟླུམ་ན་ཡང་། །↵རྗེས་ཆགས་འགྲོ་ལ་གཟུགས་སྐུའི་ལང་ཚོ་ནི།
34	line-end	17		དྲི་མེད་ཟླ་བ་དཀར་པོའི་རྒྱབ་ཡོལ་ངོགས །ཡིད་འཕྲོག་མཛེས་སྡུག་ལྷ་མོའི་མཚན་དཔེ་ངོམ །
35	verse-stanza	34		དྭངས་བསིལ་རླུང་གིས་ཅུང་ཙམ་བསྐུལ་བས་ཀྱང་། །↵ལྡེམ་ལྡེམ་གར་གྱིས་རོལ་པའི་གཡུ་ལོ་བཞིན
36	verse-stanza	33		འདོད་སྲིད་དྲི་རོས་རིང་ནས་མ་སྦགས་པར། །↵ཟག་མེད་ཏིང་འཛིན་འབུམ་གྱི་རོ་མཆོག་གིས། །↵ཅི
37	line-end	9		གྲངས་མེད་ཚོགས་གཉིས་རྒྱ་མཚོ་བསྲུབས་པ་ཡིས། །
38	verse-stanza	33		ལེགས་འཁྲུངས་གཟུགས་ཀྱི་ལྷ་མོའི་ལང་ཚོ་ནི། །↵འཕོང་མགོ་ཟླུམ་ཞིང་དར་གྱི་ཤམ་བུ་བཞིན། །
39	verse-stanza	26		བསྐལ་པར་གོམས་པའི་དྲང་སྲོང་རྒད་པོ་ཡང་། །↵དམར་ལ་དཀར་བའི་ཁྱོད་ཞབས་སེན་མོ་ཉིད། །↵མཐོ
