index	syllables	pieces	method	preview
5	43	1	STAGE2_MANUAL	​དེ་ལ་རིགས་དྲུག་ལས་རྡོ་རྗེ་རྟ་མཆོག་སྟེ་རྟའི་རྒྱལ་པོའི་རིགས་ས
9	48	1	STAGE2_MANUAL	​དེ་ཉིད་ཀྱི་ཕྱད་པར་ཇི་ལྟ་བུ་ཞིན།།​ཐུགས་དམིགས་པ་མེད་པའི་སྙིང་
10	88	1	STAGE2_MANUAL	སྐད་ཅིག་གཅིག་ལ་ཡེ་ཤེས་ཀྱི་སྤྱན་གློག་དང་འདྲ་བ་མྱུར་དུ་སྐྱེད་པ
20	44	1	STAGE2_MANUAL	ཚིགས་བཅད་གཉིས་པ་ཕྱག་འཚལ་སྟོན་ཀའི་སོགས་ལ། སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏ
21	47	1	STAGE2_MANUAL	སྐར་མ་སྟོང་ཕྲག་མང་པོ་ཚོགས་པ་རྣམས་ཀྱི་སྟེ་ལྟ་བུའམ་དུ་མར་གྱེས་
27	109	1	STAGE2_MANUAL	​བཟོད་པ་དང་བསམ་གཏན་ཏེ་ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་ལ་མངའ་བརྙེས་པས། ཕ
32	49	1	STAGE2_MANUAL	ཕན་ཡོན་མཐའ་ཡས་པ་དང་ལྡན་ཞིང་མི་མཐུན་པའི་ཕྱོགས་ཐམས་ཅད་ལས་རྣམ་པ
37	48	1	STAGE2_MANUAL	- ཁམས་དང་རླུང་གི་ཚོགས་པ་གཙུག་གཏོར་དུ་ཐིམ་པས་སྤྱང་བྱ་མཐའ་ཡས་པ
39	60	1	STAGE2_MANUAL	​ཚིགས་བཅད་ལྔ་པ་ཕྱག་འཚལ་ཏུ་ཏྟཱ་ར་སོགས་ལ་ཏུ་ཏྟཱ་རེ་དང་ཧཱུྃ་གི་
40	111	1	STAGE2_MANUAL	འཇིག་རྟེན་བདུན་པོ་ཞབས་ཀྱི་འོག་ཏུ་མནན་པ་ལྟར་དབང་དུ་མཛད་ཅིང་།།
55	61	1	STAGE2_MANUAL	​དྲི་ཟ་ནི་སྣ་ཚོགས་ཤིང་རྟ་ལ་སོགས་པ་རྣམས་དང་། གནོད་སྦྱིན་ནི་རྣ
68	47	1	STAGE2_MANUAL	​རིམས་དང་ནད་ཡམས་ལ་སོགས་པ་ཞི་བར་མཛད་ཅིང་། ཁྲོ་བས་འཁྲུགས་པའི་ས
71	67	1	STAGE2_MANUAL	​ཕ་རོལ་ལས་དང་ཉོན་མོངས་པའི་འཁུལ་འཁོར་དུས་སྦྱོར་བཅུ་གཉིས་ཀྱི་ར
81	41	1	STAGE2_MANUAL	​ཁྲོ་གཉེར་ནི་ལྷའི་ཆས་སུ་ཞུགས་པ་མཚོན་ཏེ། དེས་ཀྱང་ཡེ་ཤེས་ཀྱི་ས
85	103	1	STAGE2_MANUAL	ཚིགས་བཅད་དགུ་པ་ཕྱག་འཚལ་དཀོན་མཆོག་སོགས་ལ། དཀོན་མཆོག་གསུམ་མཚོན
89	72	1	STAGE2_MANUAL	, སྦས་དོན་ནི། དཀོན་མཆོག་གསུམ་མཚོན་ནི་ཁུ་རྡུལ་རླུང་གསུམ་སྟེ། 
93	54	1	STAGE2_MANUAL	བཞད་པ་དང་རབ་ཏུ་ཆེར་བཞད་པ་དང་།།​ཨོཾ་ཏུཏྟཱ་རེ་ལ་སོགས་པའི་སྔགས་
95	82	1	STAGE2_MANUAL	སྦས་དོན་ནི། རབ་ཏུ་དགའ་བ་ལྷན་ཅིག་སྐྱེས་པའི་གཟི་བརྗིད་ཀྱི་འོད་
96	64	1	STAGE2_MANUAL	ཚིགས་བཅད་བཅུ་གཅིག་པ་ཕྱག་འཚལ་ས་གཞི་སོགས་ལ་ལྷ་མོ་གང་གི་རིག་སྔག
99	42	1	STAGE2_MANUAL	​འགྲོ་བ་ཕོངས་བ་རྣམས་ཐམས་ཅད་དབུལ་ཞིང་ཕོངས་པའི་སྡུག་བསྔལ་མ་ལུས
101	44	1	STAGE2_MANUAL	སྦས་དོན་ནི། ས་གཞི་སྐྱོང་བ་ས་འོག་གི་བདག་པོའི་སྒྲས། རྡུལ་གི་དང
106	61	1	STAGE2_MANUAL	ཚིགས་བཅད་བཅུ་གཉིས་པ་ཕྱག་འཚལ་ཟླ་བའི་སོགས་ལ། ཟླ་བའི་དུམ་བུ་ནི་
111	49	1	STAGE2_MANUAL	​རལ་པའི་ཁྲོད་གནས་ནི་གྲིབ་མའི་ཚུལ་དུ་སྤྱི་བོར་བརྟན་པ། འོད་དཔག
114	53	1	STAGE2_MANUAL	ནང་ཟག་མེད་ཀྱི་དགའ་བ་ལས་མ་གཡོས་བཞིན་དུ།།​གཡས་བརྐྱང་གཡོན་བསྐུམ
115	92	1	STAGE2_MANUAL	, ​སྦས་དོན་ནི། གཏུམ་མོ་ཡེ་ཤེས་ཀྱི་མེ་དུས་མཐའི་མེ་འབར་བ་ལྟ་བུ
119	55	1	STAGE2_MANUAL	ཞལ་རས་ཁོ་གཉེར་ཅན་དུ་མཛད་ཅིང་ཁྲོ་བའི་ཤུགས་ཀྱིས་ཧཱུྃ་ཞེས་ཤངས་ན
127	52	1	STAGE2_MANUAL	​དེ་ཡང་ས་འོག་བདུན་ཏེ། དབུ་མའི་མས་སྣ་ན་ཚངས་པའི་མེ་སྤུལ་ལྟར་འཁ
129	104	1	STAGE2_MANUAL	ཚིགས་བཅད་བཅོ་ལྔ་པ་ཕྱག་འཚལ་བདེ་མ་སོགས་ལ། བཅོམ་ལྡན་འདས་མ་ཉིད་ར
130	41	1	STAGE2_MANUAL	གཞན་ཡང་ལྷ་མོ་ཉིད་ཀྱིས་གསུངས་པའི་རིག་སྔགས་སྭཱ་ཧཱ་དང་ཨོཾ་དང་ཡང
131	43	1	STAGE2_MANUAL	​འདིས་ཞི་བའི་ལས་ཀྱི་མཐའ་བསྒྱུར་བའི་སྔགས་སྭཱ་ཧཱ་ར་བཤད་ཅིང་། ག
133	44	1	STAGE2_MANUAL	, འདིའི་ངེས་པའི་དོན་མཐར་ཐུག་པ་ནི། བདེ་མ་ནི་སོར་རྟོག་ཡེ་ཤེས། 
136	71	1	STAGE2_MANUAL	ཚིགས་བཅད་བཅུ་དྲུག་པ་ཕྱག་འཚལ་ཀུན་ནས་སོགས་ལ།།​གྲུབ་པ་རིག་པ་འཛི
149	47	1	STAGE2_MANUAL	རིའི་རྒྱལ་པོ་རི་རབ་དང་། མནྡ་ར་ཞེས་བྱ་བའི་ར་དང་། རི་བོ་གངས་ཅན
152	54	1	STAGE2_MANUAL	འབིགས་བྱེད་ཅེས་འབྱུང་བ་ལྟར་ན། རིའི་རྒྱལ་པོ་འབིགས་བྱེད་དེ། གཞ
156	53	1	STAGE2_MANUAL	​འཇིག་རྟེན་གསུམ་སྐྱོད་པར་གྱུར་ན། རི་རབ་སོགས་སྨོས་པས་ཅི་ཞིག་བ
157	65	1	STAGE2_MANUAL	, ​སྦས་དོན་ནི། རི་རབ་ནི་ཚངས་པའི་རུས་པ། རི་གཞན་གཉིས་ནི་ཡིད་བཟ
158	43	1	STAGE2_MANUAL	​ཚིགས་བཅད་བཅོ་བརྒྱད་པ་ཕྱག་འཚལ་ལྷའི་སོགས་ལ། ལྷའི་མཚོ་སྟེ། ཡིད
161	46	1	STAGE2_MANUAL	​ཧ་ར་ལན་གཉིས་བརྗོད་པའི་སྔགས་ནི། ཨོཾ་ན་མཿཏཱ་རེ་ན་མོ་ཧ་རེ་ཧཱུྃ
164	54	1	STAGE2_MANUAL	ངེས་པའི་དོན་དུ་ནི། ལྷ་ནི་ལུས་ལས་བྱུང་བ་སྟེ། དེའི་མཚོ་ནི་ལྷན་
166	50	1	STAGE2_MANUAL	​ཚིགས་བཅད་བཅུ་དགུ་པ་ཕྱག་འཚལ་ལྷའི་ཚོགས་རྣམས་སོགས་ལ།།​ལྷའི་ཚོག
167	46	1	STAGE2_MANUAL	​འཇིག་རྟེན་དུ་ཕན་གནོད་བྱེད་པ་རིའི་ལྷ་དང་ཤིང་གི་ལྷ་དང་།།​མཚོའ
168	56	1	STAGE2_MANUAL	ལྷ་མོ་ཁྱོད་ཀྱིས་བྱིན་གིས་བརླབས་པའི་སྔགས་དང་ཕྱག་རྒྱའི་གོ་ཆ་དག
176	46	1	STAGE2_MANUAL	ཚིགས་བཅད་ཉི་ཤུ་པ་ཕྱག་འཚལ་ཉི་མ་སོགས་ལ།།​ཉི་མ་དང་ཟླ་བ་འོད་ཟེར་
177	55	1	STAGE2_MANUAL	ངན་འགྲོ་ལ་སོགས་པ་སྡུག་བསྔལ་ཅན་གི་འགྲོ་བ་མཐའ་དག་བདེ་བ་ལ་འགོད་
182	63	1	STAGE2_MANUAL	, སྐབས་འདིར་སྤྱན་གཉིས་ཉི་ཟླ་འདྲ་བར་སྦྱར་བ་ནི། སྤྱན་གཡས་པའི་འ
199	48	1	STAGE2_MANUAL	​གནོད་སྦྱིན་ནི་མདངས་འཕྲོག་པ་རྣམས་ཀྱི་གནོད་པ་སྟེ། དེ་ལྟ་བུའི་
204	48	1	STAGE2_MANUAL	གཉིས་པ་སྤྱིའི་དོན་ནི། སྒྲོལ་མའི་སྐུར་བསྐྱེད་པའི་བསམ་གཏན་ལ། ག
220	67	1	STAGE2_MANUAL	བཞི་པ་མཐར་ཐུག་ནི། སྐུ་དང་གསུང་དང་ཐུགས་རྡོ་རྗེ་འདི་ཉིད་གསུམ་ན
224	75	1	STAGE2_MANUAL	​དེ་ལྟར་ན་རྒྱས་བཤད་སྒྲ་ཇི་བཞིན་པའི་ཚིག་འདི་རྣམས་ཀྱིས། བཅོམ་ལ
226	114	1	STAGE2_MANUAL	ངེས་དོན་འདི་རྣམས་ནི། ཟབ་ལམ་མཐར་ཐུག་རྡོ་རྗེའི་རྣལ་འབྱོར་ཡན་ལག
228	117	1	STAGE2_MANUAL	གཞན་ཡང་ཉེ་བར་མཁོ་བའི་རྣམ་གྲངས་འདི་ལྟ་བུ་དག་ཀྱང་ཡོད་དེ། སྟོན་
229	96	1	STAGE2_MANUAL	བསྐྱེད་རིམ་གི་ཕྱོགས་དང་།།​ཉི་མ་ཟླ་བ་རྒྱས་པའི་སོགས་ཀྱིས་ཆོ་ག་
233	49	1	STAGE2_MANUAL	​གཞན་ཡང་སྒྲོན་མ་ཉིན་ཞི་མཚན་ཁྲོར་གྲགས་པའི་སྒྲུབ་ཐབས་ཀྱང་གཞུང་
236	46	1	STAGE2_MANUAL	རྩ་སྔགས་ཀྱི་ཡི་གེ་བཅུ་པའི་སོ་ནས་བསྟོད་པ་དེ་འདི་ཉིད་ཡིན་པ་དང་
248	46	1	STAGE2_MANUAL	​དེའི་ཕན་ཡོན་ནི་མི་འཇིགས་པ་ཐམས་ཅད་རབ་ཏུ་སྟེར་བ་སྟེ། འཇིགས་པ་
250	80	1	STAGE2_MANUAL	​དེ་བས་ན་བློ་ལྡན་གང་གིས་སྲོང་སོགས་ཐུན་དྲུག་ཏུ་ལྷ་མོ་ལ་གུས་ཤི
254	78	1	STAGE2_MANUAL	​རྒྱལ་བ་བྱེ་བ་སོགས་ལ་བསྟོད་པ་བཟླས་པ་དང་དེའི་སྒྲུབ་པ་ལ་གནས་པས
257	65	1	STAGE2_MANUAL	​ཏིང་ངེ་འཛིན་དང་གཟུངས་ཀྱི་ཁྱད་པར་མང་པོ་ཐོབ་སྟེ་འཁོར་ཕུན་སུམ་
260	78	1	STAGE2_MANUAL	དེ་ཡི་དུག་ནི་སོགས་ལ། བརྟན་པ་ནག་པོ་བརྩེགས་པ་ལ་སོགས་པའི་དུག་དང
262	130	1	STAGE2_MANUAL	​དེ་ལྟ་བུའི་དུག་དེ་ཡང་སྒྲོལ་མའི་རིག་སྔགས་དྲན་པ་ཙམ་གྱིས། རབ་ཏ
263	83	1	STAGE2_MANUAL	​གདོན་དང་སོགས་ལ་གདོན་རྣམ་པ་སྣ་ཚོགས་ཀྱི་གནོད་པ་དང་། རིམས་ལ་སོ
268	89	1	STAGE2_MANUAL	​དེ་ལྟར་བརྗོད་ན་བུ་སྟེ་ཁྱིམ་པའི་ཕྱོགས་ལ་རིགས་བརྒྱུད་དམ།།​རབ་
