index	syllables	pieces	method	preview
10	73	1	STAGE2_MANUAL	དོན་ནི། ཨོཾ་ནི་མཚམས་སྦྱོར་ཕྲལ་ན་ཡི་གེ་ཨ་ཨུ་མ་གསུམ་དུ་འགྱུར་བ
18	58	1	STAGE2_MANUAL	ས་འོག་ཀླུའི་འཇིག་རྟེན། ས་སྟེང་མིའི་འཇིག་རྟེན། ས་བླ་ལྷའི་འཇིག
22	66	1	STAGE2_MANUAL	དང་པོ་ལ་དྲུག །ཞལ་མདངས་གསལ་ཞིང་འོད་ཟེར་འཕྲོ་བའི་སྒོ་ནས་བསྟོད་
27	56	1	STAGE2_MANUAL	གང་ལ་ན། རྡུལ་སྤྲིན་ལུག་རྣ་སོགས་དང་བྲལ་བའི་སྟོན་ཀའི་དུས་ཀྱི་ཟ
28	43	1	STAGE2_MANUAL	ཞལ་དེ་ལས་སྐར་མ་སྟོང་ཕྲག་དུ་མ་ཕྱོགས་གཅིག་ཏུ་ཚོགས་པ་ལྟ་བུའི་འོ
33	48	1	STAGE2_MANUAL	གང་ལ་ན། སྐུ་མདོག་འཛམ་བུ་ཆུ་བོའི་གསེར་ལྟར་མཛེས་ཤིང་ཅུང་ཟད་སྔོ
34	50	1	STAGE2_MANUAL	རྒྱུ་སྦྱིན་པ་དང་། བརྩོན་འགྲུས་དང་། བསྲུང་དཀའ་བ་ཐུབ་པའི་ཚུལ་ཁ
45	63	1	STAGE2_MANUAL	ཕྱག་འཚལ་ལོ། གང་ལ་ན། གསུང་ཏུཏྟཱ་ར་ཞེས་སོགས་སྔགས་འཕྲེང་ལས་འཕྲོ
46	49	1	STAGE2_MANUAL	དེ་ལྟ་བུའི་འཇིག་རྟེན་གྱི་ཁམས་བདུན་པོ་དེ་རྣམས་འོད་དང་སྒྲས་གང་
49	57	1	STAGE2_MANUAL	ཕྱག་འཚལ་ལོ། གང་ལ་ན། ཤར་གྱི་ཕྱོགས་སྐྱོང་བརྒྱ་བྱིན་དང་། ཤར་ལྷོ
50	51	1	STAGE2_MANUAL	དབང་ལྡན་གྱི་འཁོར་འབྱུང་པོ་རྣམས་དང་། སྲིན་པོའི་འཁོར་རོ་ལངས་རྣ
55	54	1	STAGE2_MANUAL	གང་ལ་ན། ཞལ་ནས་ཏྲཊ་(འདྲལ་བ་སྟེ་འཇོམས་པའོ)ཅེས་བྱ་བ་དང་ཕཊ་(འགས་
56	53	1	STAGE2_MANUAL	གཡས་བསྐུམས་ཤིང་གཡོན་བརྐྱངས་པ་སྟོང་ཉིད་སྙིང་རྗེ་མཚོན་པའི་ཞབས་
58	72	1	STAGE2_MANUAL	གཉིས་པ་ཁྲོ་མོའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་པ་ལ་བདུན། བདུད་དང་སྒྲིབ
65	41	1	STAGE2_MANUAL	ཆུ་སྐྱེས་ཏེ་པདྨ་རྒྱས་པ་ལྟར་མཛེས་པའི་ཞལ་རས་ནི་ཁྲོ་གཉེར་དང་ལྡན
