index	syllables	pieces	method	preview
25	63	1	STAGE2_MANUAL	གསོད་རྐུ་མི་ཚངས་སྤྱོད་པའི་སྡིག་པ་གསུམ། རྫུན་དང་ཕྲ་མ་ཚིག་རྩུབ
32	41	1	STAGE2_MANUAL	ཐེག་པ་ཆེན་པོ་བྱང་སེམས་ཀྱི་ཐེག་པ་མདོ་སྔགས་གཉིས་དང་ཆུང་ངུ་ཉན་ར
37	95	1	STAGE2_MANUAL	བདུན་པ་བསྔོ་སྨོན་ཡན་ལག་ནི། དེའང་ཡན་ལག་དང་པོ་གཉིས་ཀྱི་སྒོ་ནས་
38	102	1	STAGE2_MANUAL	འདྲེན་པའི་དཔལ་དུ་རྗེ་བཙུན་མ་ཁྱེད་དང་ལྷན་ཅིག་ཏུ་བདག་གྱུར་ཅིག 
39	54	1	STAGE2_MANUAL	གཉིས་པ་སྒྲོལ་མའི་རྒྱུད་ལས་ཁོལ་དུ་ཕྱུང་བའི་བསྟོད་པའི་ཚིག་བྱིན
42	41	1	STAGE2_MANUAL	གསུམ་པ་སྐད་གཉིས་ཤན་སྦྱར་དུ་སྨོས་ན། ན་མཿནི་ཕྱག་འཚལ། ཏཱ་ར་ནི་ས
44	52	1	STAGE2_MANUAL	ཨོཾ་ནི་མགོ་འདྲེན། རྒྱལ་བ་ཀུན་གྱི་ཡུམ་མཆོག་ཏུ་གྱུར་པས་རྗེ་བཙུ
45	92	1	STAGE2_MANUAL	ཕྱག་གང་ལ་འཚལ་ན་ཏཱ་རེ་ནི་སྒྲོལ་མ། སྐད་ཅིག་དང་ཉི་མ་གཅིག་གིས་ཀྱ
46	53	1	STAGE2_MANUAL	ཕྱག་གང་ལ་འཚལ་ན་མཁྱེན་པས་དད་པ་ཅན་འཇིགས་པ་ཀུན་ལས་སྒྲོལ་མ་དེའང་
48	97	1	STAGE2_MANUAL	ས་འོག་ངན་སོང་དང་ས་སྟེང་མི་ས་བླ་མཐོ་རིས་ཀྱི་འཇིག་རྟེན་གསུམ་མག
50	57	1	STAGE2_MANUAL	དེ་ལ་སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་ལྟ་བུ་རྣམས་ཀྱིས་ཀྱང་། འོད་ཟེར་ཤིན
51	45	1	STAGE2_MANUAL	ཡང་ཕྱག་གང་ལ་འཚལ་ན་ཟེའུ་འབྲུ་དམར་སེར་གསེར་གྱི་མདངས་ལྡན་གྱི་ཨུ
52	52	1	STAGE2_MANUAL	སྦྱིན་པའི་ཕར་ཕྱིན་དང་བརྩོན་འགྲུས་དང་དཀའ་ཐུབ་སྟེ་ཚུལ་ཁྲིམས་དང
53	56	1	STAGE2_MANUAL	ཡང་ཕྱག་གང་ལ་འཚལ་ན་ཕྱོགས་བཅུའི་དེ་བཞིན་གཤེགས་པ་རྒྱལ་བ་རིགས་ལྔ
54	65	1	STAGE2_MANUAL	ཕྱོགས་བཅུའི་ཞིང་ཁམས་ན་མ་ལུས་པའི་ཕ་རོལ་ཕྱིན་པ་བཅུ་རིམ་པར་ཐོབ་
55	48	1	STAGE2_MANUAL	ཡང་ཕྱག་གང་ལ་འཚལ་ན་ༀ་ཏུཏྟཱ་ར་ཧཱུཾ་ཞེས་པའི་ཡི་གེས་ལས་སྦྱོར་བྱས
57	86	1	STAGE2_MANUAL	ཡང་ཕྱག་གང་ལ་འཚལ་ན་སུམ་ཅུ་རྩ་གསུམ་ན་ཆེ་བའི་བརྒྱ་བྱིན་དྲང་སྲོང
58	90	1	STAGE2_MANUAL	གཞན་ཡང་ཚོགས་ཀྱི་བདག་པོ་ལ་སོགས་པའི་འབྱུང་པོ་འཇིགས་བྱེད་ནག་པོ་
59	59	1	STAGE2_MANUAL	ཡང་ཕྱག་གང་ལ་འཚལ་ན་ཨོཾ་ཏཱ་རེ་ཏྲད་ཕཊ་སྭཱ་ཧཱ་ཞེས་པ་ལྟ་བུའི་ལྷ་ས
61	50	1	STAGE2_MANUAL	ཡང་ཕྱག་གང་ལ་འཚལ་ན་ཨོཾ་ཏུ་རེ་སྭཱ་ཧཱ་ཞེས་པའི་ལྷ་སྔགས་ཀྱི་མཐུ་ས
62	46	1	STAGE2_MANUAL	ཆུ་སྐྱེས་པདྨ་རྒྱས་འདྲའི་ཞལ་ནི་ཁྲོ་གཉེར་ལྡན་པར་མཛད་པས། སྒྲོལ་
63	80	1	STAGE2_MANUAL	ཡང་ཕྱག་གང་ལ་འཚལ་ན་ཕྱག་གཡོན་པའི་གུང་མཛུབ་མཐེའུ་ཆུང་གསུམ་བསྒྲེ
65	58	1	STAGE2_MANUAL	ཡང་ཕྱག་གང་ལ་འཚལ་ན་ནང་ཐུགས་རྒྱུད་ཟག་མེད་ཀྱི་རབ་ཏུ་དགའ་བས་རབ་ཏ
66	60	1	STAGE2_MANUAL	འཇིག་རྟེན་འཁོར་བ་དབང་དུ་སྡུད་ཕྱིར་གསུང་གི་གད་མོ་བཞད་པ་དང་འཇི
68	60	1	STAGE2_MANUAL	ཁྲོས་པའི་ཚུལ་གྱི་ཁྲོ་གཉེར་གཡོ་བའི་དགོས་འདོད་ཀུན་འབྱུང་གི་ཡི་
69	42	1	STAGE2_MANUAL	ཡང་ཕྱག་གང་ལ་འཚལ་ན་མཛེས་པའི་ཡོན་ཏན་ཟླ་བའི་དུམ་བུས་དབུ་རྒྱན་དང
73	56	1	STAGE2_MANUAL	གཡས་བརྐྱང་གཡོན་བསྐུམ་སོགས་དྲག་པོའི་སྟངས་སྟབས་སྣ་ཚོགས་པ་ཀུན་ན
75	91	1	STAGE2_MANUAL	ཁྲོ་གཉེར་ཅན་མཛད་ཤངས་ནས་སྲིད་གསུམ་གཡོ་བའི་ཡི་གེ་ཧཱུྃ་གི་སྒྲས།
76	61	1	STAGE2_MANUAL	ཡང་ཕྱག་གང་ལ་འཚལ་ན་འགྲོ་བ་མཐོ་རིས་ན་བཀོད་པའི་བདེ་མ་ཐར་པ་ལ་བཀོ
77	84	1	STAGE2_MANUAL	ཁྱོད་ཀྱི་སྙིང་པོ་རིགས་སྔགས་ཏཱ་རེ་ཏུཏྟཱ་རེ་ལ་མཇུག་ན་སྭཱ་ཧཱ་དང
78	42	1	STAGE2_MANUAL	ཡང་ཕྱག་གང་ལ་འཚལ་ན་རིག་འཛིན་གྲུབ་པ་དང་རྒྱལ་སྲས་སེམས་དཔའི་འཁོར
80	58	1	STAGE2_MANUAL	ཡང་ཕྱག་གང་ལ་འཚལ་ན་ཏུ་རེ་སྟེ་སྒྲོལ་མའི་སྐུ་རྫུ་འཕྲུལ་གྱི་ཆོ་འ
81	80	1	STAGE2_MANUAL	རི་ཡི་རྒྱལ་པོ་དབུས་ཀྱི་རི་རབ་དང་ལྷ་དང་དྲང་སྲོང་ཆེན་པོ་རྣམས་ཀ
82	59	1	STAGE2_MANUAL	ཡང་ཕྱག་གང་ལ་འཚལ་ན་སྒྲོལ་མའི་སྐུ་མདུན་མཁར་བསྒོམ་ཞིང་ཕྱག་མཚན་ལ
83	66	1	STAGE2_MANUAL	ཨོཾ་ཏ་ར་ཏ་ར་ཕཊ། ཅེས་པ་རྒྱུད་ཀྱི་དངོས་བསྟན་ནམ་ཡང་ན་ཨོཾ་ཏཱ་རེ་
84	65	1	STAGE2_MANUAL	ཡང་ཕྱག་གང་ལ་འཚལ་ན་འདོད་ཁམས་དང་གཟུགས་ཁམས་ཀྱི་ལྷ་ཡི་ཚོགས་རྣམས་
85	63	1	STAGE2_MANUAL	དུས་རྣམས་ཀུན་ནས་རང་གི་སྒོ་གསུམ་རྗེ་བཙུན་མའི་ལྷ་སྔགས་ཡེ་ཤེས་ཀ
86	86	1	STAGE2_MANUAL	ཡང་ཕྱག་གང་ལ་འཚལ་ན་ཉི་མ་དང་ཟླ་བ་ལྟ་བུའི་རྒྱས་པའི། སྤྱན་གཡས་ཉི
