index	syllables	pieces	method	preview
7	99	1	STAGE2_MANUAL	རྗེ་བཙུན་སྒྲོལ་མའི་རྣམ་ཐཪ་མདོར་ཙམ་བཤད་པ། དེ་ལ་འདིར་ཡང་དག་པར་
9	143	1	STAGE2_MANUAL	དང་པོ་རྗེ་བཙུན་སྒྲོལ་མའི་རྣམ་ཐར་ནི། སྔོན་ཐོག་མ་མེད་པའི་དུས་ཤ
10	80	1	STAGE2_MANUAL	ཞེས་དམ་བཅས་ཤིང་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་སྟེ། འགྲོ་བ་ཐམས་
11	48	1	STAGE2_MANUAL	དེ་ནས་བསྐལ་བ་འདི་ཉིད་ལ། འཕགས་པ་སྤྱན་རས་གཟིགས་ཀྱིས་སྒྲོལ་མའི་
16	274	1	STAGE2_MANUAL	གཉིས་པ་འཛམ་བུ་གླིང་དུ་སྒྲོལ་མའི་རྒྱུད་ཇི་ལྟར་བྱུང་བའི་ཚུལ་ནི
22	45	1	STAGE2_MANUAL	ཕྱག་འཚལ་ཉི་ཤ་རྩ་གཅིག་གི་བསྟོད་པ་འདི་ཉིད་སྤྱིར་སྒྲོལ་མ་ཐམས་ཅད
24	140	1	STAGE2_MANUAL	ཁག་ཅིག་གིས་སྒྲོལ་མ་ཉེར་གཅིག་པོ་ཐམས་ཅད་ཀྱང་རིགས་མི་འདྲ་བ་ཉེར་
29	259	1	STAGE2_MANUAL	མྱ་ངན་འདས་པ་ཉེ་བར་སྟོན།།ཞེས་དང་།རྗེ་ཀུན་དགའ་དོན་གྲུབ་ཀྱི་གསང
43	41	1	STAGE2_MANUAL	ཨོཾ་དེ་ལ་ཨ་ཨུ་མ་གསུམ་ཚང་ཡོད་དེ། ཨཱཿས་སྐུ་མཚོན། ཨུས་གསུང་མཚོན
44	66	1	STAGE2_MANUAL	ཨོཾ་ཞེས་གཅིག་ཏུ་དྲིལ་པས་སྐུ་གསུང་ཐུགས་གསུམ་ངོ་བོ་དབྱེར་མི་ཕྱ
51	88	1	STAGE2_MANUAL	རྗེ་བཙུན་མ་ཞེས་པས་སྡོམ་པ་གསུམ་དང་ལྡན་པ་མཚོན། རྗེ་ནི་ཁྱིམ་པ་ཡ
52	85	1	STAGE2_MANUAL	ཉམས་ན་ནད་སོ་སོ་ལ་སྨན་སོ་སོར་གཏོང་བ་ལྟར་སོ་ཐར་གྱི་སྡོམ་པ་ཕྱིར
62	73	1	STAGE2_MANUAL	ང་ན་རྗེ་བཙུན་མ་ཞེས་པས་ལྷག་པའི་བསླབ་པ་གསུམ་དང་ལྡན་པ་མཚོན།དེ་ཡ
79	67	1	STAGE2_MANUAL	ཞི་གནས་བསྒྲུབ་པ་ལ་ཞི་གནས་སམ་ཏིང་ངེ་འཛིན་གྱི་བསླབ་པའི་རྟེན་ནམ
80	63	1	STAGE2_MANUAL	དང་པོ་དེ་བསྐྱེད་པའི་ཐབས་སུ་དལ་འབྱོར་རྙེད་དཀའ་དང་། འཆི་བ་མི་ར
84	102	1	STAGE2_MANUAL	ཕྱི་མའི་སྣང་ཤས་ལས་ལྡོག་པའི་ངེས་འབྱུང་བསྐྱེད་པའི་ཐབས་སུ་ལས་འབ
88	69	1	STAGE2_MANUAL	དེས་ན་འཁོར་བའི་ཕུན་ཚོགས་གང་འདྲ་ཞིག་ཐོབ་ཀྱང་ངོམས་པ་མེད་པ་དང་།
89	60	1	STAGE2_MANUAL	དཔེར་ན་མེ་དོང་ཆེན་པོའི་ནང་དུ་ཚུད་པའམ་དུག་སྦྲུལ་གྱི་ཚང་དུ་ཚུད
103	62	1	STAGE2_MANUAL	དེས་ན་རྗེ་ཞེས་པས་ལྷག་པ་ཚུལ་ཁྲིམས་ཀྱི་བསླབ་པ་དང་། བཙུན་གྱིས་ཏ
104	81	1	STAGE2_MANUAL	བསླབ་གསུམ་ཡན་ལག་དང་བཅས་པ་རྒྱུད་ལ་སྐྱེ་བ་ཐམས་ཅད་ཀྱང་མཁན་པོ་དང
112	63	1	STAGE2_MANUAL	རྗེ་བཙུན་མ་ཞེས་པས་ངེས་འབྱུང་བྱང་སེམས་ཡང་དག་པའི་ལྟ་བ་གསུམ་མཚོ
113	67	1	STAGE2_MANUAL	ངེས་འབྱུང་གི་བསམ་པ་ཁྱད་པར་ཅན་ནི། ཐར་པ་དོན་གཉེར་གྱི་བློ་ལ་བཅོ
125	74	1	STAGE2_MANUAL	བཙུན་ཞེས་པ་རྟེན་འབྱུང་གི་ལྟ་བའམ་ཡང་དག་པའི་ལྟ་བ་མཚོན། ཡང་དག་པ
145	73	1	STAGE2_MANUAL	པ་རྣམས་དགག་བྱ་ཕྲ་རག་གི་ཁྱད་པར་ཙམ་མ་གཏོགས་རིགས་པའི་གྲོད་གཅིག་
153	49	1	STAGE2_MANUAL	ཚིག་རྐང་ཐ་མ་ལ་འགྲེལ་ཚུལ་གཉིས་པོ་གང་བྱེད་ཀྱང་རུང་བས། དང་པོས་ཡ
160	64	1	STAGE2_MANUAL	མ་ཞེས་པ་སྤྱོད་པ་འཚེ་བ་མེད་པའམ་བྱང་ཆུབ་ཀྱི་སེམས་མཚོན། བྱམས་སྙ
170	48	1	STAGE2_MANUAL	ཡང་ན་རྗེ་བཙུན་མ་ཞེས་པས་སྐྱེས་བུ་ཆུང་འབྲིང་ཆེ་གསུམ་གྱི་ལམ་མཚོ
212	113	1	STAGE2_MANUAL	ག་ཏེ་དང་པོས་ཚོགས་ལམ་དུ་སོངས་ཤིག ག་ཏེ་གཉིས་པས་སྦྱོར་ལམ་དུ་སོང
213	62	1	STAGE2_MANUAL	དེས་ན་ཚུལ་རོལ་ཕ་རོལ་ཞེས་པ་རང་དབང་དུ་གྲུབ་པ་ཞིག་མེད་ཀྱང་། བློ
214	55	1	STAGE2_MANUAL	མ་ནི་བུད་མེད་ཀྱི་རྟེན་ལ་སངས་རྒྱས་ཀྱི་གོ་འཕང་མངོན་དུ་མཛད་པས་མ
215	64	1	STAGE2_MANUAL	ཉོན་སྒྲིབ་ལས་གྲོལ་ཀྱང་ཤེས་སྒྲིབ་ལས་མ་གྲོལ་རྣམས་གྲོལ་བར་བྱའོ་
216	70	1	STAGE2_MANUAL	མ་ལ་ཞེས་པ་སྟོང་ཕྱོགས་སྐྱེ་མེད་མཚོན་པ་སྟེ། སྟོང་ཉིད་ལ་མཉམ་པར་
218	92	1	STAGE2_MANUAL	ཉོན་མོངས་རྣམས་ནི་གློ་བུར་བའམ་འཕྲལ་གྱི་རྣམ་རྟོག་ཙམ་ལས་སེམས་ཀྱ
223	89	1	STAGE2_MANUAL	དེ་ཡང་གཞི་ལ་རང་བཞིན་གྱི་མྱང་འདས་ཡོད་པ་ལ་ཐུག་པ་སྟེ། གཞི་དུས་ས
230	90	1	STAGE2_MANUAL	སོགས་ཀྱི་སྟེང་ནས་དཔྱད་ན། རྩ་ཉོན་དྲུག་དང་ཉེ་ཉོན་ཉི་ཤུ་ལ་སོགས་
231	81	1	STAGE2_MANUAL	དཔེར་ན་ནམ་མཁའ་སྤྲིན་ཟད་པ་དེ་ཉིད་ནམ་མཁའ་ལས་གཞན་དུ་མེད་པ་ལྟར། 
236	41	1	STAGE2_MANUAL	ཕྱག་འཚལ་ལོ་ཞེས་པའི་ཕྱག་ནི་ལུས་ངག་ཡིད་གསུམ་གྱིས་བསགས་པའི་སྡིག
242	75	1	STAGE2_MANUAL	ལུས་ཡོངས་རྫོགས་སྤོས་འགྱེལ་བ་ལྟར། ཁ་སྦུག་ཏུ་ས་ལ་ཕབ་ཅིང་། ལག་ག
