index	syllables	pieces	method	preview
2	106	1	STAGE2_MANUAL	གླེང་བརྗོད། ༄།།བོད་སྨར་ཁམས་གཙང་གཤིས་ཕ་ར་རིན་ཆེན་གླིང་གི་དགོན
8	191	1	STAGE2_MANUAL	སྒྲོལ་མའི་ལོ་རྒྱུས་མདོར་བསྡུས། སྔོན་གྱི་དུས་སུ་བཅོམ་ལྡན་འདས་
9	127	1	STAGE2_MANUAL	དེ་ནས་རྒྱལ་པོའི་ཕོ་བྲང་དུ་བཞུགས་ཏེ། འདོད་པའི་ཡོན་ཏན་ལྔ་ནི། ག
13	131	1	STAGE2_MANUAL	ཞེས་པ་སྟེ། རྗེ་བཙུན་སྒྲོལ་མ་ཁྲོ་བོའི་ཚུལ་དུ་བཞུགས་པ་དེ་ལ་སྲོ
15	91	1	STAGE2_MANUAL	ཞེས་པ་སྟེ། དུས་གསུམ་གྱི་རྒྱལ་བ་བྱེ་བ་ཕྲག་བདུན་རྣམས་ཀྱིས། ཡུམ
17	89	1	STAGE2_MANUAL	བགེགས་རྣམས་མེད་ཅིང་སོ་སོར་འཇོམས་གྱུར༎ ཞེས་པ་སྟེ། གྲངས་གཉིས་ག
20	66	1	STAGE2_MANUAL	ༀ་ནི། མཚམས་སྦྱོར་བའི་ཡི་གེ་ཨ་ཨུ་མ་གསུམ་སྟེ་རྗེ་བཙུན་སྒྲོལ་མའ
35	56	1	STAGE2_MANUAL	འཇིག་རྟེན་གསུམ་ནི། ས་འོག་ཀླུའི་འཇིག་རྟེན། ས་སྟེང་མིའི་འཇིག་ར
36	66	1	STAGE2_MANUAL	འཁོར་བའི་གནས་སུ་སེམས་ཅན་ལྷག་ཡོད་པ་མ་ཟད་སྡུག་བསྔལ་སྣ་ཚོགས་པ་མ
41	56	1	STAGE2_MANUAL	དཔེར་ན། སྤྱིར་ཟླ་བ་དེ་བཀྲག་མདངས་དང་ལྡན་པ་ཞིག་ཡིན་ལ་དབྱར་གྱི་
42	81	1	STAGE2_MANUAL	, ཚེ་བཅོ་ལྔའི་ཟླ་བ་ཉ་མ་ལུས་པ་གང་བའི་གྲངས་བརྒྱ་ཐམ་པ་དེ་ཕྱོགས་
47	47	1	STAGE2_MANUAL	རྗེ་བཙུན་སྒྲོལ་མའི་སྐུ་མདོག་གསེར་ལྟར་མཛེས་ཤིང་ཅུང་ཟད་སྔོ་བའི
48	79	1	STAGE2_MANUAL	སེར་སྣའི་གཉེན་པོ་སྦྱིན་པ་དང་། ལེ་ལོའི་གཉེན་པོ་བརྩོན་འགྲུས་དང
57	77	1	STAGE2_MANUAL	རྗེ་བཙུན་སྒྲོལ་མ་ནི། ཡུམ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ངོ་བོ་
64	53	1	STAGE2_MANUAL	གསུང་ཏུཏྟཱ་རེ་ཞེས་གཟུང་སྔགས་ལས་འོད་ཟེར་འཕྲོས་པའི་འོད་ཟེར་དང་
65	54	1	STAGE2_MANUAL	དེ་ལྟ་བུའི་འཇིགས་རྟེན་གྱི་ཁམས་བདུན་ལ་རྗེ་བཙུན་སྒྲོལ་མའི་འོད་
72	61	1	STAGE2_MANUAL	འཇིག་རྟེན་པའི་ལྷའི་གཙོ་བོར་ནི། ཤར་ཕྱོགས་སུ་ལྷའི་དབང་པོ་བརྒྱ་
75	54	1	STAGE2_MANUAL	དབང་ལྡན་གྱི་འཁོར་འབྱུང་པོ་དང་། སྲིན་པོའི་འཁོར་རོ་ལངས་དང་། བར
80	78	1	STAGE2_MANUAL	རྗེ་བཙུན་སྒྲོལ་མའི་ཞི་བའི་རྣམ་པས་འདུལ་མ་ཐུབ་པའི་འགྲོ་བ་སེམས་
81	78	1	STAGE2_MANUAL	རྗེ་བཙུན་སྒྲོལ་མའི་གཡས་བསྐུམས་གཡོན་བརྐྱངས་པའི་སྟོང་ཉིད་དང་སྙ
88	48	1	STAGE2_MANUAL	ཆུ་སྐྱེས་ཏེ་མེ་ཏོག་པདྨ་རྒྱས་པ་ལྟར་མཛེས་པའི་ཞལ་རས་ནི་ཁྲོ་གཉེར
93	64	1	STAGE2_MANUAL	རྗེ་བཙུན་སྒྲོལ་མའི་ཕྱག་གཡོན་པའི་མཐེ་མོ་དང་གུང་མོ་གཉིས་ཀྱིས་མ
94	91	1	STAGE2_MANUAL	རྗེ་བཙུན་སྒྲོལ་མའི་ཕྱག་གཡས་པས་མ་ལུས་པའི་འགྲོ་བ་སེམས་ཅན་ལ་མཆོ
100	45	1	STAGE2_MANUAL	སྔགས་ཀྱི་བཞད་མོ་རབ་ཏུ་བཞད་པའི་སྒྲ་ཏུཏྟཱ་རེ་ཞེས་སོགས་ཀྱིས་འཇི
105	47	1	STAGE2_MANUAL	ཕྱོགས་བཞི་དང་འཚམས་བཞི་སྟེང་འོག་གཉིས་སྟེ་བཅུ་འམ་ས་གཞི་སྐྱོང་བ
106	63	1	STAGE2_MANUAL	ཞལ་ཁྲོ་གཉེར་གཡོ་བའི་རྣམ་པར་བཞུགས་པའི་རྗེ་བཙུན་སྒྲོལ་མའི་ཐུགས
111	55	1	STAGE2_MANUAL	ཟླ་བའི་དུམ་བུ་སྟེ་ཟླ་བ་ཕྱེད་ཀ་དེས་རྗེ་བཙུན་སྒྲོལ་མའི་དབུ་ལ་ར
119	44	1	STAGE2_MANUAL	བསྐལ་པ་ཐ་མ་སྟེ་འཇིག་པའི་དུས་ཀྱི་མེ་དཔུང་ཆེན་པོ་ལྟར་ངོ་བོ་གཉི
120	49	1	STAGE2_MANUAL	ཞབས་གཡས་བརྐྱངས་ཤིང་ཞབས་གཡོན་བསྐུམས་པའི་སྟབས་ཀྱིས་བཞུགས་ནས། ས
126	51	1	STAGE2_MANUAL	རི་རབ་གླིང་བཞི་དང་གླིང་ཕྲན་བརྒྱད་བཅས་པའི་ས་གཞི་ཆེན་པོའི་ངོས་
127	104	1	STAGE2_MANUAL	ཞལ་དྲག་པོའི་ཁྲོ་གཉེར་གྱི་ཉམས་དང་ལྡན་ཅིང་། སྤྱན་གཉིས་ཀྱི་འོད་
132	74	1	STAGE2_MANUAL	འབྲས་བུ་སྡུག་བསྔལ་ཟད་པས་བདེ་མ། དེའི་རྒྱུ་ལས་ཉོན་གཉིས་སྤངས་པས
133	70	1	STAGE2_MANUAL	བཟླས་པའི་མཇུག་ཏུ་སྭཱ་ཧཱ་དང་འགོ་ཨོཾ་བཅས་བརྒྱན་པའི་རྗེ་བཙུན་སྒ
138	41	1	STAGE2_MANUAL	རྗེ་བཙུན་སྒྲོལ་མའི་ལུས་ངག་ཡིད་གསུམ་གྱི་སྒོ་ཀུན་ནས་ཆོས་ཀྱི་འཁ
139	99	1	STAGE2_MANUAL	དེ་ཡང་རྗེ་བཙུན་སྒྲོལ་མ་ཞི་བའི་ཐུགས་ཀར་ཏཾ་ཡིག་གི་མཐར་ཡི་གེ་བཅ
144	46	1	STAGE2_MANUAL	ཏུ་རེ་སྟེ་རྗེ་བཙུན་སྒྲོལ་མའི་ཞབས་གཉིས་ནི་ས་ལ་དྲག་ཏུ་བརྡབས་ཅི
145	73	1	STAGE2_MANUAL	རྗེ་བཙུན་སྒྲོལ་མས་ཞབས་བརྡབས་པས། རིའི་རྒྱལ་པོ་རི་རབ་དང་། རི་མ
150	46	1	STAGE2_MANUAL	ལྷ་རྣམས་ཀྱི་ཡིད་དུ་འོང་བའི་ཡུལ་བདུད་རྩིའི་མཚོའི་རྣམ་པ་དཀར་ཞི
151	72	1	STAGE2_MANUAL	རྗེ་བཙུན་སྒྲོལ་མའི་ཞལ་ནས་ཏཱ་ར་ཡི་གེ་གཉིས་བརྗོད་པའི་རིག་སྔགས་
156	56	1	STAGE2_MANUAL	ཁམས་གསུམ་གྱི་ལྷའི་ཚོགས་རྣམས་ཀྱི་རྒྱལ་པོ་ལྷའི་དབང་པོ་བརྒྱ་བྱི
