verses=22  placed=22  unplaced=0
  ^1-1     -> line 77
  ^1-2     -> line 106
  ^1-3     -> line 121
  ^1-4     -> line 136
  ^1-5     -> line 164
  ^1-6     -> line 174
  ^1-7     -> line 199
  ^1-8     -> line 214
  ^1-9     -> line 231
  ^1-10    -> line 246
  ^1-11    -> line 261
  ^1-12    -> line 276
  ^1-13    -> line 295
  ^1-14    -> line 310
  ^1-15    -> line 326
  ^1-16    -> line 341
  ^1-17    -> line 356
  ^1-18    -> line 371
  ^1-19    -> line 386
  ^1-20    -> line 401
  ^1-21    -> line 416
  ^1-22    -> line 431
APPLIED 22 insertions
