verses=22  placed=22  unplaced=0
  ^1-1     -> line 434
  ^1-2     -> line 444
  ^1-3     -> line 455
  ^1-4     -> line 464
  ^1-5     -> line 471
  ^1-6     -> line 480
  ^1-7     -> line 489
  ^1-8     -> line 496
  ^1-9     -> line 503
  ^1-10    -> line 512
  ^1-11    -> line 519
  ^1-12    -> line 525
  ^1-13    -> line 534
  ^1-14    -> line 541
  ^1-15    -> line 550
  ^1-16    -> line 559
  ^1-17    -> line 568
  ^1-18    -> line 578
  ^1-19    -> line 587
  ^1-20    -> line 1481
  ^1-21    -> line 1487
  ^1-22    -> line 1492
APPLIED 22 insertions
